"Agency","Component","Fiscal Year","<1-20 Days","21-40 Days","41-60 Days","61-80 Days","81-100 Days","101-120 Days","121-140 Days","141-160 Days","161-180 Days","181-200 Days","201-300 Days","301-400 Days","401+ Days","Total"
"National Council on Disability","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"United States Copyright Office","Agency Overall","2021","1","0","0","0","0","0","1","0","0","0","0","0","1","3"
"Federal Financial Institutions Examination Council","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","1","0","0","1"
"National Credit Union Administration","Agency Overall","2021","34","84","2","0","0","1","0","1","0","0","0","0","0","122"
"Pension Benefit Guaranty Corporation","Agency Overall","2021","1047","261","60","22","16","8","3","2","5","1","3","0","0","1428"
"Commission of Fine Arts","Agency Overall","2021","0","1","1","1","0","0","0","0","0","0","0","0","0","3"
"United States African Development Foundation","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Consumer Product Safety Commission","Agency Overall","2021","145","52","25","24","10","2","7","7","2","10","17","12","46","359"
"Council on Environmental Quality","Agency Overall","2021","0","0","0","0","0","1","1","3","1","0","2","0","10","18"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2021","14","2","1","1","1","0","1","0","1","0","0","2","20","43"
"Harry S. Truman Scholarship Foundation","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2021","3","5","0","0","0","0","0","1","1","0","4","0","0","14"
"Advisory Council on Historic Preservation","Agency Overall","2021","0","0","1","0","2","0","1","0","0","0","1","0","0","5"
"Federal Mediation and Conciliation Service","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Agency for Global Media","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of the United States Trade Representative","Agency Overall","2021","0","2","6","5","1","0","0","0","0","0","1","0","0","15"
"Social Security Advisory Board","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Endowment for the Humanities","Agency Overall","2021","0","11","1","4","0","0","1","1","0","0","0","0","0","18"
"Marine Mammal Commission","Agency Overall","2021","0","0","0","0","0","0","2","0","0","0","0","0","0","2"
"Administrative Conference of the United States","Agency Overall","2021","1","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Legal Services Corporation","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Surface Transportation Board","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of the Interior","Agency Overall","2021","338","149","112","79","55","41","35","30","26","32","120","110","407","1534"
"Office of Special Counsel","Agency Overall","2021","15","4","8","13","7","7","3","6","2","2","6","2","0","75"
"Office of Science and Technology Policy","Agency Overall","2021","19","2","5","1","0","1","0","0","1","1","1","0","1","32"
"Federal Energy Regulatory Commission","Agency Overall","2021","8","9","2","1","1","0","0","0","0","0","1","3","6","31"
"Armed Forces Retirement Home","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Agency for International Development","Agency Overall","2021","44","26","10","11","9","8","12","12","4","5","22","10","60","233"
"Department of Education","Agency Overall","2021","40","186","120","74","49","23","19","17","13","13","91","61","296","1002"
"Department of Health and Human Services","Agency Overall","2021","8522","2991","1374","663","504","385","377","389","354","309","1044","356","1783","19051"
"Department of Housing and Urban Development","Agency Overall","2021","104","43","22","12","14","16","7","12","5","9","37","42","259","582"
"Federal Mine Safety and Health Review Commission","Agency Overall","2021","2","2","2","0","0","0","0","1","0","0","0","0","0","7"
"U.S. Interagency Council on Homelessness","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"United States International Boundary and Water Commission","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Commission on Civil Rights","Agency Overall","2021","0","3","2","3","2","1","0","0","0","0","0","0","0","11"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2021","0","0","0","0","0","0","1","0","1","2","3","1","0","8"
"Institute of Museum and Library Services","Agency Overall","2021","0","2","0","0","0","0","0","0","0","0","0","0","0","2"
"Federal Retirement Thrift Investment Board","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Equal Employment Opportunity Commission","Agency Overall","2021","548","692","225","216","184","104","55","37","11","8","2","0","1","2083"
"U.S. Commission for the Preservation of America’s Heritage Abroad","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Millennium Challenge Corporation","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"James Madison Memorial Fellowship Foundation","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2021","4","1","0","0","0","0","0","0","0","0","0","0","0","5"
"Department of Justice","Agency Overall","2021","3587","1733","831","609","502","431","357","384","322","303","1119","726","3662","14566"
"Office of the Director of National Intelligence","Agency Overall","2021","38","24","17","10","7","9","9","3","4","3","29","22","148","323"
"Selective Service System","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Open Market Committee","Agency Overall","2021","0","1","3","1","1","0","0","2","0","0","0","0","0","8"
"General Services Administration","Agency Overall","2021","24","244","89","38","19","32","11","6","8","8","15","12","51","557"
"National Endowment for the Arts","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Labor Relations Authority","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Department of State","Agency Overall","2021","2541","1176","865","1140","649","122","88","69","94","63","199","124","430","7560"
"National Aeronautics and Space Administration","Agency Overall","2021","102","71","39","22","13","4","4","0","2","1","3","3","2","266"
"Denali Commission","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Election Assistance Commission","Agency Overall","2021","1","0","0","0","0","0","0","0","0","0","2","5","1","9"
"U.S. Railroad Retirement Board","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Social Security Administration","Agency Overall","2021","66","84","72","34","25","9","6","8","6","5","8","5","2","330"
"Central Intelligence Agency","Agency Overall","2021","19","189","99","155","122","117","103","93","55","63","170","78","304","1567"
"United States Postal Service","Agency Overall","2021","31","28","15","2","9","8","8","6","5","1","11","0","4","128"
"National Labor Relations Board","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"U.S. International Development Finance Corporation","Agency Overall","2021","1","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Farm Credit Administration","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Veterans Affairs","Agency Overall","2021","1040","478","243","662","1239","1089","497","387","69","54","320","252","468","6798"
"Farm Credit System Insurance Corporation","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"United States International Trade Commission","Agency Overall","2021","0","2","0","0","1","0","0","0","0","0","0","0","0","3"
"National Capital Planning Commission","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of Government Ethics","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Railroad Passenger Corporation","Agency Overall","2021","2","0","0","0","0","0","0","0","0","0","0","0","0","2"
"Appraisal Subcommittee","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Energy","Agency Overall","2021","111","68","52","49","33","29","26","22","19","23","47","34","84","597"
"Occupational Safety and Health Review Commission","Agency Overall","2021","0","2","1","1","0","0","0","0","0","0","0","0","1","5"
"Inter-American Foundation","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Court Services and Offender Supervision Agency","Agency Overall","2021","66","0","0","0","0","0","0","0","0","0","0","0","0","66"
