"Agency","Component","Fiscal Year","No Records","Records Referred at Initial Request Level","Request Withdrawn","Fee-Related Reason","Records Not Reasonably Described","Improper Request for Other Reason","Not Agency Record","Duplicate Request or Appeal","Request in Litigation","Appeal Based Solely on Denial of Request for Expedited Processing","Other*"
"National Council on Disability","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0"
"United States Copyright Office","Agency Overall","2021","1","0","0","0","0","0","0","0","0","0","0"
"Federal Financial Institutions Examination Council","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0"
"National Credit Union Administration","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0"
"Pension Benefit Guaranty Corporation","Agency Overall","2021","0","1","1","0","0","0","4","0","0","0","4"
"Commission of Fine Arts","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0"
"United States African Development Foundation","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0"
"Consumer Product Safety Commission","Agency Overall","2021","0","0","0","0","0","0","0","0","4","1","0"
"Council on Environmental Quality","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2021","1","0","0","0","1","0","0","0","0","0","0"
"Harry S. Truman Scholarship Foundation","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0"
"Advisory Council on Historic Preservation","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0"
"Federal Mediation and Conciliation Service","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Agency for Global Media","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0"
"Office of the United States Trade Representative","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0"
"Social Security Advisory Board","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0"
"National Endowment for the Humanities","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0"
"Marine Mammal Commission","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0"
"Administrative Conference of the United States","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0"
"Legal Services Corporation","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0"
"Surface Transportation Board","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0"
"Department of the Interior","Agency Overall","2021","26","0","13","3","0","8","3","0","8","8","146"
"Office of Special Counsel","Agency Overall","2021","0","1","0","0","0","0","0","0","0","0","0"
"Office of Science and Technology Policy","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0"
"Federal Energy Regulatory Commission","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0"
"Armed Forces Retirement Home","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Agency for International Development","Agency Overall","2021","0","0","1","0","0","0","0","0","0","0","1"
"Department of Education","Agency Overall","2021","0","0","6","0","0","0","0","0","2","0","2"
"Department of Health and Human Services","Agency Overall","2021","1","78","97","35","6","11","8","17","20","17","2"
"Department of Housing and Urban Development","Agency Overall","2021","2","0","0","1","1","6","0","0","0","1","0"
"Federal Mine Safety and Health Review Commission","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Interagency Council on Homelessness","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0"
"United States International Boundary and Water Commission","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Commission on Civil Rights","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0"
"Institute of Museum and Library Services","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0"
"Federal Retirement Thrift Investment Board","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0"
"Equal Employment Opportunity Commission","Agency Overall","2021","12","0","8","0","15","43","0","5","0","0","63"
"U.S. Commission for the Preservation of America’s Heritage Abroad","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0"
"Millennium Challenge Corporation","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0"
"James Madison Memorial Fellowship Foundation","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0"
"Department of Justice","Agency Overall","2021","557","10","2","23","113","100","0","74","37","65","1177"
"Office of the Director of National Intelligence","Agency Overall","2021","4","0","0","0","0","0","0","0","9","0","0"
"Selective Service System","Agency Overall","2021","0","0","0","0","1","0","0","0","0","0","0"
"Federal Open Market Committee","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0"
"General Services Administration","Agency Overall","2021","4","1","10","0","0","1","0","0","0","0","0"
"National Endowment for the Arts","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0"
"Federal Labor Relations Authority","Agency Overall","2021","5","0","0","0","0","0","0","0","0","0","0"
"U.S. Department of State","Agency Overall","2021","1","0","3","0","1","11","7","5","1","42","0"
"National Aeronautics and Space Administration","Agency Overall","2021","1","0","0","0","0","0","0","0","0","0","0"
"Denali Commission","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Election Assistance Commission","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Railroad Retirement Board","Agency Overall","2021","0","0","1","0","0","0","0","0","0","0","0"
"Social Security Administration","Agency Overall","2021","53","27","6","30","4","15","2","14","0","0","0"
"Central Intelligence Agency","Agency Overall","2021","0","0","1","0","0","1","1","0","61","2","0"
"United States Postal Service","Agency Overall","2021","5","0","2","4","2","4","2","4","0","1","19"
"National Labor Relations Board","Agency Overall","2021","0","1","1","0","0","0","0","0","0","0","0"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0"
"U.S. International Development Finance Corporation","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0"
"Farm Credit Administration","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0"
"Department of Veterans Affairs","Agency Overall","2021","43","0","7","18","1","0","0","3","8","85","161"
"Farm Credit System Insurance Corporation","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0"
"United States International Trade Commission","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","1"
"National Capital Planning Commission","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0"
"Office of Government Ethics","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0"
"National Railroad Passenger Corporation","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0"
"Appraisal Subcommittee","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0"
"Department of Energy","Agency Overall","2021","0","0","0","0","0","0","0","0","0","2","8"
"Occupational Safety and Health Review Commission","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0"
"Inter-American Foundation","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0"
"Court Services and Offender Supervision Agency","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0"
"Federal Housing Finance Agency","Agency Overall","2021","1","0","0","0","0","0","10","0","0","0","0"
"Office of Personnel Management","Agency Overall","2021","1","0","2","0","0","0","0","0","0","0","0"
"Postal Regulatory Commission","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0"
"Department of Transportation","Agency Overall","2021","6","0","4","1","0","0","0","1","0","0","2"
"Presidio Trust","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0"
"Environmental Protection Agency","Agency Overall","2021","2","2","15","7","1","0","1","1","1","1","52"
"National Mediation Board","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0"
"American Battle Monuments Commission","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0"
"National Transportation Safety Board","Agency Overall","2021","2","0","5","0","0","12","0","1","0","0","20"
"Federal Deposit Insurance Corporation","Agency Overall","2021","1","0","1","0","0","0","0","0","0","0","0"
"Federal Communications Commission","Agency Overall","2021","4","1","6","0","2","2","0","1","0","0","0"
"Small Business Administration","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","2"
"Department of Commerce","Agency Overall","2021","1","1","2","0","1","1","0","1","1","1","0"
"Office of National Drug Control Policy","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0"
"Consumer Financial Protection Bureau","Agency Overall","2021","0","0","0","1","0","0","0","0","0","0","0"
"Peace Corps","Agency Overall","2021","0","0","2","0","0","0","0","0","0","0","0"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0"
"National Science Foundation","Agency Overall","2021","1","0","0","0","0","0","0","0","0","0","0"
"Department of Agriculture","Agency Overall","2021","3","1","23","1","0","0","2","2","3","0","19"
"Department of Labor","Agency Overall","2021","20","2","73","1","0","11","0","23","1","0","0"
"Commodity Futures Trading Commission","Agency Overall","2021","0","0","0","1","0","0","0","0","0","0","0"
"United States Institute of Peace","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0"
"Department of the Treasury","Agency Overall","2021","29","0","6","0","3","5","2","1","0","1","13"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0"
"Nuclear Regulatory Commission","Agency Overall","2021","1","0","0","0","1","0","0","1","0","0","2"
"Federal Maritime Commission","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0"
"Neighborhood Reinvestment Corporation","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0"
"Merit Systems Protection Board","Agency Overall","2021","3","0","1","0","1","2","0","0","0","4","0"
"National Archives and Records Administration","Agency Overall","2021","28","0","0","0","2","7","0","0","2","3","3"
"Securities and Exchange Commission","Agency Overall","2021","0","0","10","0","0","0","0","2","0","0","10"
"Federal Reserve System","Agency Overall","2021","3","0","0","0","0","8","0","0","0","1","0"
"Federal Election Commission","Agency Overall","2021","0","0","2","0","0","0","0","0","0","0","0"
"Office of Management and Budget","Agency Overall","2021","2","0","0","0","0","0","0","0","0","0","0"
"United States Trade and Development Agency","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0"
"United States Access Board","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0"
"Federal Trade Commission","Agency Overall","2021","2","0","1","0","0","0","0","0","0","0","3"
"National Indian Gaming Commission","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0"
"Department of Defense","Agency Overall","2021","45","2","112","4","2","56","9","11","12","2","104"
"Tennessee Valley Authority","Agency Overall","2021","1","0","0","0","0","0","0","0","0","0","0"
"Export-Import Bank of the U.S.","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0"
"Department of Homeland Security","Agency Overall","2021","27","18","57","3","22","468","132","206","19","2","44"
"Defense Nuclear Facilities Safety Board","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0"
"All agencies","Agency Overall","2021","899","146","481","133","180","772","183","373","189","239","1858"
