"Agency","Component","Fiscal Year","Number Granted","Number Denied","Median Number of Days to Adjudicate","Average Number of Days to Adjudicate"
"National Council on Disability","Agency Overall","2021","11","0","1","1"
"United States Copyright Office","Agency Overall","2021","0","0","N/A","N/A"
"Federal Financial Institutions Examination Council","Agency Overall","2021","0","0","N/A","N/A"
"National Credit Union Administration","Agency Overall","2021","1","0","2","2"
"Pension Benefit Guaranty Corporation","Agency Overall","2021","7","81","0.0","0.97"
"Commission of Fine Arts","Agency Overall","2021","17","0","10","10"
"United States African Development Foundation","Agency Overall","2021","0","0","N/A","N/A"
"Consumer Product Safety Commission","Agency Overall","2021","20","43","9","8.71"
"Council on Environmental Quality","Agency Overall","2021","0","0","N/A","N/A"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2021","4","0","2","2.25"
"Harry S. Truman Scholarship Foundation","Agency Overall","2021","0","0","N/A","N/A"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2021","0","1","4","4"
"Advisory Council on Historic Preservation","Agency Overall","2021","15","0","N/A","N/A"
"Federal Mediation and Conciliation Service","Agency Overall","2021","0","0","N/A","N/A"
"U.S. Agency for Global Media","Agency Overall","2021","0","0","N/A","N/A"
"Office of the United States Trade Representative","Agency Overall","2021","0","0","N/A","N/A"
"Social Security Advisory Board","Agency Overall","2021","0","0","N/A","N/A"
"National Endowment for the Humanities","Agency Overall","2021","0","0","N/A","N/A"
"Marine Mammal Commission","Agency Overall","2021","8","0","1","1"
"Administrative Conference of the United States","Agency Overall","2021","0","0","N/A","N/A"
"Legal Services Corporation","Agency Overall","2021","0","0","0","0"
"Surface Transportation Board","Agency Overall","2021","0","6","0.0","0.67"
"Department of the Interior","Agency Overall","2021","870","568","0.0","9.29"
"Office of Special Counsel","Agency Overall","2021","0","0","N/A","N/A"
"Office of Science and Technology Policy","Agency Overall","2021","41","0","1","1"
"Federal Energy Regulatory Commission","Agency Overall","2021","0","0","N/A","N/A"
"Armed Forces Retirement Home","Agency Overall","2021","0","0","N/A","N/A"
"U.S. Agency for International Development","Agency Overall","2021","104","25","<1","2.44"
"Department of Education","Agency Overall","2021","260","79","8","11.38"
"Department of Health and Human Services","Agency Overall","2021","118","497","5.57","9.14"
"Department of Housing and Urban Development","Agency Overall","2021","36","43","10","29.9"
"Federal Mine Safety and Health Review Commission","Agency Overall","2021","2","0","24","24"
"U.S. Interagency Council on Homelessness","Agency Overall","2021","0","0","N/A","N/A"
"United States International Boundary and Water Commission","Agency Overall","2021","0","0","N/A","N/A"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2021","0","0","N/A","N/A"
"U.S. Commission on Civil Rights","Agency Overall","2021","0","0","N/A","N/A"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2021","0","0","N/A","N/A"
"Institute of Museum and Library Services","Agency Overall","2021","0","0","N/A","N/A"
"Federal Retirement Thrift Investment Board","Agency Overall","2021","0","0","N/A","N/A "
"Equal Employment Opportunity Commission","Agency Overall","2021","190","1067","13","20.28"
"U.S. Commission for the Preservation of America’s Heritage Abroad","Agency Overall","2021","0","0","N/A","N/A"
"Millennium Challenge Corporation","Agency Overall","2021","0","0","N/A","N/A"
"James Madison Memorial Fellowship Foundation","Agency Overall","2021","0","0","N/A","N/A"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2021","0","1","20","20"
"Department of Justice","Agency Overall","2021","59","667","2","23.77"
"Office of the Director of National Intelligence","Agency Overall","2021","75","0","<1","<1"
"Selective Service System","Agency Overall","2021","0","0","N/A","N/A"
"Federal Open Market Committee","Agency Overall","2021","0","0","N/A","N/A"
"General Services Administration","Agency Overall","2021","24","98","0.01","0.25"
"National Endowment for the Arts","Agency Overall","2021","0","0","N/A","N/A"
"Federal Labor Relations Authority","Agency Overall","2021","0","36","<1","3.33"
"U.S. Department of State","Agency Overall","2021","127","6","10","10"
"National Aeronautics and Space Administration","Agency Overall","2021","5","0","<1","<1"
"Denali Commission","Agency Overall","2021","0","0","N/A","N/A"
"U.S. Election Assistance Commission","Agency Overall","2021","16","12","16","16"
"U.S. Railroad Retirement Board","Agency Overall","2021","0","0","N/A","N/A"
"Social Security Administration","Agency Overall","2021","1","264","7","8"
"Central Intelligence Agency","Agency Overall","2021","22","1","3","3"
"United States Postal Service","Agency Overall","2021","174","0","1","3.8"
"National Labor Relations Board","Agency Overall","2021","49","55","0","0.14"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2021","0","0","N/A","N/A"
"U.S. International Development Finance Corporation","Agency Overall","2021","3","0","2","1.67"
"Farm Credit Administration","Agency Overall","2021","0","0","N/A","N/A"
"Department of Veterans Affairs","Agency Overall","2021","92","98","5","137"
"Farm Credit System Insurance Corporation","Agency Overall","2021","0","0","N/A","N/A"
"United States International Trade Commission","Agency Overall","2021","0","0","N/A","N/A"
"National Capital Planning Commission","Agency Overall","2021","1","0","2","2"
"Office of Government Ethics","Agency Overall","2021","0","0","N/A","N/A"
"National Railroad Passenger Corporation","Agency Overall","2021","31","0","0","0"
"Appraisal Subcommittee","Agency Overall","2021","0","0","N/A","N/A"
"Department of Energy","Agency Overall","2021","63","22","3","25.96"
"Occupational Safety and Health Review Commission","Agency Overall","2021","0","0","N/A","N/A"
"Inter-American Foundation","Agency Overall","2021","0","0","N/A","N/A"
"Court Services and Offender Supervision Agency","Agency Overall","2021","0","0","N/A","N/A"
"Federal Housing Finance Agency","Agency Overall","2021","6","0","<1","<1"
"Office of Personnel Management","Agency Overall","2021","23","3","3","2"
"Postal Regulatory Commission","Agency Overall","2021","2","0","28.5","28.5"
"Department of Transportation","Agency Overall","2021","87","61","<1","7.82"
"Presidio Trust","Agency Overall","2021","5","3","4","6"
"Environmental Protection Agency","Agency Overall","2021","321","484","<1","0.08"
"National Mediation Board","Agency Overall","2021","0","0","n/a","n/a"
"American Battle Monuments Commission","Agency Overall","2021","0","0","N/A","N/A"
"National Transportation Safety Board","Agency Overall","2021","1","0","<1","<1"
"Federal Deposit Insurance Corporation","Agency Overall","2021","4","0","6.5","18.25"
"Federal Communications Commission","Agency Overall","2021","0","1","187.0","187.0"
"Small Business Administration","Agency Overall","2021","91","101","",""
"Department of Commerce","Agency Overall","2021","376","351","<1","2.85"
"Office of National Drug Control Policy","Agency Overall","2021","0","0","N/A","N/A"
"Consumer Financial Protection Bureau","Agency Overall","2021","8","1","3","5.89"
"Peace Corps","Agency Overall","2021","11","0","1","17.73"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2021","17","0","1","13"
"National Science Foundation","Agency Overall","2021","5","0","1","1.8"
"Department of Agriculture","Agency Overall","2021","880","77","<1","21.01"
"Department of Labor","Agency Overall","2021","400","220","18","71.28"
"Commodity Futures Trading Commission","Agency Overall","2021","5","0","2","7"
"United States Institute of Peace","Agency Overall","2021","0","0","N/A","N/A"
"Department of the Treasury","Agency Overall","2021","157","129","1","123.28"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2021","0","26","8.0","37.69"
"Nuclear Regulatory Commission","Agency Overall","2021","2","13","<1","<1"
"Federal Maritime Commission","Agency Overall","2021","0","0","N/A","N/A"
