"Agency","Component","Fiscal Year","Simple - Number Pending","Simple - Median Number of Days","Simple - Average Number of Days","Complex - Number Pending","Complex - Median Number of Days","Complex - Average Number of Days","Expedited Processing - Number Pending","Expedited Processing - Median Number of Days","Expedited Processing - Average Number of Days"
"National Council on Disability","Agency Overall","2021","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"United States Copyright Office","Agency Overall","2021","2","73","73","5","342","381","0","N/A","N/A"
"Federal Financial Institutions Examination Council","Agency Overall","2021","0","N/A","N/A","1","35","35","0","N/A","N/A"
"National Credit Union Administration","Agency Overall","2021","0","N/A","N/A","9","8","13","0","N/A","N/A"
"Pension Benefit Guaranty Corporation","Agency Overall","2021","141","4","3.77","65","6.0","6.54","0","N/A","N/A"
"Commission of Fine Arts","Agency Overall","2021","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"United States African Development Foundation","Agency Overall","2021","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Consumer Product Safety Commission","Agency Overall","2021","102","429.5","421","456","390.5","402","1","621","621"
"Council on Environmental Quality","Agency Overall","2021","13","378","362.23","26","496","556.5","0","N/A","N/A"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2021","0","N/A","N/A","40","368","404","0","N/A","N/A"
"Harry S. Truman Scholarship Foundation","Agency Overall","2021","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2021","1","113","113","5","289","220","0","0","0"
"Advisory Council on Historic Preservation","Agency Overall","2021","1","58","58","5","71","79.4","0","0","0"
"Federal Mediation and Conciliation Service","Agency Overall","2021","1","<1","<1","0","N/A","N/A","0","N/A","N/A"
"U.S. Agency for Global Media","Agency Overall","2021","82","151","170","0","N/A","N/A","0","N/A","N/A"
"Office of the United States Trade Representative","Agency Overall","2021","6","9","12","3","47","61","0","N/A","N/A"
"Social Security Advisory Board","Agency Overall","2021","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"National Endowment for the Humanities","Agency Overall","2021","2","11.5","11.5","3","13","12.3","0","N/A","N/A"
