"Agency","Component","Fiscal Year","Ex. 1","Ex. 2","Ex. 3","Ex. 4","Ex. 5","Ex. 6","Ex. 7(A)","Ex. 7(B)","Ex. 7(C)","Ex. 7(D)","Ex. 7(E)","Ex. 7(F)","Ex. 8","Ex. 9"
"National Council on Disability","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"United States Copyright Office","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Financial Institutions Examination Council","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Credit Union Administration","Agency Overall","2021","0","0","0","2","1","1","0","0","0","0","0","0","2","0"
"Pension Benefit Guaranty Corporation","Agency Overall","2021","0","0","0","2","2","1","0","0","0","0","0","0","0","0"
"Commission of Fine Arts","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"United States African Development Foundation","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Consumer Product Safety Commission","Agency Overall","2021","0","0","4","1","4","0","3","0","0","0","0","0","0","0"
"Council on Environmental Quality","Agency Overall","2021","0","0","0","0","2","2","0","0","0","0","0","0","0","0"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2021","0","0","0","0","1","1","1","0","1","0","0","0","0","0"
"Harry S. Truman Scholarship Foundation","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Advisory Council on Historic Preservation","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Mediation and Conciliation Service","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Agency for Global Media","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of the United States Trade Representative","Agency Overall","2021","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"Social Security Advisory Board","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Endowment for the Humanities","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Marine Mammal Commission","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Administrative Conference of the United States","Agency Overall","2021","0","0","0","0","1","1","0","0","0","0","0","0","0","0"
"Legal Services Corporation","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Surface Transportation Board","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of the Interior","Agency Overall","2021","0","0","4","7","22","15","9","0","12","0","2","2","0","0"
"Office of Special Counsel","Agency Overall","2021","0","0","0","0","3","7","1","0","7","0","0","0","0","0"
"Office of Science and Technology Policy","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Energy Regulatory Commission","Agency Overall","2021","0","1","0","1","3","2","1","0","0","0","0","0","0","0"
"Armed Forces Retirement Home","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Agency for International Development","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Education","Agency Overall","2021","0","0","1","2","11","27","4","1","13","0","3","0","0","0"
