"Agency","Component","Fiscal Year","Number Received During Fiscal Year from Last Year's Annual Report","Number Received During Fiscal Year from Current Annual Report","Number Processed During Fiscal Year from Last Year's Annual Report","Number Processed During Fiscal Year from Current Annual Report"
"National Council on Disability","Agency Overall","2021","0","0","0","0"
"United States Copyright Office","Agency Overall","2021","5","1","6","1"
"Federal Financial Institutions Examination Council","Agency Overall","2021","0","0","0","0"
"National Credit Union Administration","Agency Overall","2021","4","4","4","2"
"Pension Benefit Guaranty Corporation","Agency Overall","2021","15","9","15","10"
"Commission of Fine Arts","Agency Overall","2021","0","0","0","0"
"United States African Development Foundation","Agency Overall","2021","0","0","0","0"
"Consumer Product Safety Commission","Agency Overall","2021","13","16","14","16"
"Council on Environmental Quality","Agency Overall","2021","3","1","4","2"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2021","1","2","3","2"
"Harry S. Truman Scholarship Foundation","Agency Overall","2021","0","0","0","0"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2021","1","1","1","1"
"Advisory Council on Historic Preservation","Agency Overall","2021","0","0","0","0"
"Federal Mediation and Conciliation Service","Agency Overall","2021","1","0","1","0"
"U.S. Agency for Global Media","Agency Overall","2021","2","2","1","0"
"Office of the United States Trade Representative","Agency Overall","2021","8","2","8","2"
"Social Security Advisory Board","Agency Overall","2021","0","0","0","0"
"National Endowment for the Humanities","Agency Overall","2021","0","0","0","0"
"Marine Mammal Commission","Agency Overall","2021","0","0","0","0"
"Administrative Conference of the United States","Agency Overall","2021","0","1","0","1"
"Legal Services Corporation","Agency Overall","2021","0","0","0","0"
"Surface Transportation Board","Agency Overall","2021","0","0","0","0"
"Department of the Interior","Agency Overall","2021","175","270","196","318"
"Office of Special Counsel","Agency Overall","2021","9","12","9","11"
"Office of Science and Technology Policy","Agency Overall","2021","1","2","1","2"
"Federal Energy Regulatory Commission","Agency Overall","2021","5","4","9","4"
"Armed Forces Retirement Home","Agency Overall","2021","0","0","0","0"
"U.S. Agency for International Development","Agency Overall","2021","12","6","13","3"
"Department of Education","Agency Overall","2021","52","56","82","68"
"Department of Health and Human Services","Agency Overall","2021","425","352","241","498"
"Department of Housing and Urban Development","Agency Overall","2021","71","39","65","44"
"Federal Mine Safety and Health Review Commission","Agency Overall","2021","0","0","0","0"
"U.S. Interagency Council on Homelessness","Agency Overall","2021","0","0","0","0"
"United States International Boundary and Water Commission","Agency Overall","2021","1","0","1","0"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2021","0","0","0","0"
"U.S. Commission on Civil Rights","Agency Overall","2021","0","1","0","1"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2021","0","0","0","0"
"Institute of Museum and Library Services","Agency Overall","2021","0","0","0","0"
"Federal Retirement Thrift Investment Board","Agency Overall","2021","1","0","1","0"
"Equal Employment Opportunity Commission","Agency Overall","2021","261","337","275","175"
"U.S. Commission for the Preservation of America’s Heritage Abroad","Agency Overall","2021","0","0","0","0"
"Millennium Challenge Corporation","Agency Overall","2021","1","1","1","1"
"James Madison Memorial Fellowship Foundation","Agency Overall","2021","0","0","0","0"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2021","4","2","4","2"
"Department of Justice","Agency Overall","2021","2802","2614","2801","2771"
"Office of the Director of National Intelligence","Agency Overall","2021","25","27","45","19"
"Selective Service System","Agency Overall","2021","0","1","0","1"
"Federal Open Market Committee","Agency Overall","2021","0","0","0","0"
"General Services Administration","Agency Overall","2021","35","31","34","34"
"National Endowment for the Arts","Agency Overall","2021","1","1","1","1"
"Federal Labor Relations Authority","Agency Overall","2021","6","5","6","5"
"U.S. Department of State","Agency Overall","2021","258","476","243","346"
"National Aeronautics and Space Administration","Agency Overall","2021","24","13","34","6"
"Denali Commission","Agency Overall","2021","0","0","0","0"
"U.S. Election Assistance Commission","Agency Overall","2021","0","4","0","6"
"U.S. Railroad Retirement Board","Agency Overall","2021","0","1","0","1"
"Social Security Administration","Agency Overall","2021","297","556","301","525"
"Central Intelligence Agency","Agency Overall","2021","178","230","113","109"
"United States Postal Service","Agency Overall","2021","149","210","133","218"
"National Labor Relations Board","Agency Overall","2021","17","11","18","5"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2021","1","0","1","0"
"U.S. International Development Finance Corporation","Agency Overall","2021","0","1","0","1"
"Farm Credit Administration","Agency Overall","2021","1","0","1","0"
"Department of Veterans Affairs","Agency Overall","2021","369","410","430","341"
"Farm Credit System Insurance Corporation","Agency Overall","2021","0","0","0","0"
"United States International Trade Commission","Agency Overall","2021","1","1","1","1"
"National Capital Planning Commission","Agency Overall","2021","0","0","0","0"
"Office of Government Ethics","Agency Overall","2021","3","1","3","1"
"National Railroad Passenger Corporation","Agency Overall","2021","3","1","1","0"
"Appraisal Subcommittee","Agency Overall","2021","0","0","0","0"
"Department of Energy","Agency Overall","2021","47","14","46","14"
"Occupational Safety and Health Review Commission","Agency Overall","2021","2","0","2","0"
"Inter-American Foundation","Agency Overall","2021","0","0","0","0"
"Court Services and Offender Supervision Agency","Agency Overall","2021","1","4","2","4"
"Federal Housing Finance Agency","Agency Overall","2021","4","3","3","4"
"Office of Personnel Management","Agency Overall","2021","21","9","29","9"
"Postal Regulatory Commission","Agency Overall","2021","0","0","0","0"
"Department of Transportation","Agency Overall","2021","119","100","85","64"
"Presidio Trust","Agency Overall","2021","0","0","0","0"
"Environmental Protection Agency","Agency Overall","2021","180","154","239","160"
"National Mediation Board","Agency Overall","2021","0","0","0","0"
"American Battle Monuments Commission","Agency Overall","2021","0","0","0","0"
