"Agency","Component","Fiscal Year","<1-20 Days","21-40 Days","41-60 Days","61-80 Days","81-100 Days","101-120 Days","121-140 Days","141-160 Days","161-180 Days","181-200 Days","201-300 Days","301-400 Days","401+ Days","Total"
"National Council on Disability","Agency Overall","2021","4","1","0","0","0","0","0","0","0","0","0","0","0","5"
"United States Copyright Office","Agency Overall","2021","27","6","0","0","0","0","0","0","0","0","0","0","0","33"
"Federal Financial Institutions Examination Council","Agency Overall","2021","7","2","0","0","0","0","0","0","0","0","0","0","0","9"
"National Credit Union Administration","Agency Overall","2021","19","0","0","0","0","0","0","0","0","0","0","0","0","19"
"Pension Benefit Guaranty Corporation","Agency Overall","2021","1690","279","31","4","0","0","0","0","0","0","0","0","0","2004"
"Commission of Fine Arts","Agency Overall","2021","8","2","0","0","0","0","0","0","0","0","0","0","0","10"
"United States African Development Foundation","Agency Overall","2021","0","1","0","0","0","0","0","0","0","0","0","0","0","1"
"Consumer Product Safety Commission","Agency Overall","2021","79","14","8","4","4","4","3","1","2","3","2","6","11","141"
"Council on Environmental Quality","Agency Overall","2021","7","7","2","3","1","0","0","1","0","0","2","1","2","26"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2021","2","0","0","0","0","0","0","0","0","0","0","0","0","2"
"Harry S. Truman Scholarship Foundation","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2021","19","5","2","1","1","1","0","1","0","1","0","0","0","31"
"Advisory Council on Historic Preservation","Agency Overall","2021","0","0","2","0","0","2","0","0","0","1","0","0","0","5"
"Federal Mediation and Conciliation Service","Agency Overall","2021","10","2","3","2","1","0","0","0","0","0","0","0","0","18"
"U.S. Agency for Global Media","Agency Overall","2021","16","13","3","3","4","2","1","1","5","2","17","5","2","74"
"Office of the United States Trade Representative","Agency Overall","2021","53","12","8","0","1","0","0","0","0","0","0","0","0","74"
"Social Security Advisory Board","Agency Overall","2021","6","2","0","0","0","0","0","0","0","0","0","0","0","8"
"National Endowment for the Humanities","Agency Overall","2021","38","0","0","0","0","0","0","0","0","0","0","0","0","38"
"Marine Mammal Commission","Agency Overall","2021","5","1","0","0","0","0","0","0","0","0","0","0","0","6"
"Administrative Conference of the United States","Agency Overall","2021","40","0","0","0","0","0","0","0","0","0","0","0","0","40"
"Legal Services Corporation","Agency Overall","2021","14","6","2","0","0","0","0","0","0","0","0","0","0","22"
"Surface Transportation Board","Agency Overall","2021","28","0","0","0","0","0","0","0","0","0","0","0","0","28"
"Department of the Interior","Agency Overall","2021","1607","473","211","115","86","81","70","52","43","53","101","107","241","3240"
"Office of Special Counsel","Agency Overall","2021","26","14","16","12","4","4","2","3","0","0","0","0","0","81"
"Office of Science and Technology Policy","Agency Overall","2021","20","11","2","3","2","0","0","1","0","0","1","0","1","41"
"Federal Energy Regulatory Commission","Agency Overall","2021","1","3","0","0","0","0","0","0","0","0","0","0","0","4"
"Armed Forces Retirement Home","Agency Overall","2021","8","1","0","0","0","0","0","0","0","0","0","0","0","9"
