"Agency","Component","Fiscal Year","Processing Costs","Litigation-Related Costs","Total Costs","Total Amount of Fees Collected","Percentage of Total Costs"
"National Council on Disability","Agency Overall","2021","9300.00","0.00","9300.00","0.00","0.0000"
"United States Copyright Office","Agency Overall","2021","35880.69","0.00","35880.69","0.00","0.0000"
"Federal Financial Institutions Examination Council","Agency Overall","2021","17824.00","0.00","17824.00","0.00","0.0000"
"National Credit Union Administration","Agency Overall","2021","414050.00","0.00","414050.00","877.50","0.2100"
"Pension Benefit Guaranty Corporation","Agency Overall","2021","468108.00","0.00","468108.00","412.00","0.0900"
"Commission of Fine Arts","Agency Overall","2021","50.00","0.00","50.00","0.00","0.0000"
"United States African Development Foundation","Agency Overall","2021","50.00","0.00","50.00","0.00","0.0000"
"Consumer Product Safety Commission","Agency Overall","2021","5557.09","23300.00","28857.09","2182.09","39.2700"
"Council on Environmental Quality","Agency Overall","2021","420652.00","51917.00","472569.00","0.00","0.0000"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2021","406300.00","46133.78","452433.78","0.00","0.0000"
"Harry S. Truman Scholarship Foundation","Agency Overall","2021","25.00","0.00","25.00","0.00","0.0000"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2021","37246.00","0.00","37246.00","0.00","0.0000"
"Advisory Council on Historic Preservation","Agency Overall","2021","5000.00","0.00","5000.00","0.00","0.0000"
"Federal Mediation and Conciliation Service","Agency Overall","2021","43750.00","0.00","43750.00","0.00","0.0000"
"U.S. Agency for Global Media","Agency Overall","2021","190000.00","0.00","190000.00","0.00","0.0000"
"Office of the United States Trade Representative","Agency Overall","2021","205000.00","200.00","205200.00","0.00","0.0000"
"Social Security Advisory Board","Agency Overall","2021","150.00","0.00","150.00","0.00","0.0000"
"National Endowment for the Humanities","Agency Overall","2021","60000.00","0.00","60000.00","0.00","0.0000"
"Marine Mammal Commission","Agency Overall","2021","760.00","0.00","760.00","0.00","0.0000"
"Administrative Conference of the United States","Agency Overall","2021","11048.00","0.00","11048.00","0.00","0.0000"
"Legal Services Corporation","Agency Overall","2021","46627.00","0.00","46627.00","0.00","0.0000"
"Surface Transportation Board","Agency Overall","2021","11739.37","0.00","11739.37","0.00","0.0000"
"Department of the Interior","Agency Overall","2021","16691054.77","3693669.20","20384723.97","5185.25","0.0300"
"Office of Special Counsel","Agency Overall","2021","582019.23","0.00","582019.23","0.00","0.0000"
"Office of Science and Technology Policy","Agency Overall","2021","184024.00","0.00","184024.00","2765.70","1.5000"
"Federal Energy Regulatory Commission","Agency Overall","2021","527058.00","0.00","527058.00","0.00","0.0000"
"Armed Forces Retirement Home","Agency Overall","2021","31030.00","0.00","31030.00","0.00","0.0000"
"U.S. Agency for International Development","Agency Overall","2021","5814247.72","659595.03","6473842.75","0.00","0.0000"
"Department of Education","Agency Overall","2021","9507334.78","241223.65","9748558.43","6102.63","0.0600"
"Department of Health and Human Services","Agency Overall","2021","23322008.15","2759071.59","26081079.74","638129.75","2.7400"
"Department of Housing and Urban Development","Agency Overall","2021","100535.39","0.00","100535.39","10391.58","10.3400"
"Federal Mine Safety and Health Review Commission","Agency Overall","2021","125000.00","0.00","125000.00","305.00","0.2400"
"U.S. Interagency Council on Homelessness","Agency Overall","2021","100.00","0.00","100.00","0.00","0.0000"
"United States International Boundary and Water Commission","Agency Overall","2021","20000.00","0.00","20000.00","120.00","0.6000"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2021","1720.00","0.00","1720.00","0.00","0.0000"
"U.S. Commission on Civil Rights","Agency Overall","2021","200000.00","0.00","200000.00","0.00","0.0000"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2021","20875.00","0.00","20875.00","0.00","0.0000"
"Institute of Museum and Library Services","Agency Overall","2021","35383.50","0.00","35383.50","0.00","0.0000"
"Federal Retirement Thrift Investment Board","Agency Overall","2021","98827.00","0.00","98827.00","0.00","0.0000"
"Equal Employment Opportunity Commission","Agency Overall","2021","4054664.41","4200.00","4058864.41","6660.54","0.1600"
"U.S. Commission for the Preservation of America’s Heritage Abroad","Agency Overall","2021","0.01","0.00","0.01","0.00","0.0000"
"Millennium Challenge Corporation","Agency Overall","2021","177000.00","0.00","177000.00","0.00","0.0000"
"James Madison Memorial Fellowship Foundation","Agency Overall","2021","472.00","0.00","472.00","0.00","0.0000"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2021","20000.00","20000.00","40000.00","0.00","0.0000"
"Department of Justice","Agency Overall","2021","80619339.84","17111703.82","97731043.66","24032.54","0.0300"
"Office of the Director of National Intelligence","Agency Overall","2021","1942000.00","142859.00","2084859.00","0.00","0.0000"
"Selective Service System","Agency Overall","2021","4938.20","0.00","4938.20","0.00","0.0000"
"Federal Open Market Committee","Agency Overall","2021","132462.00","0.00","132462.00","0.00","0.0000"
"General Services Administration","Agency Overall","2021","989150.91","750.00","989900.91","32981.00","3.3300"
"National Endowment for the Arts","Agency Overall","2021","87500.00","0.00","87500.00","0.00","0.0000"
"Federal Labor Relations Authority","Agency Overall","2021","24767.00","0.00","24767.00","0.00","0.0000"
"U.S. Department of State","Agency Overall","2021","26961166.50","1043742.00","28004908.50","0.00","0.0000"
"National Aeronautics and Space Administration","Agency Overall","2021","1245805.27","3844.84","1249650.11","9560.22","0.7700"
"Denali Commission","Agency Overall","2021","170000.00","0.00","170000.00","0.00","0.0000"
"U.S. Election Assistance Commission","Agency Overall","2021","156100.00","8000.00","164100.00","0.00","0.0000"
"U.S. Railroad Retirement Board","Agency Overall","2021","471600.00","0.00","471600.00","423.00","0.0900"
"Social Security Administration","Agency Overall","2021","3794033.15","44995.97","3839029.12","498866.29","13.1500"
"Central Intelligence Agency","Agency Overall","2021","5169493.00","1033078.00","6202571.00","330.60","0.0100"
"United States Postal Service","Agency Overall","2021","2049142.75","11550.97","2060693.72","13231.00","0.6500"
"National Labor Relations Board","Agency Overall","2021","2227801.32","0.00","2227801.32","16810.12","0.7500"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2021","93683.20","0.00","93683.20","0.00","0.0000"
"U.S. International Development Finance Corporation","Agency Overall","2021","162958.00","9900.00","172858.00","0.00","0.0000"
"Farm Credit Administration","Agency Overall","2021","26000.00","0.00","26000.00","0.00","0.0000"
"Department of Veterans Affairs","Agency Overall","2021","6236496.17","0.00","6236496.17","96467.85","1.5500"
"Farm Credit System Insurance Corporation","Agency Overall","2021","26000.00","0.00","26000.00","0.00","0.0000"
"United States International Trade Commission","Agency Overall","2021","57500.00","0.00","57500.00","0.00","0.0000"
"National Capital Planning Commission","Agency Overall","2021","7400.00","0.00","7400.00","0.00","0.0000"
"Office of Government Ethics","Agency Overall","2021","344390.08","0.00","344390.08","0.00","0.0000"
"National Railroad Passenger Corporation","Agency Overall","2021","200000.00","0.00","200000.00","0.00","0.0000"
"Appraisal Subcommittee","Agency Overall","2021","3355.00","0.00","3355.00","0.00","0.0000"
"Department of Energy","Agency Overall","2021","7640462.82","351365.08","7991827.90","4555.82","0.0600"
"Occupational Safety and Health Review Commission","Agency Overall","2021","235023.21","0.00","235023.21","0.00","0.0000"
"Inter-American Foundation","Agency Overall","2021","10000.00","0.00","10000.00","0.00","0.0000"
"Court Services and Offender Supervision Agency","Agency Overall","2021","204091.00","0.00","204091.00","0.00","0.0000"
"Federal Housing Finance Agency","Agency Overall","2021","432940.87","0.00","432940.87","11386.68","2.6300"
"Office of Personnel Management","Agency Overall","2021","837201.73","27200.00","864401.73","15943.23","1.9000"
"Postal Regulatory Commission","Agency Overall","2021","25000.00","0.00","25000.00","548.27","2.1900"
"Department of Transportation","Agency Overall","2021","16287824.68","120466.00","16408290.68","189964.77","1.1700"
"Presidio Trust","Agency Overall","2021","37300.00","0.00","37300.00","727.00","1.9500"
"Environmental Protection Agency","Agency Overall","2021","36745363.20","1728168.00","38473531.20","36921.02","0.1000"
"National Mediation Board","Agency Overall","2021","72000.00","0.00","72000.00","0.00","0.0000"
"American Battle Monuments Commission","Agency Overall","2021","15750.00","0.00","15750.00","0.00","0.0000"
"National Transportation Safety Board","Agency Overall","2021","507953.40","0.00","507953.40","0.00","0.0000"
"Federal Deposit Insurance Corporation","Agency Overall","2021","2407670.00","35800.60","2443470.60","4161.10","0.1700"
"Federal Communications Commission","Agency Overall","2021","3022166.61","28921.76","3051088.37","13060.16","0.4300"
"Small Business Administration","Agency Overall","2021","2504320.00","0.00","2504320.00","76700.00","3.0600"
"Department of Commerce","Agency Overall","2021","8446439.00","48000.00","8494439.00","12389.03","0.1500"
"Office of National Drug Control Policy","Agency Overall","2021","164000.00","0.00","164000.00","0.00","0.0000"
"Consumer Financial Protection Bureau","Agency Overall","2021","814771.00","37424.00","852195.00","1426.77","0.1800"
"Peace Corps","Agency Overall","2021","396900.00","0.00","396900.00","0.00","0.0000"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2021","15000.00","0.00","15000.00","0.00","0.0000"
"National Science Foundation","Agency Overall","2021","407606.95","0.00","407606.95","0.00","0.0000"
"Department of Agriculture","Agency Overall","2021","20235770.74","1648324.91","21884095.65","14382.81","0.0700"
"Department of Labor","Agency Overall","2021","17843473.00","604422.00","18447895.00","112726.40","0.6300"
"Commodity Futures Trading Commission","Agency Overall","2021","388812.03","0.00","388812.03","0.00","0.0000"
"United States Institute of Peace","Agency Overall","2021","60000.00","0.00","60000.00","0.00","0.0000"
"Department of the Treasury","Agency Overall","2021","14699222.97","1484983.67","16184206.64","66262.36","0.4500"
