"Agency","Component","Fiscal Year","Statute","Case Citation","Type of Information Withheld","Number of Times Relied Upon"
"National Council on Disability","Agency Overall","2021","N/A","N/A","N/A","0"
"United States Copyright Office","Agency Overall","2021","N/A","N/A","N/A","0"
"Federal Financial Institutions Examination Council","Agency Overall","2021","N/A","N/A","N/A","0"
"National Credit Union Administration","Agency Overall","2021","N/A","N/A","N/A","0"
"Pension Benefit Guaranty Corporation","Agency Overall","2021","29 U.S.C. § 1310(c)","N/A","Any information or documentary material submitted to the [agency] pursuant to . . . section [1310 of title 29 of the United States Code].","4"
"Pension Benefit Guaranty Corporation","Agency Overall","2021","29 U.S.C. § 1343(f)","N/A","Any information or documentary material submitted to the [agency] pursuant to . . . section [1343 of title 29 of the United States Code].","2"
"Pension Benefit Guaranty Corporation","Agency Overall","2021","41 U.S.C. § 4702 (formerly at 41 U.S.C. § 253b(m)(1)) ","Sinkfield v. HUD, No. 10-885, 2012 U.S. Dist. LEXIS 35233, at *13-15 (S.D. Ohio Mar. 15 2012); Margolin v. NASA, No. 09-CV-00421, 2011 WL 1303221, at *6 (D. Nev. Mar. 31, 2011); Hornbostel v. U.S. Dep't of the Interior, 305 F. Supp. 2d 21, 30 (D.D.C. 2003), summary affirmance granted, No. 03-5257, 2004 WL 1900562 (D.C. Cir. Aug. 25, 2004).","Contractor proposals that are in possession or control of an executive agency and that have not been set forth or incorporated by reference into contracts.","2"
"Commission of Fine Arts","Agency Overall","2021","N/A","N/A","N/A","0"
"United States African Development Foundation","Agency Overall","2021","N/A","0","N/A","0"
"Consumer Product Safety Commission","Agency Overall","2021","15 U.S.C. 2074(c)","N/A","Information that identifies persons or those treating injured persons, absent consent","67"
"Consumer Product Safety Commission","Agency Overall","2021","15 U.S.C. §§ 2055(a)(2), 2055(b)(1), 2055(b)(5)","Consumer Prod. Safety
Comm'n v. GTE Sylvania, Inc.,
447 U.S. 102, 122 (1980) (15
U.S.C. § 2055(b)(1)); Mulloy v.
Consumer Prods. Safety
Comm'n, No. 85-3720, 1986
WL 17283, at *1 (6th Cir. July
22, 1986) (per curiam)
(unpublished disposition) (15
U.S.C. § 2055(a)(2) and 15
U.S.C. § 2055(b)(5)); Reliance
Elec. Co. v. Consumer Prod.
Safety Comm'n, No. 87-1478,
slip op. at 16-17 (D.D.C. Sept.
19, 1989) (15 U.S.C.
§ 2055(b)(5)).","Certain information reported to, or otherwise obtained by the Consumer Product Safety Commission which either contains or relates to a trade secret or is ""subject to section 552(b)(4) of Title 5""","108"
"Consumer Product Safety Commission","Agency Overall","2021","15 U.S.C. 2055(e)(1)","N/A","Information submitted under statutory reporting requirement for certain consumer products involved in product liability actions","1"
"Council on Environmental Quality","Agency Overall","2021","N/A","N/A","N/A","0"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2021","50 U.S.C. § 3507 (formerly at 50 U.S.C. § 403g) (Central Intelligence Agency Act of 1949)","Assassination Archives & Rsch. Ctr. v. CIA, No. 18-5280, 2019 WL 691517 (D.C. Cir. Feb. 15, 2019) (per curiam); ACLU v. DOJ, 681 F.3d 61, 72-75 (2d Cir. 2012); Berman v. CIA,
501 F.3d 1136, 1137-38, 1140 (9th Cir. 2007); Makky v. Chertoff, 489 F. Supp. 2d 421, 442 (D.N.J. 2007), aff'd on other grounds, 541 F. 3d 205 (3d Cir. 2008). ","Intelligence sources and methods; certain information pertaining to Agency employees, specifically: ""the organization, functions, names, official titles, salaries, or numbers of personnel employed by the Agency""
","1"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2021","10 U.S.C. § 424 ","Hamdan v. DOJ, 797 F.3d 759, 776 (9th Cir. 2015); Freedom Watch, Inc. v. NSA, 197 F. Supp. 3d 165, 174 (D.D.C. 2016); Wickwire Gavin, P.C. v. Def. Intel. Agency, 330 F. Supp. 2d 592, 602 (E.D. Va. 2004). ","Organization or any function of an organization, and certain information pertaining to, employees of the Defense Intelligence Agency, the National Reconnaissance Office, and the National Geospatial Intelligence Agency","1"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2021","39 U.S.C. § 410(c)(2) (Postal Reorganization Act)","Wickwire Gavin, P.C. v. USPS, 356 F.3d 588, 589, 597 (4th Cir. 2004); Am. Postal Workers Union, AFL-CIO v. USPS, 742 F. Supp. 2d 76, 81-83 (D.D.C. 2010); Reid v. USPS, No. 05-
294, 2006 WL 1876682, at *5-9 (S.D. Ill. July 5, 2006); Robinett v. USPS, No. 02-1094, 2002 WL 1728582, at *5 (E.D. La. July 24, 2002).","Commercial information which would not be disclosed under good business practice.","1"
"Harry S. Truman Scholarship Foundation","Agency Overall","2021","N/A","N/A","N/A","0"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2021","41 U.S.C. § 2102 (amending 41 U.S.C. § 423(a)(1))  (Procurement Integrity Act) ","Legal & Safety Emp. Rsch., Inc. v. U.S. Dep't of the Army, No. Civ. S001748, 2001 WL 34098652, at *3-4 (E.D. Cal. May 4, 2001) (dictum). ","Contractor bid or proposal information; source selection information.","1"
"Advisory Council on Historic Preservation","Agency Overall","2021","N/A","N/A","N/A","0"
"Federal Mediation and Conciliation Service","Agency Overall","2021","N/A","N/A","N/A","0"
"U.S. Agency for Global Media","Agency Overall","2021","N/A","N/A","N/A","0"
"Office of the United States Trade Representative","Agency Overall","2021","19 U.S.C. § 2155(g)","Intell. Prop. Watch v. U.S. Trade Representative, 205 F. Supp. 3d 334, 345-46 (S.D.N.Y. 2016).","Certain information in connection with trade negotiations that is “submitted in confidence”","4"
"Social Security Advisory Board","Agency Overall","2021","N/A","N/A","N/A","0"
"National Endowment for the Humanities","Agency Overall","2021","N/A","N/A","N/A","0"
"Marine Mammal Commission","Agency Overall","2021","N/A","N/A","N/A","0"
"Administrative Conference of the United States","Agency Overall","2021","N/A","N/A","N/A","0"
"Legal Services Corporation","Agency Overall","2021","N/A","N/A","N/A","0"
"Surface Transportation Board","Agency Overall","2021","41 U.S.C. § 4702 (formerly at 41 U.S.C. § 253b(m)(1))","Sinkfield v. HUD, No. 10-885, 2012 U.S. Dist. LEXIS 35233, at *13-15 (S.D. Ohio Mar. 15, 2012); Margolin v. NASA, No. 09-CV-00421, 2011 WL 1303221, at *6 (D. Nev. Mar. 31, 2011); Hornbostel v. U.S. Dep’t of the Interior, 305 F. Supp. 2d 21, 30 (D.D.C. 2003), summary affirmance granted, No. 03-5257, 2004 WL 1900562 (D.C. Cir. Aug. 25, 2004).","Contractor proposals that are in the possession or control of an executive agency and that have not been set forth or incorporated by reference into contracts","1"
"Department of the Interior","Agency Overall","2021","25 U.S.C. § 2103(c)","N/A","Information related to decisions to grant/disapprove minerals agreements for Indian tribes.","4"
"Department of the Interior","Agency Overall","2021","16 U.S.C. § 470hh ","Hornbostel v. U.S. Dep't of the Interior, 305 F. Supp. 2d 21, 30 (D.D.C. 2003), summary affirmance granted, No. 03-5257, 2004 WL 1900562 (D.C. Cir. Aug. 25, 2004); Starkey v. U.S. Dep't of the Interior, 238 F. Supp. 2d 1188, 1193-94 (S.D. Cal.
2002).","Information pertaining to the nature and location of certain archaeological resources","36"
"Department of the Interior","Agency Overall","2021","41 U.S.C. § 4702 (formerly at 41 U.S.C. § 253b(m)(1))","Sinkfield v. HUD, No. 10-885, 2012 U.S. Dist. LEXIS 35233, at *13-15 (S.D. Ohio Mar. 15, 2012); Margolin v. NASA, No.09-CV-00421, 2011 WL1303221, at *6 (D. Nev. Mar.31, 2011); Hornbostel v. U.S. Dep't of the Interior, 305 F. Supp. 2d 21, 30 (D.D.C. 2003), summary affirmance granted, No. 03-5257, 2004 WL1900562 (D.C. Cir. Aug. 25, 2004).","Contractor proposals that are in the possession or control of an executive agency and that have not been set forth or incorporated by reference into contracts","19"
"Department of the Interior","Agency Overall","2021","16 U.S.C. § 470aaa-8 ","N/A","Information concerning the nature and specific location of a paleontological resource.","3"
