"Agency","Component","Fiscal Year","Date","10th Oldest Number of Days Pending","Date","9th Oldest Number of Days Pending","Date","8th Oldest Number of Days Pending","Date","7th Oldest Number of Days Pending","Date","6th Oldest Number of Days Pending","Date","5th Oldest Number of Days Pending","Date","4th Oldest Number of Days Pending","Date","3rd Oldest Number of Days Pending","Date","2nd Oldest Number of Days Pending","Date","Oldest Number of Days Pending"
"National Council on Disability","Agency Overall","2021","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"United States Copyright Office","Agency Overall","2021","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Federal Financial Institutions Examination Council","Agency Overall","2021","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"National Credit Union Administration","Agency Overall","2021","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2021-09-30","0","2021-09-28","2"
"Pension Benefit Guaranty Corporation","Agency Overall","2021","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Commission of Fine Arts","Agency Overall","2021","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"United States African Development Foundation","Agency Overall","2021","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Consumer Product Safety Commission","Agency Overall","2021","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Council on Environmental Quality","Agency Overall","2021","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2021","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2020-05-22","335"
"Harry S. Truman Scholarship Foundation","Agency Overall","2021","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2021","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Advisory Council on Historic Preservation","Agency Overall","2021","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Federal Mediation and Conciliation Service","Agency Overall","2021","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"U.S. Agency for Global Media","Agency Overall","2021","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2021-05-13","97","2021-03-03","148","2020-06-20","321"
"Office of the United States Trade Representative","Agency Overall","2021","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Social Security Advisory Board","Agency Overall","2021","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"National Endowment for the Humanities","Agency Overall","2021","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Marine Mammal Commission","Agency Overall","2021","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Administrative Conference of the United States","Agency Overall","2021","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Legal Services Corporation","Agency Overall","2021","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Surface Transportation Board","Agency Overall","2021","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Department of the Interior","Agency Overall","2021","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Office of Special Counsel","Agency Overall","2021","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2021-09-24","4"
"Office of Science and Technology Policy","Agency Overall","2021","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Federal Energy Regulatory Commission","Agency Overall","2021","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Armed Forces Retirement Home","Agency Overall","2021","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"U.S. Agency for International Development","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","2021-08-16","32","2021-08-06","38","2021-07-20","51","2021-06-14","76","2021-06-04","82"
"Department of Education","Agency Overall","2021","2019-08-14","535","2019-08-13","536","2019-07-21","552","2019-05-29","589","2019-04-25","612","2018-10-16","743","2018-08-21","781","2018-08-15","785","2017-10-02","1003","2014-03-07","1900"
"Department of Health and Human Services","Agency Overall","2021","2014-07-16","1882","2014-03-26","1888","2014-03-18","1894","2014-06-23","1899","2014-03-06","1976","2014-03-06","1976","2014-03-06","1976","2012-04-15","2469","2012-04-06","2475","2011-12-07","2562"
"Department of Housing and Urban Development","Agency Overall","2021","2021-09-14","13","2021-02-08","165","2020-12-07","207","2020-11-05","227","2019-12-16","452","2019-11-12","475","2019-09-26","506","2019-09-13","515","2019-04-01","631","2018-03-01","902"
"Federal Mine Safety and Health Review Commission","Agency Overall","2021","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"U.S. Interagency Council on Homelessness","Agency Overall","2021","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"United States International Boundary and Water Commission","Agency Overall","2021","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2021","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"U.S. Commission on Civil Rights","Agency Overall","2021","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2021","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Institute of Museum and Library Services","Agency Overall","2021","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Federal Retirement Thrift Investment Board","Agency Overall","2021","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Equal Employment Opportunity Commission","Agency Overall","2021","2021-03-22","136","2021-03-22","136","2021-03-22","136","2021-03-20","136","2021-03-17","139","2021-03-16","140","2021-03-16","140","2021-03-06","146","2021-03-02","149","2021-02-11","164"
"U.S. Commission for the Preservation of America’s Heritage Abroad","Agency Overall","2021","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Millennium Challenge Corporation","Agency Overall","2021","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2021-07-17","92"
"James Madison Memorial Fellowship Foundation","Agency Overall","2021","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2021","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Department of Justice","Agency Overall","2021","2019-11-18","466","2019-11-15","467","2019-11-14","468","2019-11-14","468","2019-11-05","474","2019-10-28","480","2019-10-23","483","2019-10-21","485","2019-10-17","487","2019-10-17","487"
"Office of the Director of National Intelligence","Agency Overall","2021","2021-08-16","33","2021-08-13","34","2021-08-06","39","2021-05-10","100","2021-04-14","118","2021-02-08","164","2021-02-08","164","2021-01-27","172","2019-01-15","681","2014-10-15","1746"
"Selective Service System","Agency Overall","2021","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Federal Open Market Committee","Agency Overall","2021","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"General Services Administration","Agency Overall","2021","2021-04-19","114","2020-12-29","190","2020-12-04","205","2020-08-20","276","2020-08-06","286","2020-06-02","332","2018-12-03","703","2018-05-22","835","2018-05-21","836","2017-11-03","968"
"National Endowment for the Arts","Agency Overall","2021","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Federal Labor Relations Authority","Agency Overall","2021","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"U.S. Department of State","Agency Overall","2021","2015-03-18","1622","2015-02-06","1633","2015-02-02","1637","2015-01-23","1647","2014-12-12","1673","2014-11-25","1687","2014-10-29","1707","2014-10-22","1712","2013-12-06","1931","2013-04-18","2090"
"National Aeronautics and Space Administration","Agency Overall","2021","N/A","0","N/A","0","2021-06-28","66","2021-06-10","78","2021-05-12","98","2021-03-03","148","2021-01-27","172","2020-11-13","221","2020-11-13","221","2020-09-16","261"
"Denali Commission","Agency Overall","2021","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"U.S. Election Assistance Commission","Agency Overall","2021","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"U.S. Railroad Retirement Board","Agency Overall","2021","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Social Security Administration","Agency Overall","2021","2021-07-19","52","2021-07-14","56","2021-06-28","67","2021-06-11","79","2021-05-26","91","2021-03-30","131","2021-03-12","144","2021-03-09","146","2020-11-23","222","2019-08-27","546"
"Central Intelligence Agency","Agency Overall","2021","2013-09-25","2010","2013-09-25","2010","2013-09-25","2010","2013-09-25","2010","2013-09-25","2010","2013-07-19","2057","2013-04-10","2127","2012-11-19","2224","2011-01-06","2443","2007-04-16","3629"
"United States Postal Service","Agency Overall","2021","2021-09-21","7","2021-09-21","7","2021-09-17","9","2021-09-17","9","2021-09-17","9","2021-09-17","9","2021-09-17","9","2021-09-08","16","2021-09-02","19","2021-09-02","19"
"National Labor Relations Board","Agency Overall","2021","N/A","0","N/A","0","N/A","0","N/A","0","2021-09-30","<1","2021-09-30","<1","2021-09-30","<1","2021-09-30","<1","2021-09-24","4","2021-09-09","15"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2021","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"U.S. International Development Finance Corporation","Agency Overall","2021","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Farm Credit Administration","Agency Overall","2021","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Department of Veterans Affairs","Agency Overall","2021","2019-06-03","586","2019-05-22","593","2019-03-27","633","2019-01-29","673","2018-09-28","745","2018-09-27","755","2018-08-16","784","2017-08-17","1034","2017-02-23","1157","2016-12-28","1195"
"Farm Credit System Insurance Corporation","Agency Overall","2021","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"United States International Trade Commission","Agency Overall","2021","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"National Capital Planning Commission","Agency Overall","2021","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Office of Government Ethics","Agency Overall","2021","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"National Railroad Passenger Corporation","Agency Overall","2021","2019-10-16","493","2019-10-09","498","2019-07-30","548","2019-06-18","577","2019-02-12","665","2019-02-11","666","2018-12-21","698","2018-04-19","869","2017-08-02","1520","2017-03-28","1647"
"Appraisal Subcommittee","Agency Overall","2021","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Department of Energy","Agency Overall","2021","2019-08-08","575","2018-11-20","755","2017-05-24","1130","2016-06-21","1362","2015-04-20","1657","2014-12-08","1748","2013-11-15","2014","2013-10-16","2035","2013-10-10","2039","2012-07-03","2359"
"Occupational Safety and Health Review Commission","Agency Overall","2021","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Inter-American Foundation","Agency Overall","2021","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Court Services and Offender Supervision Agency","Agency Overall","2021","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
