"Agency","Component","Fiscal Year","Number of Consultations Received from Other Agencies that were Pending at the Agency as of Start of the Fiscal Year","Number of Consultations Received from Other Agencies During the Fiscal Year","Number of Consultations Received from Other Agencies that were Processed by the Agency During the Fiscal Year","Number of Consultations Received from Other Agencies that were Pending at the Agency as of End of the Fiscal Year"
"Department of Transportation","Agency Overall","2008","25","10","34","1"
"National Archives and Records Administration","Agency Overall","2008","0","0","0","0"
"National Indian Gaming Commission","Agency Overall","2008","0","0","0","0"
"National Railroad Passenger Corporation","Agency Overall","2008","0","1","0","1"
"Federal Housing Finance Agency","Agency Overall","2008","0","0","0","0"
"United States Copyright Office","Agency Overall","2008","0","0","0","0"
"Federal Maritime Commission","Agency Overall","2008","0","0","0","0"
"Postal Regulatory Commission","Agency Overall","2008","0","0","0","0"
"Department of Health and Human Services","Agency Overall","2008","1","19","20","0"
"Department of Education","Agency Overall","2008","0","0","0","0"
"Federal Deposit Insurance Corporation","Agency Overall","2008","0","1","1","0"
"Environmental Protection Agency","Agency Overall","2008","5","31","23","13"
"National Science Foundation","Agency Overall","2008","1","1","2","0"
"Defense Nuclear Facilities Safety Board","Agency Overall","2008","0","0","0","0"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2008","0","0","0","0"
"Federal Open Market Committee","Agency Overall","2008","0","0","0","0"
"United States International Trade Commission","Agency Overall","2008","0","0","0","0"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2008","0","0","0","0"
"Department of Commerce","Agency Overall","2008","0","64","59","5"
"Securities and Exchange Commission","Agency Overall","2008","0","6","6","0"
"General Services Administration","Agency Overall","2008","0","0","0","0"
"Federal Communications Commission","Agency Overall","2008","0","0","0","0"
"Office of Management and Budget","Agency Overall","2008","0","24","24","0"
"Overseas Private Investment Corporation","Agency Overall","2008","0","1","1","0"
"Surface Transportation Board","Agency Overall","2008","0","0","0","0"
"Department of Energy","Agency Overall","2008","153","155","179","129"
"Federal Mediation and Conciliation Service","Agency Overall","2008","0","0","0","0"
"Office of Science and Technology Policy","Agency Overall","2008","0","0","0","0"
"Department of Labor","Agency Overall","2008","3","13","16","0"
"Export-Import Bank of the U.S.","Agency Overall","2008","0","4","4","0"
"Institute of Museum and Library Services","Agency Overall","2008","0","0","0","0"
"U.S. Railroad Retirement Board","Agency Overall","2008","0","1","1","0"
"Office of Personnel Management","Agency Overall","2008","0","6","5","1"
"U.S. Agency for International Development","Agency Overall","2008","0","10","9","1"
"National Credit Union Administration","Agency Overall","2008","0","0","0","0"
"Department of Veterans Affairs","Agency Overall","2008","0","4","4","0"
"Department of Housing and Urban Development","Agency Overall","2008","0","1","1","0"
"Consumer Product Safety Commission","Agency Overall","2008","0","1","1","0"
"Council on Environmental Quality","Agency Overall","2008","0","5","5","0"
"Department of Homeland Security","Agency Overall","2008","26","263","251","38"
"United States International Boundary and Water Commission","Agency Overall","2008","0","1","1","0"
"Small Business Administration","Agency Overall","2008","0","0","0","0"
"Social Security Administration","Agency Overall","2008","0","0","0","0"
"Peace Corps","Agency Overall","2008","0","0","0","0"
"U.S. Department of State","Agency Overall","2008","745","1676","1652","769"
"Federal Reserve System","Agency Overall","2008","0","0","0","0"
"National Endowment for the Humanities","Agency Overall","2008","0","0","0","0"
"National Mediation Board","Agency Overall","2008","0","0","0","0"
"Merit Systems Protection Board","Agency Overall","2008","0","0","0","0"
"Federal Labor Relations Authority","Agency Overall","2008","0","0","0","0"
"Tennessee Valley Authority","Agency Overall","2008","0","1","1","0"
"Office of National Drug Control Policy","Agency Overall","2008","0","0","0","0"
"Selective Service System","Agency Overall","2008","0","0","0","0"
"Federal Trade Commission","Agency Overall","2008","0","0","0","0"
"Occupational Safety and Health Review Commission","Agency Overall","2008","0","0","0","0"
"National Aeronautics and Space Administration","Agency Overall","2008","0","23","0","23"
"Federal Financial Institutions Examination Council","Agency Overall","2008","0","0","0","0"
"Inter-American Foundation","Agency Overall","2008","0","0","0","0"
"Farm Credit Administration","Agency Overall","2008","0","0","0","0"
"Department of Defense","Agency Overall","2008","660","1096","997","759"
"Department of Justice","Agency Overall","2008","175","1438","1323","290"
"Federal Energy Regulatory Commission","Agency Overall","2008","0","0","0","0"
"Commodity Futures Trading Commission","Agency Overall","2008","0","1","0","1"
"Department of the Interior","Agency Overall","2008","0","12","12","0"
"Farm Credit System Insurance Corporation","Agency Overall","2008","0","0","0","0"
"Department of the Treasury","Agency Overall","2008","0","97","89","8"
"Federal Mine Safety and Health Review Commission","Agency Overall","2008","0","0","0","0"
"Office of Government Ethics","Agency Overall","2008","0","0","0","0"
"Nuclear Regulatory Commission","Agency Overall","2008","0","1","1","0"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2008","0","0","0","0"
"Federal Election Commission","Agency Overall","2008","0","0","0","0"
"All agencies","Agency Overall","2008","1794","4967","4722","2039"
