"Agency","Component","Fiscal Year","Number Affirmed on Appeal","Number Partially Affirmed & Partially Reversed/Remanded on Appeal","Number Completely Reversed/Remanded on Appeal","Number of Appeals Closed for Other Reasons","Total"
"Department of Transportation","Agency Overall","2008","43","20","7","60","130"
"National Archives and Records Administration","Agency Overall","2008","11","1","4","5","21"
"National Indian Gaming Commission","Agency Overall","2008","0","2","0","1","3"
"National Railroad Passenger Corporation","Agency Overall","2008","0","0","0","1","1"
"Federal Housing Finance Agency","Agency Overall","2008","0","1","0","0","1"
"United States Copyright Office","Agency Overall","2008","1","0","0","0","1"
"Federal Maritime Commission","Agency Overall","2008","0","0","0","0","0"
"Postal Regulatory Commission","Agency Overall","2008","0","0","0","0","0"
"Department of Health and Human Services","Agency Overall","2008","22","5","11","332","370"
"Department of Education","Agency Overall","2008","6","16","13","19","54"
"Federal Deposit Insurance Corporation","Agency Overall","2008","0","0","0","1","1"
"Environmental Protection Agency","Agency Overall","2008","12","37","49","67","165"
"National Science Foundation","Agency Overall","2008","8","2","0","0","10"
"Defense Nuclear Facilities Safety Board","Agency Overall","2008","0","0","0","0","0"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2008","1","0","0","0","1"
"Federal Open Market Committee","Agency Overall","2008","0","0","0","0","0"
"United States International Trade Commission","Agency Overall","2008","0","0","0","0","0"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2008","0","0","0","0","0"
"Department of Commerce","Agency Overall","2008","23","7","5","28","63"
"Securities and Exchange Commission","Agency Overall","2008","92","10","72","13","187"
"General Services Administration","Agency Overall","2008","2","4","7","5","18"
"Federal Communications Commission","Agency Overall","2008","12","0","1","7","20"
"Office of Management and Budget","Agency Overall","2008","1","5","0","1","7"
"Overseas Private Investment Corporation","Agency Overall","2008","1","1","0","0","2"
"Surface Transportation Board","Agency Overall","2008","0","0","0","0","0"
"Department of Energy","Agency Overall","2008","23","7","7","14","51"
"Federal Mediation and Conciliation Service","Agency Overall","2008","0","0","0","0","0"
"Office of Science and Technology Policy","Agency Overall","2008","0","0","0","0","0"
"Department of Labor","Agency Overall","2008","71","84","12","216","383"
"Export-Import Bank of the U.S.","Agency Overall","2008","0","0","0","1","1"
"Institute of Museum and Library Services","Agency Overall","2008","0","0","0","0","0"
"U.S. Railroad Retirement Board","Agency Overall","2008","1","0","1","0","2"
"Office of Personnel Management","Agency Overall","2008","25","4","3","0","32"
"U.S. Agency for International Development","Agency Overall","2008","2","1","1","0","4"
"National Credit Union Administration","Agency Overall","2008","2","0","0","1","3"
"Department of Veterans Affairs","Agency Overall","2008","81","44","21","84","230"
"Department of Housing and Urban Development","Agency Overall","2008","24","5","7","5","41"
"Consumer Product Safety Commission","Agency Overall","2008","21","0","0","3","24"
"Council on Environmental Quality","Agency Overall","2008","3","0","0","0","3"
"Department of Homeland Security","Agency Overall","2008","332","271","417","1570","2590"
"United States International Boundary and Water Commission","Agency Overall","2008","0","0","0","0","0"
"Small Business Administration","Agency Overall","2008","10","2","6","4","22"
"Social Security Administration","Agency Overall","2008","48","11","15","0","74"
"Peace Corps","Agency Overall","2008","1","0","0","0","1"
"U.S. Department of State","Agency Overall","2008","197","248","25","16","486"
"Federal Reserve System","Agency Overall","2008","9","0","1","1","11"
"National Endowment for the Humanities","Agency Overall","2008","1","1","0","0","2"
"National Mediation Board","Agency Overall","2008","1","0","0","0","1"
"Merit Systems Protection Board","Agency Overall","2008","10","0","0","0","10"
"Federal Labor Relations Authority","Agency Overall","2008","2","0","0","3","5"
"Tennessee Valley Authority","Agency Overall","2008","7","1","0","0","8"
"Office of National Drug Control Policy","Agency Overall","2008","1","0","0","0","1"
"Selective Service System","Agency Overall","2008","0","0","0","0","0"
"Federal Trade Commission","Agency Overall","2008","11","2","1","1","15"
"Occupational Safety and Health Review Commission","Agency Overall","2008","0","0","0","0","0"
"National Aeronautics and Space Administration","Agency Overall","2008","6","2","3","2","13"
"Federal Financial Institutions Examination Council","Agency Overall","2008","0","0","0","0","0"
"Inter-American Foundation","Agency Overall","2008","0","0","0","0","0"
"Farm Credit Administration","Agency Overall","2008","0","0","0","0","0"
"Department of Defense","Agency Overall","2008","245","138","37","442","862"
"Department of Justice","Agency Overall","2008","1468","3","577","1619","3667"
"Federal Energy Regulatory Commission","Agency Overall","2008","3","0","0","4","7"
"Commodity Futures Trading Commission","Agency Overall","2008","4","0","0","0","4"
"Department of the Interior","Agency Overall","2008","26","1","61","212","300"
"Farm Credit System Insurance Corporation","Agency Overall","2008","0","0","0","0","0"
"Department of the Treasury","Agency Overall","2008","256","15","5","41","317"
"Federal Mine Safety and Health Review Commission","Agency Overall","2008","0","0","0","0","0"
"Office of Government Ethics","Agency Overall","2008","0","0","0","0","0"
"Nuclear Regulatory Commission","Agency Overall","2008","5","2","0","2","9"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2008","0","0","0","0","0"
"Federal Election Commission","Agency Overall","2008","0","0","0","0","0"
"All agencies","Agency Overall","2008","3131","953","1369","4781","10234"
