"Agency","Component","Fiscal Year","Statute","Case Citation","Type of Information Withheld","Number of Times Relied Upon"
"Department of Transportation","Agency Overall","2008","5 U.S.C. App. 4, 107","N/A","Confidential financial disclosure reports.","1"
"Department of Transportation","Agency Overall","2008","23 U.S.C. 403 note","N/A","The identity of individuals in highway traffic accident or research reports.","1"
"Department of Transportation","Agency Overall","2008","41 U.S.C. 253b(m)","Hornbostel v. DOI, 305 F. Supp. 2d 21 (D.D.C. 2003)","Contract proposals not incorporated in contracts.","15"
"Department of Transportation","Agency Overall","2008","49 U.S.C. 31143(b)","N/A","IDs of motor carrier safety complainants.","110"
"Department of Transportation","Agency Overall","2008","49 U.S.C. 40115","N/A","Information harmful to U.S. international aviation negotiation or to any U.S. international air carrier.","3"
"Department of Transportation","Agency Overall","2008","49 U.S.C. 40119","N/A","Information the release of which would be an unwarranted invasion of personal privacy, would reveal a trade secret or privileged or confidential information, or would be detrimental to the safety of passengers in transportation.","4"
"Department of Transportation","Agency Overall","2008","49 U.S.C. 40123(a)","N/A","Aviation Safety Action Program voluntarily submitted information.","6"
"Department of Transportation","Agency Overall","2008","49 U.S.C. 40110","N/A","Contract offers to the FAA.","7"
"Department of Transportation","Agency Overall","2008","49 U.S.C. 30305©(1)","N/A","Certain information received pursuant to the National Driver Register Act of 1982.","1"
"Department of Transportation","Agency Overall","2008","49 U.S.C. 70114","N/A","Restricted commercial space launch activities information.","1"
"National Archives and Records Administration","Agency Overall","2008","10 U.S.C. 424","None","Organizational and Personnel","2"
"National Archives and Records Administration","Agency Overall","2008","18 U.S.C. 2510 - 2520","Lam Lek Chong v. DEA, 929 F.2d","Wiretap requests and","2"
"National Archives and Records Administration","Agency Overall","2008","26 U.S.C. 6103","Church of Scientology v. IRS","Income Tax Returns and return","3"
"National Archives and Records Administration","Agency Overall","2008","50 U.S.C. 403-3(c)(7)","CIA v. Sims 471 U.S. 159, 167","Intelligence sources and","1"
"National Archives and Records Administration","Agency Overall","2008","50 U.S.C. 403(g)","Minier v. CIA, 88 F. 3d 796,","CIA organization, activities, and","7"
"National Archives and Records Administration","Agency Overall","2008","F.R.Cr.P. 6(e)","Senate of Puerto Rico v. United","Grand Jury Information","4"
"National Indian Gaming Commission","Agency Overall","2008","0","N/A","0","0"
"National Railroad Passenger Corporation","Agency Overall","2008","49 USC 24301 note","None","Bid proposals not incorporated in contracts.","7"
"Federal Housing Finance Agency","Agency Overall","2008","0","N/A","N/A","0"
"United States Copyright Office","Agency Overall","2008","0","N/A","0","0"
"Federal Maritime Commission","Agency Overall","2008","0","N/A","0","0"
"Postal Regulatory Commission","Agency Overall","2008","0","N/A","0","0"
"Department of Health and Human Services","Agency Overall","2008","42 U.S.C. § 262a","","Select Agent Information","13"
"Department of Health and Human Services","Agency Overall","2008","41 U.S.C. § 253b(m)","Hornbostel v. U.S. Dep’t. of Interior  305 F.Supp.2d 21 (D.D.C. 2003)","Technical proposal not incorporated into a final contract","19"
"Department of Health and Human Services","Agency Overall","2008","42 U.S.C. § 242m(d) (Public Health Service Act § 308(d))","","Identifiable  information for certain research and statistical activities","3"
"Department of Health and Human Services","Agency Overall","2008","35 U.S.C. § 122","Irons and Sears v. Dann, 606 F 2d 1215 (D.C. Cir. 1979), Leeds v. Ouigg 720 F. Supp. 193 (D.D.C. 1989)","Information contained in a pending or otherwise non-issued patent application","1"
"Department of Health and Human Services","Agency Overall","2008","5 U.S.C. App 4 § 107(a)(2)","Meyerhoff v. U.S. Envtl. Prot. Agency, 958 F.2d 1498 (9th Cir. 1992)","OGE Form 450 (Confidential Financial Disclosure Report)","1"
"Department of Health and Human Services","Agency Overall","2008","42 U.S.C. § 300aa12(d)(4)(A)","Poling ex rel. Poling v. Secretary of HHS, No 02-1466V, 2008 WL 1883059 (Fed. Cl. Apr. 10, 2008)","Records presented to a Special Master in court proceedings under the National Childhood Vaccine Injury Compensation Act.","1"
"Department of Health and Human Services","Agency Overall","2008","21 U.S.C. § 415(a)(4)","","Food Registration Documents","38"
"Department of Education","Agency Overall","2008","41 U.S.C. 253b(m)","Hornbostel v. DOI, 305 F. Supp. 2d 21 (D.D.C. 2003)","Prohibition on Release of Contractor Proposals","4"
"Department of Education","Agency Overall","2008","5 U.S.C. 571","n/a","Communications relating to proceedings arising under the Alternative Dispute Resolution Act","1"
"Federal Deposit Insurance Corporation","Agency Overall","2008","Rule 6(e) Fed. Rules of Criminal Procedure","Senate of Puerto Rico v. Dept. of Justice, 823 F.2d 574 (D.C. Cir 1987)","","1"
"Environmental Protection Agency","Agency Overall","2008","F.R. Cr. P. 6(e)","Senate of Puerto Rico v. U.S. Department of Justice, 823 F2d 574, (D.D.C. 1987).","Records relating to Grand Jury Investigations or Proceedings","1"
"Environmental Protection Agency","Agency Overall","2008","P.I. Act 41 U.S.C b(m)(1)","Hornbosel v. Dept. of Interior, 305 F. Supp. 2d 21 (D.D.C. 2003) as amended (2004), aff’d on other grounds, 2004 WL1900562 (D.C. Cir. 2004).","Procurement Integrity Act: Contract Proposals","2"
"Environmental Protection Agency","Agency Overall","2008","FIFRA 7 U.S.C. 136h Sect. 10g","N","Federal Insecticide, Fungicide, and Rodenticide Act 7 U.S.C. 136 h, Section 10 (g): Analytical, health, environmental effects and efficacy data that prohibits registrants from disclosing information to foreign competitors","19"
"Environmental Protection Agency","Agency Overall","2008","FIFRA 7 U.S.C. 136h Sect. 10","N","Federal Insecticide, Fungicide, and Rodenticide Act 7 U.S.C. 136h Section 10(g): Studies from registrants who engage in the distribution of pesticides in countries other than the U.S.","1"
"Environmental Protection Agency","Agency Overall","2008","ADR Act U.S.C. Section 547(j)","N","1996 ADR Act. U.S.C. Section 574 (j)","1"
"Environmental Protection Agency","Agency Overall","2008","P.I.A. 41 U.S.C. 253b(m)(1)","Hornbosel v. Dept. of Interior, 305 F. Supp. 2d 21 (D.D.C. 2003) as amended (2004), aff’d on other grounds, 2004 WL1900562 (D.C. Cir. 2004).","Procurement Integrity Ad, 41 U.S.C. 253b(m)(1): Contract Proposal","1"
"National Science Foundation","Agency Overall","2008","41 U.S.C. § 253b","Hornbostel v. U.S. Dept. of Interior, 305 F. Supp. 2d 21 (D.D.C. 2003)","Business Proposal Documents not incorporated in contracts","7"
"National Science Foundation","Agency Overall","2008","35 U.S.C. § 122","Irons and Sears v. Dann, 606 F.2d 1215, 1220 (D.C. Cir. 1979), cert. denied., 444 U.S. 1075 (1980); Lee Pharmaceuticals v. Kreps, 577 F.2d 610, 615-617 (9th Cir. 1978), cert. denied, 439 U.S. 1073 (1979)","Confidential status of applications; publication of patent applications","18"
"Defense Nuclear Facilities Safety Board","Agency Overall","2008","0","0","0","0"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2008","0","N/A","0","0"
"Federal Open Market Committee","Agency Overall","2008","0","N/A","0","0"
"United States International Trade Commission","Agency Overall","2008","0","0","0","0"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2008","None","Not Applicable","Not Applicable","0"
"Department of Commerce","Agency Overall","2008","50 U.S.C. § 2411(c) § 12 c","Export Information Twin Coast Newspapers, Inc. v Dept. of Commerce, No. 78-0978 (D.D.C. Nov. 6, 1979)","Information concerning exporting license applications","24"
"Department of Commerce","Agency Overall","2008","35 U.S.C. § 122","Irons & Sears v Dann, 606 F.2d 1215, 1220 (D.C. Cir.1979)","Information concerning patent applications","26"
"Department of Commerce","Agency Overall","2008","13 U.S.C. § 9","Baldrige v Shapiro, 455 U.S, 355 (1982)","Information collected by the Bureau of the Census","61"
