"Agency","Component","Fiscal Year","Number of ""Full-Time FOIA Employees""","Number of ""Equivalent Full-Time FOIA Employees""","Total Number of ""Full-Time FOIA Staff"""
"Department of Transportation","Agency Overall","2008","35","50.53","85.53"
"National Archives and Records Administration","Agency Overall","2008","0","24.00","24.00"
"National Indian Gaming Commission","Agency Overall","2008","1","1.25","2.25"
"National Railroad Passenger Corporation","Agency Overall","2008","1","0.00","1.00"
"Federal Housing Finance Agency","Agency Overall","2008","0","0.00","0.00"
"United States Copyright Office","Agency Overall","2008","0","0.51","0.51"
"Federal Maritime Commission","Agency Overall","2008","0","0.03","0.03"
"Postal Regulatory Commission","Agency Overall","2008","0","0.00","0.00"
"Department of Health and Human Services","Agency Overall","2008","173","84.32","257.32"
"Department of Education","Agency Overall","2008","15","17.90","32.90"
"Federal Deposit Insurance Corporation","Agency Overall","2008","6","5.00","11.00"
"Environmental Protection Agency","Agency Overall","2008","40","78.81","118.81"
"National Science Foundation","Agency Overall","2008","0","3.76","3.76"
"Defense Nuclear Facilities Safety Board","Agency Overall","2008","0","1.01","1.01"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2008","0","1.00","1.00"
"Federal Open Market Committee","Agency Overall","2008","0","0.51","0.51"
"United States International Trade Commission","Agency Overall","2008","0","1.00","1.00"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2008","0","0.57","0.57"
"Department of Commerce","Agency Overall","2008","10","19.30","29.30"
"Securities and Exchange Commission","Agency Overall","2008","27","6.75","33.75"
"General Services Administration","Agency Overall","2008","2","4.00","6.00"
"Federal Communications Commission","Agency Overall","2008","3","14.00","17.00"
"Office of Management and Budget","Agency Overall","2008","1","1.50","2.50"
"Overseas Private Investment Corporation","Agency Overall","2008","0","1.20","1.20"
"Surface Transportation Board","Agency Overall","2008","0","0.30","0.30"
"Department of Energy","Agency Overall","2008","20","55.01","75.01"
"Federal Mediation and Conciliation Service","Agency Overall","2008","0","0.55","0.55"
"Office of Science and Technology Policy","Agency Overall","2008","0","0.30","0.30"
"Department of Labor","Agency Overall","2008","49","96.29","145.29"
"Export-Import Bank of the U.S.","Agency Overall","2008","1","2.00","3.00"
"Institute of Museum and Library Services","Agency Overall","2008","0","0.15","0.15"
"U.S. Railroad Retirement Board","Agency Overall","2008","0","0.48","0.48"
"Office of Personnel Management","Agency Overall","2008","9","2.60","11.60"
"U.S. Agency for International Development","Agency Overall","2008","6","2.25","8.25"
"National Credit Union Administration","Agency Overall","2008","0","1.42","1.42"
"Department of Veterans Affairs","Agency Overall","2008","8","318.70","326.70"
"Department of Housing and Urban Development","Agency Overall","2008","52","16.50","68.50"
"Consumer Product Safety Commission","Agency Overall","2008","9","1.00","10.00"
"Council on Environmental Quality","Agency Overall","2008","0","0.75","0.75"
"Department of Homeland Security","Agency Overall","2008","266","52.61","318.61"
"United States International Boundary and Water Commission","Agency Overall","2008","0","0.48","0.48"
"Small Business Administration","Agency Overall","2008","3","8.06","11.06"
"Social Security Administration","Agency Overall","2008","64","59.00","123.00"
"Peace Corps","Agency Overall","2008","0","0.65","0.65"
"U.S. Department of State","Agency Overall","2008","86","46.65","132.65"
"Federal Reserve System","Agency Overall","2008","6","5.00","11.00"
"National Endowment for the Humanities","Agency Overall","2008","0","0.50","0.50"
"National Mediation Board","Agency Overall","2008","1","0.15","1.15"
"Merit Systems Protection Board","Agency Overall","2008","1","1.50","2.50"
"Federal Labor Relations Authority","Agency Overall","2008","0","3.16","3.16"
"Tennessee Valley Authority","Agency Overall","2008","1","0.40","1.40"
"Office of National Drug Control Policy","Agency Overall","2008","0","0.20","0.20"
"Selective Service System","Agency Overall","2008","0","0.15","0.15"
"Federal Trade Commission","Agency Overall","2008","5","1.67","6.67"
"Occupational Safety and Health Review Commission","Agency Overall","2008","0","1.62","1.62"
"National Aeronautics and Space Administration","Agency Overall","2008","16","4.05","20.05"
"Federal Financial Institutions Examination Council","Agency Overall","2008","0","0.00","0.00"
"Inter-American Foundation","Agency Overall","2008","0","0.03","0.03"
"Farm Credit Administration","Agency Overall","2008","0","0.64","0.64"
"Department of Defense","Agency Overall","2008","407","282.65","689.65"
"Department of Justice","Agency Overall","2008","343","45.81","388.81"
"Federal Energy Regulatory Commission","Agency Overall","2008","1","3.54","4.54"
"Commodity Futures Trading Commission","Agency Overall","2008","1","0.62","1.62"
"Department of the Interior","Agency Overall","2008","38","87.66","125.66"
"Farm Credit System Insurance Corporation","Agency Overall","2008","0","0.00","0.00"
"Department of the Treasury","Agency Overall","2008","45","70.23","115.23"
"Federal Mine Safety and Health Review Commission","Agency Overall","2008","0","0.12","0.12"
"Office of Government Ethics","Agency Overall","2008","0","0.60","0.60"
"Nuclear Regulatory Commission","Agency Overall","2008","6","2.00","8.00"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2008","0","1.00","1.00"
"Federal Election Commission","Agency Overall","2008","0","1.00","1.00"
"All agencies","Agency Overall","2008","1758","1497","3255"
