"Agency","Component","Fiscal Year","<1-20 Days","21-40 Days","41-60 Days","61-80 Days","81-100 Days","101-120 Days","121-140 Days","141-160 Days","161-180 Days","181-200 Days","201-300 Days","301-400 Days","401+ Days","Total"
"Department of Transportation","Agency Overall","2008","5233","957","357","140","62","47","27","16","20","13","73","48","170","7163"
"National Archives and Records Administration","Agency Overall","2008","11880","513","139","42","16","6","5","5","3","2","10","11","152","12784"
"National Indian Gaming Commission","Agency Overall","2008","55","11","8","2","0","0","0","0","0","0","0","0","0","76"
"National Railroad Passenger Corporation","Agency Overall","2008","6","2","0","0","0","0","0","0","0","0","0","0","0","8"
"Federal Housing Finance Agency","Agency Overall","2008","35","0","0","0","0","0","0","0","0","0","0","0","0","35"
"United States Copyright Office","Agency Overall","2008","40","2","1","1","0","0","0","0","0","1","0","0","0","45"
"Federal Maritime Commission","Agency Overall","2008","1","0","1","0","0","0","0","0","0","0","0","0","0","2"
"Postal Regulatory Commission","Agency Overall","2008","32","0","0","0","0","0","0","0","0","0","0","0","0","32"
"Department of Health and Human Services","Agency Overall","2008","31343","4594","2584","1287","563","417","284","287","228","285","512","497","5373","48254"
"Department of Education","Agency Overall","2008","594","296","105","79","80","58","45","58","45","44","108","72","95","1679"
"Federal Deposit Insurance Corporation","Agency Overall","2008","451","62","3","0","0","0","0","0","0","0","0","0","0","516"
"Environmental Protection Agency","Agency Overall","2008","5941","2502","607","391","370","292","216","174","168","164","283","24","43","11175"
"National Science Foundation","Agency Overall","2008","234","83","22","5","1","1","1","0","0","0","1","0","0","348"
"Defense Nuclear Facilities Safety Board","Agency Overall","2008","27","0","0","0","0","0","0","0","0","0","0","0","0","27"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2008","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Open Market Committee","Agency Overall","2008","18","0","0","0","0","0","0","0","0","0","0","0","0","18"
"United States International Trade Commission","Agency Overall","2008","46","16","3","0","0","0","0","0","0","0","0","0","0","65"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2008","16","3","0","0","0","0","0","0","0","0","0","0","0","19"
"Department of Commerce","Agency Overall","2008","1204","122","17","13","10","0","1","3","0","1","2","3","2","1378"
"Securities and Exchange Commission","Agency Overall","2008","5880","1106","599","576","515","460","384","360","313","320","1227","1347","2376","15463"
"General Services Administration","Agency Overall","2008","224","64","11","1","0","0","0","0","0","0","0","1","0","301"
"Federal Communications Commission","Agency Overall","2008","491","158","34","32","5","2","5","1","1","0","1","0","0","730"
"Office of Management and Budget","Agency Overall","2008","71","51","11","4","1","4","0","0","0","0","0","0","0","142"
"Overseas Private Investment Corporation","Agency Overall","2008","29","14","2","0","3","1","0","0","1","0","0","0","0","50"
"Surface Transportation Board","Agency Overall","2008","19","0","0","0","0","0","0","0","0","0","0","0","0","19"
"Department of Energy","Agency Overall","2008","639","216","122","89","75","59","46","27","38","30","66","132","61","1600"
"Federal Mediation and Conciliation Service","Agency Overall","2008","107","0","0","0","0","0","0","0","0","0","0","0","0","107"
"Office of Science and Technology Policy","Agency Overall","2008","8","4","0","1","0","2","1","0","0","0","2","0","0","18"
"Department of Labor","Agency Overall","2008","6124","7192","186","65","281","6","5","1","0","1","2","5","0","13868"
"Export-Import Bank of the U.S.","Agency Overall","2008","25","14","0","0","0","0","0","0","0","0","0","0","0","39"
"Institute of Museum and Library Services","Agency Overall","2008","37","7","0","0","0","0","0","0","0","0","0","0","0","44"
"U.S. Railroad Retirement Board","Agency Overall","2008","78","4","0","0","0","0","0","0","0","0","0","0","0","82"
"Office of Personnel Management","Agency Overall","2008","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Agency for International Development","Agency Overall","2008","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Credit Union Administration","Agency Overall","2008","108","10","4","0","0","0","0","0","0","0","0","0","0","122"
"Department of Veterans Affairs","Agency Overall","2008","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Housing and Urban Development","Agency Overall","2008","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Consumer Product Safety Commission","Agency Overall","2008","2441","686","231","29","23","5","3","5","5","4","5","2","0","3439"
"Council on Environmental Quality","Agency Overall","2008","25","6","1","4","1","2","0","2","1","0","4","3","1","50"
"Department of Homeland Security","Agency Overall","2008","12937","3084","1519","1245","1503","1835","1146","848","607","546","3350","3401","8505","40526"
"United States International Boundary and Water Commission","Agency Overall","2008","17","7","0","0","0","0","0","0","0","0","0","0","0","24"
"Small Business Administration","Agency Overall","2008","2557","60","10","4","2","2","1","0","1","1","0","2","0","2640"
"Social Security Administration","Agency Overall","2008","29283","2290","824","129","0","0","0","0","0","0","0","0","0","32526"
"Peace Corps","Agency Overall","2008","100","28","2","0","0","1","1","0","0","0","0","0","0","132"
"U.S. Department of State","Agency Overall","2008","48","236","282","113","68","68","31","42","23","29","79","49","42","1110"
"Federal Reserve System","Agency Overall","2008","315","4","0","0","0","0","0","0","0","0","0","0","0","319"
"National Endowment for the Humanities","Agency Overall","2008","9","6","1","0","0","0","0","0","0","0","0","0","0","16"
"National Mediation Board","Agency Overall","2008","16","0","0","0","0","0","0","0","0","0","0","0","0","16"
"Merit Systems Protection Board","Agency Overall","2008","337","10","4","0","0","0","0","0","0","0","0","0","0","351"
"Federal Labor Relations Authority","Agency Overall","2008","62","1","2","3","0","2","0","0","0","0","5","2","0","77"
"Tennessee Valley Authority","Agency Overall","2008","89","0","0","0","0","0","0","0","0","0","0","0","0","89"
"Office of National Drug Control Policy","Agency Overall","2008","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Selective Service System","Agency Overall","2008","52","3","0","0","0","0","0","0","0","0","0","0","0","55"
"Federal Trade Commission","Agency Overall","2008","916","54","7","4","2","1","1","0","0","0","1","0","0","986"
"Occupational Safety and Health Review Commission","Agency Overall","2008","73","0","0","0","0","0","0","0","0","0","0","0","0","73"
"National Aeronautics and Space Administration","Agency Overall","2008","361","97","32","17","30","4","24","7","7","2","5","5","2","593"
"Federal Financial Institutions Examination Council","Agency Overall","2008","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Inter-American Foundation","Agency Overall","2008","6","0","0","0","0","0","0","0","0","0","0","0","0","6"
"Farm Credit Administration","Agency Overall","2008","28","0","0","0","0","0","0","0","0","0","0","0","0","28"
"Department of Defense","Agency Overall","2008","37186","4695","1924","957","761","638","398","281","228","130","495","280","415","48388"
"Department of Justice","Agency Overall","2008","30775","6710","2901","1647","1157","822","533","389","290","265","707","352","735","47283"
"Federal Energy Regulatory Commission","Agency Overall","2008","27","17","0","0","0","0","0","0","0","0","0","0","0","44"
"Commodity Futures Trading Commission","Agency Overall","2008","105","34","6","0","0","0","0","1","1","0","3","1","0","151"
"Department of the Interior","Agency Overall","2008","488","9","3","7","4","2","2","2","0","0","1","2","2","522"
"Farm Credit System Insurance Corporation","Agency Overall","2008","6","0","0","0","0","0","0","0","0","0","0","0","0","6"
