"Agency","Component","Fiscal Year","Date","10th Oldest Number of Days Pending","Date","9th Oldest Number of Days Pending","Date","8th Oldest Number of Days Pending","Date","7th Oldest Number of Days Pending","Date","6th Oldest Number of Days Pending","Date","5th Oldest Number of Days Pending","Date","4th Oldest Number of Days Pending","Date","3rd Oldest Number of Days Pending","Date","2nd Oldest Number of Days Pending","Date","Oldest Number of Days Pending"
"Department of Transportation","Agency Overall","2008","2005-11-29","743","2005-11-23","746","2005-06-08","862","2005-06-08","862","2005-05-20","874","2005-01-18","922","2004-10-28","1014","2004-04-22","1145","2004-02-05","1199","2003-05-02","1389"
"National Archives and Records Administration","Agency Overall","2008","2007-10-22","238","2007-10-09","247","2007-09-21","258","2007-08-03","292","2007-04-09","374","2007-04-03","629","2007-03-03","650","2006-01-31","672","2006-01-30","673","2005-01-25","925"
"National Indian Gaming Commission","Agency Overall","2008","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"National Railroad Passenger Corporation","Agency Overall","2008","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2008-03-10","143"
"Federal Housing Finance Agency","Agency Overall","2008","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"United States Copyright Office","Agency Overall","2008","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Federal Maritime Commission","Agency Overall","2008","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Postal Regulatory Commission","Agency Overall","2008","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Department of Health and Human Services","Agency Overall","2008","1999-11-22","2231","1999-11-13","2238","1999-05-07","2368","1999-04-14","2384","1997-05-12","2868","1996-03-29","3150","1995-04-06","3398","1995-02-06","3426","1994-12-07","3481","1994-06-23","3596"
"Department of Education","Agency Overall","2008","2007-11-21","252","2007-11-20","253","2007-11-19","254","2007-11-13","258","2007-11-13","258","2007-11-13","258","2007-11-07","261","2007-11-01","265","2007-11-01","265","2007-10-19","274"
