"Agency","Component","Fiscal Year","No Records","Records Referred at Initial Request Level","Request Withdrawn","Fee-Related Reason","Records Not Reasonably Described","Improper Request for Other Reason","Not Agency Record","Duplicate Request or Appeal","Request in Litigation","Appeal Based Solely on Denial of Request for Expedited Processing","Other*"
"Department of Transportation","Agency Overall","2008","16","0","22","2","0","1","1","0","0","0","42"
"National Archives and Records Administration","Agency Overall","2008","3","1","1","3","1","1","0","0","0","0","2"
"National Indian Gaming Commission","Agency Overall","2008","0","0","1","0","0","0","0","0","0","0","0"
"National Railroad Passenger Corporation","Agency Overall","2008","1","0","0","0","0","0","0","0","0","0","0"
"Federal Housing Finance Agency","Agency Overall","2008","0","0","0","0","0","0","0","0","0","0","0"
"United States Copyright Office","Agency Overall","2008","0","0","0","0","0","0","0","0","0","0","1"
"Federal Maritime Commission","Agency Overall","2008","0","0","0","0","0","0","0","0","0","0","0"
"Postal Regulatory Commission","Agency Overall","2008","0","0","0","0","0","0","0","0","0","0","0"
"Department of Health and Human Services","Agency Overall","2008","0","25","33","0","0","0","0","1","0","0","270"
"Department of Education","Agency Overall","2008","11","0","4","0","1","2","0","1","0","0","0"
"Federal Deposit Insurance Corporation","Agency Overall","2008","0","0","1","0","0","0","0","0","0","0","0"
"Environmental Protection Agency","Agency Overall","2008","6","0","26","3","0","0","0","1","0","0","31"
"National Science Foundation","Agency Overall","2008","1","0","0","0","0","0","0","0","0","0","0"
"Defense Nuclear Facilities Safety Board","Agency Overall","2008","0","0","0","0","0","0","0","0","0","0","0"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2008","0","0","0","0","0","0","0","0","0","0","0"
"Federal Open Market Committee","Agency Overall","2008","0","0","0","0","0","0","0","0","0","0","0"
"United States International Trade Commission","Agency Overall","2008","0","0","0","0","0","0","0","0","0","0","0"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2008","0","0","0","0","0","0","0","0","0","0","0"
"Department of Commerce","Agency Overall","2008","12","0","5","9","2","5","1","2","0","0","0"
"Securities and Exchange Commission","Agency Overall","2008","4","0","5","0","0","0","0","0","0","0","4"
"General Services Administration","Agency Overall","2008","4","0","0","0","1","0","0","0","0","0","0"
"Federal Communications Commission","Agency Overall","2008","0","0","2","1","1","1","0","0","5","0","1"
"Office of Management and Budget","Agency Overall","2008","0","0","0","0","0","0","0","0","0","0","1"
"Overseas Private Investment Corporation","Agency Overall","2008","0","0","0","0","0","0","0","0","0","0","0"
"Surface Transportation Board","Agency Overall","2008","0","0","0","0","0","0","0","0","0","0","0"
"Department of Energy","Agency Overall","2008","3","0","11","1","0","3","4","0","0","0","15"
"Federal Mediation and Conciliation Service","Agency Overall","2008","0","0","0","0","0","0","0","0","0","0","0"
"Office of Science and Technology Policy","Agency Overall","2008","0","0","0","0","0","0","0","0","0","0","0"
"Department of Labor","Agency Overall","2008","17","2","44","7","0","29","0","10","0","0","107"
"Export-Import Bank of the U.S.","Agency Overall","2008","0","0","0","0","0","0","0","0","0","0","1"
"Institute of Museum and Library Services","Agency Overall","2008","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Railroad Retirement Board","Agency Overall","2008","1","0","0","1","0","0","0","0","0","0","0"
"Office of Personnel Management","Agency Overall","2008","1","9","0","0","0","0","1","9","0","0","0"
"U.S. Agency for International Development","Agency Overall","2008","0","0","0","0","0","0","0","0","0","0","0"
"National Credit Union Administration","Agency Overall","2008","0","0","0","0","0","1","0","0","0","0","0"
"Department of Veterans Affairs","Agency Overall","2008","33","28","12","2","1","4","2","0","3","0","34"
"Department of Housing and Urban Development","Agency Overall","2008","5","0","0","0","0","0","0","0","0","0","0"
"Consumer Product Safety Commission","Agency Overall","2008","0","0","2","0","0","0","0","0","0","0","1"
"Council on Environmental Quality","Agency Overall","2008","0","0","0","0","0","0","0","0","0","0","0"
"Department of Homeland Security","Agency Overall","2008","37","12","147","11","1","119","2","49","23","0","1190"
"United States International Boundary and Water Commission","Agency Overall","2008","0","0","0","0","0","0","0","0","0","0","0"
"Small Business Administration","Agency Overall","2008","6","0","1","0","1","1","1","0","0","0","0"
"Social Security Administration","Agency Overall","2008","5","0","1","2","0","0","0","0","0","0","0"
"Peace Corps","Agency Overall","2008","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Department of State","Agency Overall","2008","27","0","3","1","0","0","0","1","1","1","11"
"Federal Reserve System","Agency Overall","2008","0","0","1","0","0","0","0","0","0","0","0"
"National Endowment for the Humanities","Agency Overall","2008","0","0","0","0","0","0","1","0","0","0","0"
"National Mediation Board","Agency Overall","2008","0","0","0","0","0","0","0","0","0","0","0"
"Merit Systems Protection Board","Agency Overall","2008","6","0","0","0","0","0","0","0","0","0","1"
"Federal Labor Relations Authority","Agency Overall","2008","0","0","0","0","0","0","0","0","0","0","3"
"Tennessee Valley Authority","Agency Overall","2008","0","0","0","0","0","0","0","0","0","0","0"
"Office of National Drug Control Policy","Agency Overall","2008","0","0","0","0","0","0","0","0","0","0","0"
"Selective Service System","Agency Overall","2008","0","0","0","0","0","0","0","0","0","0","0"
"Federal Trade Commission","Agency Overall","2008","1","0","1","0","0","0","0","0","0","0","1"
"Occupational Safety and Health Review Commission","Agency Overall","2008","0","0","0","0","0","0","0","0","0","0","0"
"National Aeronautics and Space Administration","Agency Overall","2008","1","0","1","0","0","0","0","0","0","0","0"
"Federal Financial Institutions Examination Council","Agency Overall","2008","0","0","0","0","0","0","0","0","0","0","0"
"Inter-American Foundation","Agency Overall","2008","0","0","0","0","0","0","0","0","0","0","0"
"Farm Credit Administration","Agency Overall","2008","0","0","0","0","0","0","0","0","0","0","0"
"Department of Defense","Agency Overall","2008","94","13","23","12","23","13","4","5","33","10","213"
"Department of Justice","Agency Overall","2008","878","5","75","55","0","310","5","57","62","7","224"
"Federal Energy Regulatory Commission","Agency Overall","2008","0","0","0","2","0","0","0","0","0","1","0"
"Commodity Futures Trading Commission","Agency Overall","2008","0","0","0","0","0","0","0","0","0","0","0"
"Department of the Interior","Agency Overall","2008","7","2","1","5","0","2","0","0","14","0","181"
"Farm Credit System Insurance Corporation","Agency Overall","2008","0","0","0","0","0","0","0","0","0","0","0"
"Department of the Treasury","Agency Overall","2008","51","2","2","22","5","34","2","2","0","0","3"
"Federal Mine Safety and Health Review Commission","Agency Overall","2008","0","0","0","0","0","0","0","0","0","0","0"
"Office of Government Ethics","Agency Overall","2008","0","0","0","0","0","0","0","0","0","0","0"
"Nuclear Regulatory Commission","Agency Overall","2008","0","0","0","1","0","1","0","0","0","0","0"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2008","0","0","0","0","0","0","0","0","0","0","0"
"Federal Election Commission","Agency Overall","2008","0","0","0","0","0","0","0","0","0","0","0"
"All agencies","Agency Overall","2008","1231","99","425","140","37","527","24","138","141","19","2337"
