"Agency","Component","Fiscal Year","<1-20 Days","21-40 Days","41-60 Days","61-80 Days","81-100 Days","101-120 Days","121-140 Days","141-160 Days","161-180 Days","181-200 Days","201-300 Days","301-400 Days","401+ Days","Total"
"Department of Transportation","Agency Overall","2008","865","864","428","188","100","67","59","69","47","33","154","82","203","3159"
"National Archives and Records Administration","Agency Overall","2008","61","64","37","17","17","12","3","6","5","5","21","12","179","439"
"National Indian Gaming Commission","Agency Overall","2008","8","10","5","1","0","0","0","0","0","0","0","0","0","24"
"National Railroad Passenger Corporation","Agency Overall","2008","65","11","13","6","1","0","2","1","0","0","2","0","0","101"
"Federal Housing Finance Agency","Agency Overall","2008","0","1","0","0","0","0","0","0","0","0","0","0","0","1"
"United States Copyright Office","Agency Overall","2008","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Maritime Commission","Agency Overall","2008","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Postal Regulatory Commission","Agency Overall","2008","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Health and Human Services","Agency Overall","2008","1911","815","542","442","311","298","271","272","185","291","563","600","6369","12870"
"Department of Education","Agency Overall","2008","180","113","75","46","34","20","19","13","5","7","17","7","11","547"
"Federal Deposit Insurance Corporation","Agency Overall","2008","189","45","11","7","2","0","0","0","0","0","0","0","0","254"
"Environmental Protection Agency","Agency Overall","2008","41","196","84","31","19","9","6","5","2","5","9","3","5","415"
"National Science Foundation","Agency Overall","2008","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Defense Nuclear Facilities Safety Board","Agency Overall","2008","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2008","22","6","3","2","2","0","0","0","0","0","0","0","0","35"
"Federal Open Market Committee","Agency Overall","2008","2","1","0","0","0","0","0","0","0","0","0","0","0","3"
"United States International Trade Commission","Agency Overall","2008","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2008","0","0","1","0","0","0","0","1","1","1","3","2","12","21"
"Department of Commerce","Agency Overall","2008","12","72","78","27","28","16","14","9","10","7","29","11","7","320"
"Securities and Exchange Commission","Agency Overall","2008","2","1","0","0","0","0","0","0","1","0","0","0","61","65"
"General Services Administration","Agency Overall","2008","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Communications Commission","Agency Overall","2008","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of Management and Budget","Agency Overall","2008","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Overseas Private Investment Corporation","Agency Overall","2008","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Surface Transportation Board","Agency Overall","2008","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Energy","Agency Overall","2008","23","20","19","12","8","4","4","1","1","1","11","7","0","111"
"Federal Mediation and Conciliation Service","Agency Overall","2008","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of Science and Technology Policy","Agency Overall","2008","0","1","1","0","0","1","0","0","0","0","0","0","1","4"
"Department of Labor","Agency Overall","2008","3677","2312","657","139","67","36","39","13","11","7","21","1","0","6980"
"Export-Import Bank of the U.S.","Agency Overall","2008","0","10","16","3","5","4","2","2","2","3","3","2","3","55"
"Institute of Museum and Library Services","Agency Overall","2008","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Railroad Retirement Board","Agency Overall","2008","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of Personnel Management","Agency Overall","2008","5170","84","43","38","16","10","13","15","6","11","36","22","72","5536"
"U.S. Agency for International Development","Agency Overall","2008","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Credit Union Administration","Agency Overall","2008","15","8","2","1","1","1","1","0","0","0","0","0","0","29"
"Department of Veterans Affairs","Agency Overall","2008","88655","4330","1668","858","667","518","249","190","243","157","244","96","167","98042"
"Department of Housing and Urban Development","Agency Overall","2008","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Consumer Product Safety Commission","Agency Overall","2008","76","95","65","58","37","33","26","23","10","10","17","16","13","479"
"Council on Environmental Quality","Agency Overall","2008","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Homeland Security","Agency Overall","2008","6791","2563","1260","926","651","432","313","341","285","316","1517","4147","29762","49304"
"United States International Boundary and Water Commission","Agency Overall","2008","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Small Business Administration","Agency Overall","2008","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Social Security Administration","Agency Overall","2008","96","654","726","546","77","13","5","9","4","7","3","0","0","2140"
"Peace Corps","Agency Overall","2008","0","0","0","0","0","0","0","0","0","0","0","0","","0"
"U.S. Department of State","Agency Overall","2008","48","187","191","117","72","69","56","48","53","60","261","145","473","1780"
"Federal Reserve System","Agency Overall","2008","370","94","19","12","10","2","10","0","0","0","0","0","0","517"
"National Endowment for the Humanities","Agency Overall","2008","2","4","1","0","0","0","0","0","0","0","0","1","0","8"
"National Mediation Board","Agency Overall","2008","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Merit Systems Protection Board","Agency Overall","2008","1","4","6","1","1","2","0","0","1","0","0","0","0","16"
"Federal Labor Relations Authority","Agency Overall","2008","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Tennessee Valley Authority","Agency Overall","2008","0","21","14","3","1","0","1","0","0","0","0","0","0","40"
"Office of National Drug Control Policy","Agency Overall","2008","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Selective Service System","Agency Overall","2008","52","3","0","0","0","0","0","0","0","0","0","0","0","55"
"Federal Trade Commission","Agency Overall","2008","93","48","19","13","8","4","6","1","0","0","0","0","0","192"
"Occupational Safety and Health Review Commission","Agency Overall","2008","0","1","0","0","0","0","0","0","0","0","0","0","0","1"
"National Aeronautics and Space Administration","Agency Overall","2008","277","105","61","34","16","18","14","20","17","17","23","10","19","631"
