"Agency","Component","Fiscal Year","Median Number of Days","Average Number of Days","Lowest Number of Days","Highest Number of Days"
"Department of Transportation","Agency Overall","2008","62","323","<1","1645"
"National Archives and Records Administration","Agency Overall","2008","34","70.23","1","398"
"National Indian Gaming Commission","Agency Overall","2008","22","18.3","9","24"
"National Railroad Passenger Corporation","Agency Overall","2008","44","44","44","44"
"Federal Housing Finance Agency","Agency Overall","2008","20","20","20","20"
"United States Copyright Office","Agency Overall","2008","9","9","9","9"
"Federal Maritime Commission","Agency Overall","2008","N/A","N/A","N/A","N/A"
"Postal Regulatory Commission","Agency Overall","2008","N/A","N/A","N/A","N/A"
"Department of Health and Human Services","Agency Overall","2008","812","699","1","4152"
"Department of Education","Agency Overall","2008","240","239","56","558"
"Federal Deposit Insurance Corporation","Agency Overall","2008","15","15","15","15"
"Environmental Protection Agency","Agency Overall","2008","183.5","414.81","<1","2761"
"National Science Foundation","Agency Overall","2008","20","16.4","6","20"
"Defense Nuclear Facilities Safety Board","Agency Overall","2008","N/A","N/A","N/A","N/A"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2008","16","16","16","16"
"Federal Open Market Committee","Agency Overall","2008","N/A","N/A","N/A","N/A"
"United States International Trade Commission","Agency Overall","2008","N/A","N/A","N/A","N/A"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2008","N/A","N/A","N/A","N/A"
"Department of Commerce","Agency Overall","2008","100","189","4","1275"
"Securities and Exchange Commission","Agency Overall","2008","17","46","1","619"
"General Services Administration","Agency Overall","2008","34","35","16","65"
"Federal Communications Commission","Agency Overall","2008","311","388","150","1120"
"Office of Management and Budget","Agency Overall","2008","24","28","18","41"
"Overseas Private Investment Corporation","Agency Overall","2008","28","28","15","42"
"Surface Transportation Board","Agency Overall","2008","N/A","N/A","N/A","N/A"
"Department of Energy","Agency Overall","2008","20","24","1","135"
"Federal Mediation and Conciliation Service","Agency Overall","2008","N/A","N/A","N/A","N/A"
"Office of Science and Technology Policy","Agency Overall","2008","N/A","N/A","N/A","N/A"
"Department of Labor","Agency Overall","2008","65","231","N/A","1547"
"Export-Import Bank of the U.S.","Agency Overall","2008","22","22","22","22"
"Institute of Museum and Library Services","Agency Overall","2008","N/A","N/A","N/A","N/A"
"U.S. Railroad Retirement Board","Agency Overall","2008","17.5","17.5","10","25"
"Office of Personnel Management","Agency Overall","2008","28","45.69","N/A","N/A"
"U.S. Agency for International Development","Agency Overall","2008","290","279","207","387"
"National Credit Union Administration","Agency Overall","2008","27","24.3","6","40"
"Department of Veterans Affairs","Agency Overall","2008","115","199","1","1026"
"Department of Housing and Urban Development","Agency Overall","2008","N/A","N/A","N/A","N/A"
"Consumer Product Safety Commission","Agency Overall","2008","16","14","6","20"
"Council on Environmental Quality","Agency Overall","2008","10","62","9","165"
"Department of Homeland Security","Agency Overall","2008","539","522.85","1","2250"
"United States International Boundary and Water Commission","Agency Overall","2008","N/A","N/A","N/A","N/A"
"Small Business Administration","Agency Overall","2008","18.5","16.6","1","30"
"Social Security Administration","Agency Overall","2008","55","60","15","128"
"Peace Corps","Agency Overall","2008","56","56","27","88"
"U.S. Department of State","Agency Overall","2008","555","592","N/A","2232"
"Federal Reserve System","Agency Overall","2008","18","18","15","20"
"National Endowment for the Humanities","Agency Overall","2008","28.5","28.5","28","29"
"National Mediation Board","Agency Overall","2008","20","20","20","20"
"Merit Systems Protection Board","Agency Overall","2008","20","15.9","2","30"
"Federal Labor Relations Authority","Agency Overall","2008","20","23","15","34"
"Tennessee Valley Authority","Agency Overall","2008","20","19","17","20"
"Office of National Drug Control Policy","Agency Overall","2008","N/A","N/A","N/A","N/A"
"Selective Service System","Agency Overall","2008","N/A","N/A","N/A","N/A"
"Federal Trade Commission","Agency Overall","2008","14","13.8","9","20"
"Occupational Safety and Health Review Commission","Agency Overall","2008","N/A","N/A","N/A","N/A"
"National Aeronautics and Space Administration","Agency Overall","2008","135","114","1","208"
"Federal Financial Institutions Examination Council","Agency Overall","2008","N/A","N/A","N/A","N/A"
"Inter-American Foundation","Agency Overall","2008","N/A","N/A","N/A","N/A"
"Farm Credit Administration","Agency Overall","2008","N/A","N/A","N/A","N/A"
"Department of Defense","Agency Overall","2008","N/A","153","1","3278"
"Department of Justice","Agency Overall","2008","49","229","1","2794"
"Federal Energy Regulatory Commission","Agency Overall","2008","28","27","20","30"
"Commodity Futures Trading Commission","Agency Overall","2008","19.5","19.75","19","20"
"Department of the Interior","Agency Overall","2008","1073","1726","4","3448"
"Farm Credit System Insurance Corporation","Agency Overall","2008","N/A","N/A","N/A","N/A"
"Department of the Treasury","Agency Overall","2008","32","26","2","583"
"Federal Mine Safety and Health Review Commission","Agency Overall","2008","N/A","N/A","N/A","N/A"
"Office of Government Ethics","Agency Overall","2008","N/A","N/A","N/A","N/A"
"Nuclear Regulatory Commission","Agency Overall","2008","16","29","<1","156"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2008","N/A","N/A","N/A","N/A"
"Federal Election Commission","Agency Overall","2008","0","0","0","0"
