"Agency","Component","Fiscal Year","Number of Backlogged Appeals as of End of the Fiscal Year from Previous Annual Report","Number of Backlogged Appeals as of End of the Fiscal Year from Current Annual Report"
"Department of Transportation","Agency Overall","2008","0","89"
"National Archives and Records Administration","Agency Overall","2008","8","29"
"National Indian Gaming Commission","Agency Overall","2008","0","0"
"National Railroad Passenger Corporation","Agency Overall","2008","0","1"
"Federal Housing Finance Agency","Agency Overall","2008","0","0"
"United States Copyright Office","Agency Overall","2008","1","0"
"Federal Maritime Commission","Agency Overall","2008","0","0"
"Postal Regulatory Commission","Agency Overall","2008","0","0"
"Department of Health and Human Services","Agency Overall","2008","0","463"
"Department of Education","Agency Overall","2008","24","20"
"Federal Deposit Insurance Corporation","Agency Overall","2008","0","0"
"Environmental Protection Agency","Agency Overall","2008","178","151"
"National Science Foundation","Agency Overall","2008","0","0"
"Defense Nuclear Facilities Safety Board","Agency Overall","2008","0","0"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2008","0","0"
"Federal Open Market Committee","Agency Overall","2008","0","0"
"United States International Trade Commission","Agency Overall","2008","0","0"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2008","0","0"
"Department of Commerce","Agency Overall","2008","80","87"
"Securities and Exchange Commission","Agency Overall","2008","36","45"
"General Services Administration","Agency Overall","2008","0","0"
"Federal Communications Commission","Agency Overall","2008","21","23"
"Office of Management and Budget","Agency Overall","2008","0","0"
"Overseas Private Investment Corporation","Agency Overall","2008","0","1"
"Surface Transportation Board","Agency Overall","2008","0","0"
"Department of Energy","Agency Overall","2008","2","6"
"Federal Mediation and Conciliation Service","Agency Overall","2008","0","0"
"Office of Science and Technology Policy","Agency Overall","2008","0","2"
"Department of Labor","Agency Overall","2008","0","0"
"Export-Import Bank of the U.S.","Agency Overall","2008","1","0"
"Institute of Museum and Library Services","Agency Overall","2008","0","0"
"U.S. Railroad Retirement Board","Agency Overall","2008","0","0"
"Office of Personnel Management","Agency Overall","2008","0","3"
"U.S. Agency for International Development","Agency Overall","2008","1","5"
"National Credit Union Administration","Agency Overall","2008","0","0"
"Department of Veterans Affairs","Agency Overall","2008","0","68"
"Department of Housing and Urban Development","Agency Overall","2008","0","0"
"Consumer Product Safety Commission","Agency Overall","2008","0","0"
"Council on Environmental Quality","Agency Overall","2008","0","0"
"Department of Homeland Security","Agency Overall","2008","0","2401"
"United States International Boundary and Water Commission","Agency Overall","2008","0","0"
"Small Business Administration","Agency Overall","2008","0","1"
"Social Security Administration","Agency Overall","2008","23","1"
"Peace Corps","Agency Overall","2008","0","4"
"U.S. Department of State","Agency Overall","2008","0","480"
"Federal Reserve System","Agency Overall","2008","0","0"
"National Endowment for the Humanities","Agency Overall","2008","0","0"
"National Mediation Board","Agency Overall","2008","0","0"
"Merit Systems Protection Board","Agency Overall","2008","0","0"
"Federal Labor Relations Authority","Agency Overall","2008","0","0"
"Tennessee Valley Authority","Agency Overall","2008","0","0"
"Office of National Drug Control Policy","Agency Overall","2008","0","0"
"Selective Service System","Agency Overall","2008","0","0"
"Federal Trade Commission","Agency Overall","2008","0","0"
"Occupational Safety and Health Review Commission","Agency Overall","2008","0","0"
"National Aeronautics and Space Administration","Agency Overall","2008","0","8"
"Federal Financial Institutions Examination Council","Agency Overall","2008","0","0"
"Inter-American Foundation","Agency Overall","2008","0","0"
"Farm Credit Administration","Agency Overall","2008","0","0"
"Department of Defense","Agency Overall","2008","0","675"
"Department of Justice","Agency Overall","2008","1316","527"
"Federal Energy Regulatory Commission","Agency Overall","2008","0","0"
"Commodity Futures Trading Commission","Agency Overall","2008","0","0"
"Department of the Interior","Agency Overall","2008","0","537"
"Farm Credit System Insurance Corporation","Agency Overall","2008","0","0"
"Department of the Treasury","Agency Overall","2008","16","53"
"Federal Mine Safety and Health Review Commission","Agency Overall","2008","0","0"
"Office of Government Ethics","Agency Overall","2008","0","0"
"Nuclear Regulatory Commission","Agency Overall","2008","0","0"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2008","0","0"
"Federal Election Commission","Agency Overall","2008","0","1"
"All agencies","Agency Overall","2008","1707","5681"
