"Agency","Component","Fiscal Year","Simple - Median Number of Days","Simple - Average Number of Days","Simple - Lowest Number of Days","Simple - Highest Number of Days","Complex - Median Number of Days","Complex - Average Number of Days","Complex - Lowest Number of Days","Complex - Highest Number of Days","Expedited Processing - Median Number of Days","Expedited Processing - Average Number of Days","Expedited Processing - Lowest Number of Days","Expedited Processing - Highest Number of Days"
"Department of Transportation","Agency Overall","2008","16","37","<1","1513","36","101","<1","1531","31","126","<1","1646"
"National Archives and Records Administration","Agency Overall","2008","5","10.28","N/A","1411","157","480.45","N/A","2843","N/A","N/A","N/A","N/A"
"National Indian Gaming Commission","Agency Overall","2008","15.7","10","1","80","28.2","26","5","63","9","12","1","29"
"National Railroad Passenger Corporation","Agency Overall","2008","4","10","<1","26","14","27","<1","228","10","10","2","17"
"Federal Housing Finance Agency","Agency Overall","2008","2.5","5.2","N/A","20","21","21","21","21","N/A","N/A","N/A","N/A"
"United States Copyright Office","Agency Overall","2008","4","14","1","194","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Federal Maritime Commission","Agency Overall","2008","24","24","1","46","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Postal Regulatory Commission","Agency Overall","2008","2","5","1","20","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Department of Health and Human Services","Agency Overall","2008","18","60","1","1643","98","300","1","3211.6","15","110","1","1108"
"Department of Education","Agency Overall","2008","40","111","1","897","21","39","1","930","12","17","1","60"
"Federal Deposit Insurance Corporation","Agency Overall","2008","6","9","N/A","48","11","15","N/A","84","13","16","1","41"
"Environmental Protection Agency","Agency Overall","2008","20","42.95","1","1364","37","60.91","7","1329","46","51","20","92"
"National Science Foundation","Agency Overall","2008","16","20.26","1","229","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Defense Nuclear Facilities Safety Board","Agency Overall","2008","6","6.3","1","19","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2008","N/A","N/A","N/A","N/A","10","16","1","96","N/A","N/A","N/A","N/A"
"Federal Open Market Committee","Agency Overall","2008","8.5","8.9","2","20","13","18.6","12","31","N/A","N/A","N/A","N/A"
"United States International Trade Commission","Agency Overall","2008","16","16","1","60","N/A","N/A","N/A","N/A","10.5","10.5","1","20"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2008","20","18","1","33","459","437","59","721","N/A","N/A","N/A","N/A"
"Department of Commerce","Agency Overall","2008","10","13","1","571","69","109","12","684","9","7","1","24"
"Securities and Exchange Commission","Agency Overall","2008","66","158","1","870","570","575","8","820","2","3","1","6"
"General Services Administration","Agency Overall","2008","21","14.6","2","70","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Federal Communications Commission","Agency Overall","2008","19","22.75","<1","300","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Office of Management and Budget","Agency Overall","2008","20","26","5","105","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Overseas Private Investment Corporation","Agency Overall","2008","89","26","1","177","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Surface Transportation Board","Agency Overall","2008","7","10.5","1","20","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Department of Energy","Agency Overall","2008","23","70","1","3239","51","86","1","375","7","10","6","16"
"Federal Mediation and Conciliation Service","Agency Overall","2008","8","8","1","20","N/A","N/A","N/A","N/A","2","2","1","2"
"Office of Science and Technology Policy","Agency Overall","2008","18","51","1","296","81.5","359","30","1243","25.5","25","30","21"
"Department of Labor","Agency Overall","2008","9","23.25","1","360","13","16.37","1","601","6","16.5","1","350"
"Export-Import Bank of the U.S.","Agency Overall","2008","15","16","4","30","72","118","31","574","7","45","3","125"
"Institute of Museum and Library Services","Agency Overall","2008","9","11","1","25","N/A","N/A","N/A","N/A","1","1","1","1"
"U.S. Railroad Retirement Board","Agency Overall","2008","15","12.9","1","25","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Office of Personnel Management","Agency Overall","2008","N/A","N/A","N/A","N/A","1","51","N/A","N/A","N/A","N/A","N/A","N/A"
"U.S. Agency for International Development","Agency Overall","2008","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"National Credit Union Administration","Agency Overall","2008","9.5","12","1","54","20","30.5","1","135","19","19","14","24"
"Department of Veterans Affairs","Agency Overall","2008","N/A","N/A","N/A","N/A","N/A","N/A","1","2104","N/A","N/A","1","107"
"Department of Housing and Urban Development","Agency Overall","2008","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Consumer Product Safety Commission","Agency Overall","2008","10","12","1","50","60","85","5","780","N/A","N/A","N/A","N/A"
"Council on Environmental Quality","Agency Overall","2008","20","81","1","519","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Department of Homeland Security","Agency Overall","2008","87","146.31","1","1064","374","280.38","1","2860","23","57.85","1","439"
"United States International Boundary and Water Commission","Agency Overall","2008","18.5","17.38","2","27","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Small Business Administration","Agency Overall","2008","6","13.7","1","318","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Social Security Administration","Agency Overall","2008","16","30","1","78","44","60","1","246","N/A","N/A","N/A","N/A"
"Peace Corps","Agency Overall","2008","12","14","<1","129","<1","<1","<1","<1","3","3","<1","3"
"U.S. Department of State","Agency Overall","2008","68","115","1","736","196","275","5","1900","41","201","1","1509"
"Federal Reserve System","Agency Overall","2008","2","3","<1","32","11","19","<1","138","136","136","134","138"
"National Endowment for the Humanities","Agency Overall","2008","19","21","10","42","28","67","19","328","N/A","N/A","N/A","N/A"
"National Mediation Board","Agency Overall","2008","17","13","1","20","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Merit Systems Protection Board","Agency Overall","2008","11","9.2","<1","25","40","47.5","30","180","N/A","N/A","N/A","N/A"
"Federal Labor Relations Authority","Agency Overall","2008","9","28","1","325","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Tennessee Valley Authority","Agency Overall","2008","7","8","1","19","33","39","20","125","N/A","N/A","N/A","N/A"
"Office of National Drug Control Policy","Agency Overall","2008","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Selective Service System","Agency Overall","2008","8","4","1","27","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Federal Trade Commission","Agency Overall","2008","5","8.29","1","218","21","33.02","1","146","N/A","N/A","N/A","N/A"
"Occupational Safety and Health Review Commission","Agency Overall","2008","7","8.5","1","20","28","28","28","28","N/A","N/A","N/A","N/A"
"National Aeronautics and Space Administration","Agency Overall","2008","11","34","1","415","35","83","1","1208","36","36","4","110"
"Federal Financial Institutions Examination Council","Agency Overall","2008","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Inter-American Foundation","Agency Overall","2008","12","12.2","5","20","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Farm Credit Administration","Agency Overall","2008","9","9","1","19","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Department of Defense","Agency Overall","2008","N/A","30.2507853186741","1","2361","N/A","190","1","4277","N/A","22.8939393939394","1","687"
"Department of Justice","Agency Overall","2008","11","42.88","<1","2940","68","272.69","<1","6659","12","110.1","<1","2397"
"Federal Energy Regulatory Commission","Agency Overall","2008","19","18","1","40","21","25","N/A","128","25","44","8","166"
"Commodity Futures Trading Commission","Agency Overall","2008","14","23.7","1","315","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Department of the Interior","Agency Overall","2008","1","2","1","642","N/A","25.64","1","2674","6","8","1","217"
"Farm Credit System Insurance Corporation","Agency Overall","2008","8","10","6","18","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Department of the Treasury","Agency Overall","2008","41","53.7","1","67","181","230.7","1","1774","9","9.6","1","6"
"Federal Mine Safety and Health Review Commission","Agency Overall","2008","5","8","1","24","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Office of Government Ethics","Agency Overall","2008","12.5","11","1","30","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Nuclear Regulatory Commission","Agency Overall","2008","11","15","<1","136","49","56","<1","178","N/A","N/A","N/A","N/A"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2008","7","9","1","20","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Federal Election Commission","Agency Overall","2008","41","62.1","3","399","N/A","N/A","N/A","N/A","212","188.2","25","403"
