"Agency","Component","Fiscal Year","Number of Requests Pending as of Start of Fiscal Year","Number of Requests Received in Fiscal Year","Number of Requests Processed in Fiscal Year","Number of Requests Pending as of End of Fiscal Year"
"Department of Transportation","Agency Overall","2008","2239","9958","10402","1795"
"National Archives and Records Administration","Agency Overall","2008","5177","14075","13472","5780"
"National Indian Gaming Commission","Agency Overall","2008","3","107","104","6"
"National Railroad Passenger Corporation","Agency Overall","2008","10","258","240","28"
"Federal Housing Finance Agency","Agency Overall","2008","0","36","36","0"
"United States Copyright Office","Agency Overall","2008","2","54","46","10"
"Federal Maritime Commission","Agency Overall","2008","3","10","2","11"
"Postal Regulatory Commission","Agency Overall","2008","1","31","32","0"
"Department of Health and Human Services","Agency Overall","2008","27754","58299","66583","19470"
"Department of Education","Agency Overall","2008","659","1921","2236","344"
"Federal Deposit Insurance Corporation","Agency Overall","2008","35","807","780","62"
"Environmental Protection Agency","Agency Overall","2008","1727","11492","11635","1584"
"National Science Foundation","Agency Overall","2008","2","353","352","3"
"Defense Nuclear Facilities Safety Board","Agency Overall","2008","1","26","27","0"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2008","10","88","96","2"
"Federal Open Market Committee","Agency Overall","2008","0","21","21","0"
"United States International Trade Commission","Agency Overall","2008","1","66","67","0"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2008","40","32","40","32"
"Department of Commerce","Agency Overall","2008","205","1936","1885","256"
"Securities and Exchange Commission","Agency Overall","2008","6909","9586","15596","899"
"General Services Administration","Agency Overall","2008","86","1461","1457","90"
"Federal Communications Commission","Agency Overall","2008","50","745","730","65"
"Office of Management and Budget","Agency Overall","2008","11","136","142","5"
"Overseas Private Investment Corporation","Agency Overall","2008","5","45","50","0"
"Surface Transportation Board","Agency Overall","2008","1","24","24","1"
"Department of Energy","Agency Overall","2008","420","1605","1714","311"
"Federal Mediation and Conciliation Service","Agency Overall","2008","1","107","107","1"
"Office of Science and Technology Policy","Agency Overall","2008","15","23","20","18"
"Department of Labor","Agency Overall","2008","1269","20798","20970","1097"
"Export-Import Bank of the U.S.","Agency Overall","2008","13","93","97","9"
"Institute of Museum and Library Services","Agency Overall","2008","4","43","44","3"
"U.S. Railroad Retirement Board","Agency Overall","2008","5","83","82","6"
"Office of Personnel Management","Agency Overall","2008","986","6236","7123","99"
"U.S. Agency for International Development","Agency Overall","2008","312","278","279","311"
"National Credit Union Administration","Agency Overall","2008","9","149","153","5"
"Department of Veterans Affairs","Agency Overall","2008","5101","99333","98455","5979"
"Department of Housing and Urban Development","Agency Overall","2008","764","2999","3066","697"
"Consumer Product Safety Commission","Agency Overall","2008","280","3930","3837","373"
"Council on Environmental Quality","Agency Overall","2008","20","35","50","5"
"Department of Homeland Security","Agency Overall","2008","83819","108952","109028","83743"
"United States International Boundary and Water Commission","Agency Overall","2008","0","24","24","0"
"Small Business Administration","Agency Overall","2008","31","2637","2640","28"
"Social Security Administration","Agency Overall","2008","1282","34444","34666","1060"
"Peace Corps","Agency Overall","2008","4","153","135","22"
"U.S. Department of State","Agency Overall","2008","4297","5909","5577","4629"
"Federal Reserve System","Agency Overall","2008","5","836","836","5"
"National Endowment for the Humanities","Agency Overall","2008","4","22","24","2"
"National Mediation Board","Agency Overall","2008","0","16","16","0"
"Merit Systems Protection Board","Agency Overall","2008","15","358","367","6"
"Federal Labor Relations Authority","Agency Overall","2008","13","77","77","13"
"Tennessee Valley Authority","Agency Overall","2008","16","143","140","19"
"Office of National Drug Control Policy","Agency Overall","2008","0","44","44","0"
"Selective Service System","Agency Overall","2008","0","55","55","0"
"Federal Trade Commission","Agency Overall","2008","2","1184","1178","8"
"Occupational Safety and Health Review Commission","Agency Overall","2008","1","78","74","5"
"National Aeronautics and Space Administration","Agency Overall","2008","331","1316","1258","389"
"Federal Financial Institutions Examination Council","Agency Overall","2008","0","0","0","0"
"Inter-American Foundation","Agency Overall","2008","1","5","6","0"
"Farm Credit Administration","Agency Overall","2008","2","26","28","0"
"Department of Defense","Agency Overall","2008","15131","71228","71699","14660"
"Department of Justice","Agency Overall","2008","7959","59615","61272","6302"
"Federal Energy Regulatory Commission","Agency Overall","2008","11","111","96","26"
"Commodity Futures Trading Commission","Agency Overall","2008","19","147","151","15"
"Department of the Interior","Agency Overall","2008","845","4810","4750","905"
"Farm Credit System Insurance Corporation","Agency Overall","2008","0","6","6","0"
"Department of the Treasury","Agency Overall","2008","3065","20943","21352","2656"
"Federal Mine Safety and Health Review Commission","Agency Overall","2008","0","61","59","2"
"Office of Government Ethics","Agency Overall","2008","1","44","42","3"
"Nuclear Regulatory Commission","Agency Overall","2008","34","344","360","18"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2008","0","47","47","0"
"Federal Election Commission","Agency Overall","2008","26","64","82","8"
"All agencies","Agency Overall","2008","171044","560978","578141","153881"
