"Agency","Component","Fiscal Year","Number of Appeals Pending as of Start of Fiscal Year","Number of Appeals Received in Fiscal Year","Number of Appeals Processed in Fiscal Year","Number of Appeals Pending as of End of Fiscal Year"
"Department of Transportation","Agency Overall","2008","87","143","130","100"
"National Archives and Records Administration","Agency Overall","2008","8","42","21","29"
"National Indian Gaming Commission","Agency Overall","2008","0","3","3","0"
"National Railroad Passenger Corporation","Agency Overall","2008","0","2","1","1"
"Federal Housing Finance Agency","Agency Overall","2008","0","1","1","0"
"United States Copyright Office","Agency Overall","2008","1","0","1","0"
"Federal Maritime Commission","Agency Overall","2008","0","0","0","0"
"Postal Regulatory Commission","Agency Overall","2008","0","0","0","0"
"Department of Health and Human Services","Agency Overall","2008","634","199","370","463"
"Department of Education","Agency Overall","2008","24","67","54","37"
"Federal Deposit Insurance Corporation","Agency Overall","2008","0","3","1","2"
"Environmental Protection Agency","Agency Overall","2008","196","129","165","160"
"National Science Foundation","Agency Overall","2008","0","10","10","0"
"Defense Nuclear Facilities Safety Board","Agency Overall","2008","0","0","0","0"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2008","0","1","1","0"
"Federal Open Market Committee","Agency Overall","2008","0","0","0","0"
"United States International Trade Commission","Agency Overall","2008","0","0","0","0"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2008","0","0","0","0"
"Department of Commerce","Agency Overall","2008","80","70","63","87"
"Securities and Exchange Commission","Agency Overall","2008","36","196","187","45"
"General Services Administration","Agency Overall","2008","0","18","18","0"
"Federal Communications Commission","Agency Overall","2008","21","25","20","26"
"Office of Management and Budget","Agency Overall","2008","1","8","7","2"
"Overseas Private Investment Corporation","Agency Overall","2008","1","2","2","1"
"Surface Transportation Board","Agency Overall","2008","0","0","0","0"
"Department of Energy","Agency Overall","2008","9","55","51","13"
"Federal Mediation and Conciliation Service","Agency Overall","2008","0","0","0","0"
"Office of Science and Technology Policy","Agency Overall","2008","0","1","0","1"
"Department of Labor","Agency Overall","2008","231","360","383","208"
"Export-Import Bank of the U.S.","Agency Overall","2008","1","0","1","0"
"Institute of Museum and Library Services","Agency Overall","2008","0","0","0","0"
"U.S. Railroad Retirement Board","Agency Overall","2008","1","1","2","0"
"Office of Personnel Management","Agency Overall","2008","0","35","32","3"
"U.S. Agency for International Development","Agency Overall","2008","2","7","4","5"
"National Credit Union Administration","Agency Overall","2008","0","3","3","0"
"Department of Veterans Affairs","Agency Overall","2008","141","157","230","68"
"Department of Housing and Urban Development","Agency Overall","2008","2","39","41","0"
"Consumer Product Safety Commission","Agency Overall","2008","0","24","24","0"
"Council on Environmental Quality","Agency Overall","2008","0","3","3","0"
"Department of Homeland Security","Agency Overall","2008","3393","1692","2590","2495"
"United States International Boundary and Water Commission","Agency Overall","2008","0","0","0","0"
"Small Business Administration","Agency Overall","2008","2","24","22","4"
"Social Security Administration","Agency Overall","2008","23","52","74","1"
"Peace Corps","Agency Overall","2008","0","5","1","4"
"U.S. Department of State","Agency Overall","2008","807","182","486","503"
"Federal Reserve System","Agency Overall","2008","0","11","11","0"
"National Endowment for the Humanities","Agency Overall","2008","0","2","2","0"
"National Mediation Board","Agency Overall","2008","0","1","1","0"
"Merit Systems Protection Board","Agency Overall","2008","0","10","10","0"
"Federal Labor Relations Authority","Agency Overall","2008","0","5","5","0"
"Tennessee Valley Authority","Agency Overall","2008","1","10","8","3"
"Office of National Drug Control Policy","Agency Overall","2008","0","1","1","0"
"Selective Service System","Agency Overall","2008","0","0","0","0"
"Federal Trade Commission","Agency Overall","2008","2","15","15","2"
"Occupational Safety and Health Review Commission","Agency Overall","2008","0","0","0","0"
"National Aeronautics and Space Administration","Agency Overall","2008","0","22","13","9"
"Federal Financial Institutions Examination Council","Agency Overall","2008","0","0","0","0"
"Inter-American Foundation","Agency Overall","2008","0","0","0","0"
"Farm Credit Administration","Agency Overall","2008","0","0","0","0"
"Department of Defense","Agency Overall","2008","685","864","862","687"
"Department of Justice","Agency Overall","2008","1532","2852","3667","717"
"Federal Energy Regulatory Commission","Agency Overall","2008","0","8","7","1"
"Commodity Futures Trading Commission","Agency Overall","2008","0","5","4","1"
"Department of the Interior","Agency Overall","2008","639","214","300","553"
"Farm Credit System Insurance Corporation","Agency Overall","2008","0","0","0","0"
"Department of the Treasury","Agency Overall","2008","61","334","317","78"
"Federal Mine Safety and Health Review Commission","Agency Overall","2008","0","0","0","0"
"Office of Government Ethics","Agency Overall","2008","0","0","0","0"
"Nuclear Regulatory Commission","Agency Overall","2008","1","8","9","0"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2008","0","0","0","0"
"Federal Election Commission","Agency Overall","2008","0","1","0","1"
"All agencies","Agency Overall","2008","8622","7922","10234","6310"
