"Agency","Component","Fiscal Year","Number Granted","Number Denied","Median Number of Days to Adjudicate","Average Number of Days to Adjudicate","Number Adjudicated Within Ten Calendar Days"
"Department of Transportation","Agency Overall","2008","54","73","1","3.86","92"
"National Archives and Records Administration","Agency Overall","2008","6","50","5","5","50"
"National Indian Gaming Commission","Agency Overall","2008","4","0","1","1","1"
"National Railroad Passenger Corporation","Agency Overall","2008","3","1","4","7","3"
"Federal Housing Finance Agency","Agency Overall","2008","0","0","0","0","0"
"United States Copyright Office","Agency Overall","2008","0","0","0","0","0"
"Federal Maritime Commission","Agency Overall","2008","0","0","0","0","0"
"Postal Regulatory Commission","Agency Overall","2008","0","0","0","0","0"
"Department of Health and Human Services","Agency Overall","2008","48","157","8","14","88"
"Department of Education","Agency Overall","2008","10","57","4","70","39"
"Federal Deposit Insurance Corporation","Agency Overall","2008","10","0","1","1","10"
"Environmental Protection Agency","Agency Overall","2008","4","59","27","48.69","18"
"National Science Foundation","Agency Overall","2008","0","0","0","0","0"
"Defense Nuclear Facilities Safety Board","Agency Overall","2008","0","0","0","0","0"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2008","0","0","0","0","0"
"Federal Open Market Committee","Agency Overall","2008","0","0","0","0","0"
"United States International Trade Commission","Agency Overall","2008","2","0","14.5","14","2"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2008","0","0","0","0","0"
"Department of Commerce","Agency Overall","2008","17","8","5","10","22"
"Securities and Exchange Commission","Agency Overall","2008","2","0","0","0","0"
"General Services Administration","Agency Overall","2008","0","0","0","0","0"
"Federal Communications Commission","Agency Overall","2008","0","4","9.5","9.25","3"
"Office of Management and Budget","Agency Overall","2008","0","0","0","0","0"
"Overseas Private Investment Corporation","Agency Overall","2008","0","0","0","0","0"
"Surface Transportation Board","Agency Overall","2008","0","0","0","0","0"
"Department of Energy","Agency Overall","2008","3","16","3","5","18"
"Federal Mediation and Conciliation Service","Agency Overall","2008","9","0","2","1","9"
"Office of Science and Technology Policy","Agency Overall","2008","0","0","0","0","0"
"Department of Labor","Agency Overall","2008","122","161","1","2.25","136"
"Export-Import Bank of the U.S.","Agency Overall","2008","32","1","0","0","0"
"Institute of Museum and Library Services","Agency Overall","2008","1","0","1","1","1"
"U.S. Railroad Retirement Board","Agency Overall","2008","0","0","0","0","0"
"Office of Personnel Management","Agency Overall","2008","0","0","0","0","0"
"U.S. Agency for International Development","Agency Overall","2008","0","0","0","0","0"
"National Credit Union Administration","Agency Overall","2008","1","6","1","1.7","7"
"Department of Veterans Affairs","Agency Overall","2008","2641","18","0","0","212"
"Department of Housing and Urban Development","Agency Overall","2008","0","0","0","0","0"
"Consumer Product Safety Commission","Agency Overall","2008","0","25","14","25","10"
"Council on Environmental Quality","Agency Overall","2008","0","0","0","0","0"
"Department of Homeland Security","Agency Overall","2008","32","1791","2","6.32","1566"
"United States International Boundary and Water Commission","Agency Overall","2008","0","0","0","0","0"
"Small Business Administration","Agency Overall","2008","0","0","0","0","0"
"Social Security Administration","Agency Overall","2008","0","42","7","8","42"
"Peace Corps","Agency Overall","2008","1","0","3","3","3"
"U.S. Department of State","Agency Overall","2008","0","32","10","22","13"
"Federal Reserve System","Agency Overall","2008","2","0","12","12","1"
"National Endowment for the Humanities","Agency Overall","2008","0","0","0","0","0"
"National Mediation Board","Agency Overall","2008","0","0","0","0","0"
"Merit Systems Protection Board","Agency Overall","2008","0","0","0","0","0"
"Federal Labor Relations Authority","Agency Overall","2008","0","0","0","0","0"
"Tennessee Valley Authority","Agency Overall","2008","0","0","0","0","0"
"Office of National Drug Control Policy","Agency Overall","2008","1","0","0","0","0"
"Selective Service System","Agency Overall","2008","0","0","0","0","0"
"Federal Trade Commission","Agency Overall","2008","0","0","0","0","0"
"Occupational Safety and Health Review Commission","Agency Overall","2008","0","0","0","0","0"
"National Aeronautics and Space Administration","Agency Overall","2008","13","2","256","29","5"
"Federal Financial Institutions Examination Council","Agency Overall","2008","0","0","0","0","0"
"Inter-American Foundation","Agency Overall","2008","0","0","0","0","0"
"Farm Credit Administration","Agency Overall","2008","0","0","0","0","0"
"Department of Defense","Agency Overall","2008","193","563","0","10.4038461538462","225"
"Department of Justice","Agency Overall","2008","185","708","1","6.75","777"
"Federal Energy Regulatory Commission","Agency Overall","2008","0","8","10","10","6"
"Commodity Futures Trading Commission","Agency Overall","2008","0","0","0","0","0"
"Department of the Interior","Agency Overall","2008","20","46","4","7","38"
"Farm Credit System Insurance Corporation","Agency Overall","2008","0","0","0","0","0"
"Department of the Treasury","Agency Overall","2008","12","45","32","59","34"
"Federal Mine Safety and Health Review Commission","Agency Overall","2008","0","0","0","0","0"
"Office of Government Ethics","Agency Overall","2008","0","0","0","0","0"
"Nuclear Regulatory Commission","Agency Overall","2008","0","17","1","1","17"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2008","0","0","0","0","0"
"Federal Election Commission","Agency Overall","2008","5","1","8","14.3","5"
"All agencies","Agency Overall","2008","3433","3891","N/A","N/A","3453"
