"Agency","Component","Fiscal Year","Ex. 1","Ex. 2","Ex. 3","Ex. 4","Ex. 5","Ex. 6","Ex. 7(A)","Ex. 7(B)","Ex. 7(C)","Ex. 7(D)","Ex. 7(E)","Ex. 7(F)","Ex. 8","Ex. 9"
"Department of Transportation","Agency Overall","2008","2","141","149","319","614","1583","99","2","442","114","11","1","0","0"
"National Archives and Records Administration","Agency Overall","2008","101","13","61","13","18","87","22","0","27","11","8","0","1","0"
"National Indian Gaming Commission","Agency Overall","2008","0","0","0","36","26","38","7","0","15","0","4","0","0","0"
"National Railroad Passenger Corporation","Agency Overall","2008","0","10","7","8","22","12","2","0","5","0","1","0","0","0"
"Federal Housing Finance Agency","Agency Overall","2008","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"United States Copyright Office","Agency Overall","2008","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"Federal Maritime Commission","Agency Overall","2008","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Postal Regulatory Commission","Agency Overall","2008","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Health and Human Services","Agency Overall","2008","0","70","82","470","234","2129","100","1","81","7","5","0","0","0"
"Department of Education","Agency Overall","2008","0","103","4","468","150","633","133","13","393","2","7","0","0","0"
"Federal Deposit Insurance Corporation","Agency Overall","2008","0","2","1","42","13","31","4","0","3","1","2","0","21","0"
"Environmental Protection Agency","Agency Overall","2008","1","33","25","229","295","132","123","1","48","21","12","0","0","0"
"National Science Foundation","Agency Overall","2008","0","3","25","88","14","225","5","0","22","0","0","0","0","0"
"Defense Nuclear Facilities Safety Board","Agency Overall","2008","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2008","0","0","0","2","2","2","0","0","0","0","0","0","0","0"
"Federal Open Market Committee","Agency Overall","2008","0","0","0","0","3","0","0","0","0","0","0","0","0","0"
"United States International Trade Commission","Agency Overall","2008","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2008","0","2","0","9","7","8","10","0","7","5","4","0","0","0"
"Department of Commerce","Agency Overall","2008","3","59","127","93","124","140","14","1","19","3","8","1","1","0"
"Securities and Exchange Commission","Agency Overall","2008","0","46","8","160","83","72","705","0","70","1","5","0","42","0"
"General Services Administration","Agency Overall","2008","0","33","17","135","36","38","1","0","0","0","0","0","0","0"
"Federal Communications Commission","Agency Overall","2008","0","79","1","20","48","196","11","3","109","2","12","0","0","0"
"Office of Management and Budget","Agency Overall","2008","1","5","0","0","37","2","0","0","0","0","0","0","0","0"
"Overseas Private Investment Corporation","Agency Overall","2008","0","0","0","16","6","1","0","0","0","0","0","0","0","0"
"Surface Transportation Board","Agency Overall","2008","0","0","0","1","1","2","0","0","0","0","0","0","0","0"
"Department of Energy","Agency Overall","2008","10","37","26","89","73","159","1","0","20","0","0","0","0","1"
"Federal Mediation and Conciliation Service","Agency Overall","2008","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"Office of Science and Technology Policy","Agency Overall","2008","0","4","0","0","5","1","0","0","0","0","0","0","0","0"
"Department of Labor","Agency Overall","2008","0","806","11","4483","5581","2510","1665","48","5864","3369","633","0","0","0"
"Export-Import Bank of the U.S.","Agency Overall","2008","1","3","0","41","15","6","0","0","0","0","0","0","0","0"
"Institute of Museum and Library Services","Agency Overall","2008","0","0","0","16","1","1","0","0","0","0","0","0","0","0"
"U.S. Railroad Retirement Board","Agency Overall","2008","0","0","15","0","0","15","2","3","0","0","0","0","0","0"
"Office of Personnel Management","Agency Overall","2008","","4","","16","10","30","1","","2","","","","",""
"U.S. Agency for International Development","Agency Overall","2008","2","17","28","57","9","50","0","0","0","0","0","0","0","0"
"National Credit Union Administration","Agency Overall","2008","0","9","0","26","21","42","1","0","1","0","0","0","35","0"
"Department of Veterans Affairs","Agency Overall","2008","0","100","4287","79","217","8936","207","27","638","26","18","7","0","0"
"Department of Housing and Urban Development","Agency Overall","2008","0","30","8","86","68","266","24","0","38","0","14","0","0","0"
"Consumer Product Safety Commission","Agency Overall","2008","0","0","377","195","216","83","139","0","0","5","1","0","0","0"
"Council on Environmental Quality","Agency Overall","2008","0","0","0","0","14","0","0","0","0","0","0","0","0","0"
