"Agency","Component","Fiscal Year","Number Received During Fiscal Year from Last Year's Annual Report","Number Received During Fiscal Year from Current Annual Report","Number Processed During Fiscal Year from Last Year's Annual Report","Number Processed During Fiscal Year from Current Annual Report"
"Department of Transportation","Agency Overall","2008","9695","9958","9542","10402"
"National Archives and Records Administration","Agency Overall","2008","12185","14075","12386","13472"
"National Indian Gaming Commission","Agency Overall","2008","101","107","108","104"
"National Railroad Passenger Corporation","Agency Overall","2008","220","258","221","240"
"Federal Housing Finance Agency","Agency Overall","2008","43","36","43","36"
"United States Copyright Office","Agency Overall","2008","2","54","1","46"
"Federal Maritime Commission","Agency Overall","2008","17","10","15","2"
"Postal Regulatory Commission","Agency Overall","2008","17","31","17","32"
"Department of Health and Human Services","Agency Overall","2008","55014","58299","55708","66583"
"Department of Education","Agency Overall","2008","1790","1921","1668","2236"
"Federal Deposit Insurance Corporation","Agency Overall","2008","639","807","633","780"
"Environmental Protection Agency","Agency Overall","2008","11515","11492","12066","11635"
"National Science Foundation","Agency Overall","2008","340","353","343","352"
"Defense Nuclear Facilities Safety Board","Agency Overall","2008","16","26","15","27"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2008","129","88","123","96"
"Federal Open Market Committee","Agency Overall","2008","21","21","21","21"
"United States International Trade Commission","Agency Overall","2008","57","66","56","67"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2008","46","32","36","40"
"Department of Commerce","Agency Overall","2008","1850","1936","1947","1885"
"Securities and Exchange Commission","Agency Overall","2008","9070","9586","12564","15596"
"General Services Administration","Agency Overall","2008","1354","1461","1347","1457"
"Federal Communications Commission","Agency Overall","2008","546","745","547","730"
"Office of Management and Budget","Agency Overall","2008","140","136","137","142"
"Overseas Private Investment Corporation","Agency Overall","2008","58","45","53","50"
"Surface Transportation Board","Agency Overall","2008","18","24","17","24"
"Department of Energy","Agency Overall","2008","1441","1605","1429","1714"
"Federal Mediation and Conciliation Service","Agency Overall","2008","91","107","91","107"
"Office of Science and Technology Policy","Agency Overall","2008","20","23","17","20"
"Department of Labor","Agency Overall","2008","27944","20798","27581","20970"
"Export-Import Bank of the U.S.","Agency Overall","2008","105","93","104","97"
"Institute of Museum and Library Services","Agency Overall","2008","58","43","56","44"
"U.S. Railroad Retirement Board","Agency Overall","2008","74","83","73","82"
"Office of Personnel Management","Agency Overall","2008","986","6236","941","7123"
"U.S. Agency for International Development","Agency Overall","2008","261","278","267","279"
"National Credit Union Administration","Agency Overall","2008","196","149","206","153"
"Department of Veterans Affairs","Agency Overall","2008","1889663","99333","1864512","98455"
"Department of Housing and Urban Development","Agency Overall","2008","3484","2999","7661","3066"
"Consumer Product Safety Commission","Agency Overall","2008","4598","3930","4402","3837"
"Council on Environmental Quality","Agency Overall","2008","27","35","17","50"
"Department of Homeland Security","Agency Overall","2008","106215","108952","133143","109028"
"United States International Boundary and Water Commission","Agency Overall","2008","23","24","23","24"
"Small Business Administration","Agency Overall","2008","3333","2637","3348","2640"
"Social Security Administration","Agency Overall","2008","18995845","34444","18995719","34666"
"Peace Corps","Agency Overall","2008","113","153","110","135"
"U.S. Department of State","Agency Overall","2008","5078","5909","4792","5577"
"Federal Reserve System","Agency Overall","2008","813","836","817","836"
"National Endowment for the Humanities","Agency Overall","2008","37","22","51","24"
"National Mediation Board","Agency Overall","2008","18","16","18","16"
"Merit Systems Protection Board","Agency Overall","2008","311","358","323","367"
"Federal Labor Relations Authority","Agency Overall","2008","96","77","98","77"
"Tennessee Valley Authority","Agency Overall","2008","163","143","160","140"
"Office of National Drug Control Policy","Agency Overall","2008","42","44","42","44"
"Selective Service System","Agency Overall","2008","35","55","35","55"
"Federal Trade Commission","Agency Overall","2008","1038","1184","1055","1178"
"Occupational Safety and Health Review Commission","Agency Overall","2008","91","78","90","74"
"National Aeronautics and Space Administration","Agency Overall","2008","1416","1316","1326","1258"
"Federal Financial Institutions Examination Council","Agency Overall","2008","0","0","0","0"
"Inter-American Foundation","Agency Overall","2008","12","5","11","6"
"Farm Credit Administration","Agency Overall","2008","38","26","38","28"
"Department of Defense","Agency Overall","2008","73608","71228","72355","71699"
"Department of Justice","Agency Overall","2008","52260","59615","53889","61272"
"Federal Energy Regulatory Commission","Agency Overall","2008","99","111","104","96"
"Commodity Futures Trading Commission","Agency Overall","2008","185","147","177","151"
"Department of the Interior","Agency Overall","2008","4891","4810","5437","4750"
"Farm Credit System Insurance Corporation","Agency Overall","2008","7","6","7","6"
"Department of the Treasury","Agency Overall","2008","27927","20943","28785","21352"
"Federal Mine Safety and Health Review Commission","Agency Overall","2008","42","61","42","59"
"Office of Government Ethics","Agency Overall","2008","40","44","40","42"
"Nuclear Regulatory Commission","Agency Overall","2008","349","344","351","360"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2008","0","47","0","47"
"Federal Election Commission","Agency Overall","2008","85","64","63","82"
"All agencies","Agency Overall","2008","21308041","560978","21319420","578141"
