"Agency","Component","Fiscal Year","Number of Backlogged Requests as of End of the Fiscal Year from Previous Annual Report","Number of Backlogged Requests as of End of the Fiscal Year from Current Annual Report"
"Department of Transportation","Agency Overall","2008","0","1583"
"National Archives and Records Administration","Agency Overall","2008","5177","5781"
"National Indian Gaming Commission","Agency Overall","2008","0","1"
"National Railroad Passenger Corporation","Agency Overall","2008","5","17"
"Federal Housing Finance Agency","Agency Overall","2008","0","0"
"United States Copyright Office","Agency Overall","2008","1","10"
"Federal Maritime Commission","Agency Overall","2008","3","11"
"Postal Regulatory Commission","Agency Overall","2008","0","0"
"Department of Health and Human Services","Agency Overall","2008","403","19351"
"Department of Education","Agency Overall","2008","659","348"
"Federal Deposit Insurance Corporation","Agency Overall","2008","0","10"
"Environmental Protection Agency","Agency Overall","2008","718","783"
"National Science Foundation","Agency Overall","2008","2","1"
"Defense Nuclear Facilities Safety Board","Agency Overall","2008","0","0"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2008","4","2"
"Federal Open Market Committee","Agency Overall","2008","0","0"
"United States International Trade Commission","Agency Overall","2008","0","0"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2008","35","25"
"Department of Commerce","Agency Overall","2008","180","143"
"Securities and Exchange Commission","Agency Overall","2008","6909","899"
"General Services Administration","Agency Overall","2008","6","2"
"Federal Communications Commission","Agency Overall","2008","0","25"
"Office of Management and Budget","Agency Overall","2008","0","0"
"Overseas Private Investment Corporation","Agency Overall","2008","0","0"
"Surface Transportation Board","Agency Overall","2008","0","0"
"Department of Energy","Agency Overall","2008","0","247"
"Federal Mediation and Conciliation Service","Agency Overall","2008","0","0"
"Office of Science and Technology Policy","Agency Overall","2008","0","5"
"Department of Labor","Agency Overall","2008","0","0"
"Export-Import Bank of the U.S.","Agency Overall","2008","13","9"
"Institute of Museum and Library Services","Agency Overall","2008","0","1"
"U.S. Railroad Retirement Board","Agency Overall","2008","5","5"
"Office of Personnel Management","Agency Overall","2008","986","93"
"U.S. Agency for International Development","Agency Overall","2008","107","116"
"National Credit Union Administration","Agency Overall","2008","0","0"
"Department of Veterans Affairs","Agency Overall","2008","0","2840"
"Department of Housing and Urban Development","Agency Overall","2008","764","697"
"Consumer Product Safety Commission","Agency Overall","2008","188","320"
"Council on Environmental Quality","Agency Overall","2008","20","5"
"Department of Homeland Security","Agency Overall","2008","0","74879"
"United States International Boundary and Water Commission","Agency Overall","2008","0","0"
"Small Business Administration","Agency Overall","2008","2","8"
"Social Security Administration","Agency Overall","2008","125","147"
"Peace Corps","Agency Overall","2008","4","16"
"U.S. Department of State","Agency Overall","2008","0","4327"
"Federal Reserve System","Agency Overall","2008","0","5"
"National Endowment for the Humanities","Agency Overall","2008","4","2"
"National Mediation Board","Agency Overall","2008","0","0"
"Merit Systems Protection Board","Agency Overall","2008","15","6"
"Federal Labor Relations Authority","Agency Overall","2008","0","10"
"Tennessee Valley Authority","Agency Overall","2008","0","0"
"Office of National Drug Control Policy","Agency Overall","2008","0","0"
"Selective Service System","Agency Overall","2008","0","0"
"Federal Trade Commission","Agency Overall","2008","0","1"
"Occupational Safety and Health Review Commission","Agency Overall","2008","0","0"
"National Aeronautics and Space Administration","Agency Overall","2008","0","88"
"Federal Financial Institutions Examination Council","Agency Overall","2008","0","0"
"Inter-American Foundation","Agency Overall","2008","0","0"
"Farm Credit Administration","Agency Overall","2008","0","0"
"Department of Defense","Agency Overall","2008","0","11533"
"Department of Justice","Agency Overall","2008","0","4364"
"Federal Energy Regulatory Commission","Agency Overall","2008","0","1"
"Commodity Futures Trading Commission","Agency Overall","2008","0","6"
"Department of the Interior","Agency Overall","2008","0","666"
"Farm Credit System Insurance Corporation","Agency Overall","2008","0","0"
"Department of the Treasury","Agency Overall","2008","1287","718"
"Federal Mine Safety and Health Review Commission","Agency Overall","2008","0","0"
"Office of Government Ethics","Agency Overall","2008","0","0"
"Nuclear Regulatory Commission","Agency Overall","2008","17","6"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2008","0","0"
"Federal Election Commission","Agency Overall","2008","10","6"
"All agencies","Agency Overall","2008","17649","130119"
