"Agency","Component","Fiscal Year","No Records","Records Referred at Initial Request Level","Request Withdrawn","Fee-Related Reason","Records Not Reasonably Described","Improper Request for Other Reason","Not Agency Record","Duplicate Request or Appeal","Request in Litigation","Appeal Based Solely on Denial of Request for Expedited Processing","Other*"
"Federal Reserve System","Agency Overall","2023","3","0","1","0","1","15","4","3","0","1","2"
"Federal Mediation and Conciliation Service","Agency Overall","2023","1","0","1","0","0","0","0","0","0","0","0"
"Commodity Futures Trading Commission","Agency Overall","2023","0","0","0","0","0","0","0","0","0","1","0"
"Consumer Product Safety Commission","Agency Overall","2023","0","0","0","0","1","1","0","0","0","0","0"
"Administrative Conference of the United States","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0"
"Farm Credit Administration","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0"
"Nuclear Regulatory Commission","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0"
"National Transportation Safety Board","Agency Overall","2023","3","0","1","0","0","5","0","3","0","0","0"
"Department of Veterans Affairs","Agency Overall","2023","12","0","4","16","0","0","0","2","8","205","194"
"Department of Homeland Security","Agency Overall","2023","58","9","21","3","29","543","12","156","15","3","241"
"Office of Management and Budget","Agency Overall","2023","0","0","3","0","0","0","0","0","0","0","0"
"Social Security Administration","Agency Overall","2023","55","113","4","26","31","15","0","29","0","0","0"
"U.S. Election Assistance Commission","Agency Overall","2023","0","0","0","0","0","2","0","0","0","3","0"
"Office of Personnel Management","Agency Overall","2023","2","0","0","0","0","0","0","0","0","0","0"
"National Indian Gaming Commission","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0"
"Peace Corps","Agency Overall","2023","1","0","1","0","0","0","0","0","0","0","0"
"Court Services and Offender Supervision Agency","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0"
"Office of National Drug Control Policy","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0"
"Department of Energy","Agency Overall","2023","10","0","0","3","0","0","1","0","0","2","0"
"National Endowment for the Humanities","Agency Overall","2023","1","0","0","0","1","0","0","0","0","0","0"
"National Railroad Passenger Corporation","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0"
"Occupational Safety and Health Review Commission","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0"
"Institute of Museum and Library Services","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0"
"National Science Foundation","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0"
"Department of Commerce","Agency Overall","2023","0","0","3","2","0","0","0","0","0","1","0"
"Department of Defense","Agency Overall","2023","86","13","62","2","3","43","3","35","9","5","65"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0"
"Department of the Interior","Agency Overall","2023","17","3","4","1","1","0","0","0","6","4","217"
"National Archives and Records Administration","Agency Overall","2023","0","0","1","0","0","40","0","0","1","17","1"
"Department of Labor","Agency Overall","2023","13","0","73","6","0","4","0","10","5","0","20"
"U.S. Interagency Council on Homelessness","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0"
