"Agency","Component","Fiscal Year","Median Number of Days","Average Number of Days","Lowest Number of Days","Highest Number of Days"
"Federal Reserve System","Agency Overall","2023","35","69","17","355"
"Federal Mediation and Conciliation Service","Agency Overall","2023","7","7","4","10"
"Commodity Futures Trading Commission","Agency Overall","2023","15.5","14.75","6","22"
"Consumer Product Safety Commission","Agency Overall","2023","19","17","8","20"
"Administrative Conference of the United States","Agency Overall","2023","N/A","N/A","N/A","N/A"
"Farm Credit Administration","Agency Overall","2023","N/A","N/A","N/A","N/A"
"Nuclear Regulatory Commission","Agency Overall","2023","22","25.43","5","54"
"National Transportation Safety Board","Agency Overall","2023","7","8.53","N/A","18"
"Department of Veterans Affairs","Agency Overall","2023","78","119","1","608"
"Department of Homeland Security","Agency Overall","2023","14","43","<1","1433"
"Office of Management and Budget","Agency Overall","2023","46","155","7","731"
"Social Security Administration","Agency Overall","2023","11","23","<1","499"
"U.S. Election Assistance Commission","Agency Overall","2023","17","17","12","20"
"Office of Personnel Management","Agency Overall","2023","68","62","43","75"
"National Indian Gaming Commission","Agency Overall","2023","N/A","N/A","N/A","N/A"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2023","N/A","N/A","N/A","N/A"
"Peace Corps","Agency Overall","2023","72.5","72.5","20","125"
"Court Services and Offender Supervision Agency","Agency Overall","2023","0","0","N/A","0"
"Office of National Drug Control Policy","Agency Overall","2023","N/A","N/A","N/A","N/A"
"Department of Energy","Agency Overall","2023","12","13","1","58"
"National Endowment for the Humanities","Agency Overall","2023","19","19","19","19"
"National Railroad Passenger Corporation","Agency Overall","2023","135.5","135.5","106","165"
"Occupational Safety and Health Review Commission","Agency Overall","2023","N/A","N/A","N/A","N/A"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2023","N/A","N/A","N/A","N/A"
"Institute of Museum and Library Services","Agency Overall","2023","N/A","N/A","N/A","N/A"
"National Science Foundation","Agency Overall","2023","18.5","18.5","18","19"
"Department of Commerce","Agency Overall","2023","21","271.1","10","1181"
"Department of Defense","Agency Overall","2023","69","254.18","1","3130"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2023","N/A","N/A","N/A","N/A"
"Department of the Interior","Agency Overall","2023","87.5","245.5","<1","1636"
"National Archives and Records Administration","Agency Overall","2023","445","359","2","2281"
"Department of Labor","Agency Overall","2023","223.00","439.55","<1","1658"
"U.S. Interagency Council on Homelessness","Agency Overall","2023","N/A","N/A","N/A","N/A"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2023","N/a","N/A","N/A","N/A"
"Office of Science and Technology Policy","Agency Overall","2023","19","19","19","19"
"Advisory Council on Historic Preservation","Agency Overall","2023","N/A","N/A","N/A","N/A"
"U.S. International Development Finance Corporation","Agency Overall","2023","N/A","N/A","N/A","N/A"
"Office of Special Counsel","Agency Overall","2023","17","19.67","8","33"
"Federal Open Market Committee","Agency Overall","2023","0","0","N/A","N/A"
"Department of Agriculture","Agency Overall","2023","95","294.13","1","1199"
"Environmental Protection Agency","Agency Overall","2023","18.0","14.5","<1","20"
"Millennium Challenge Corporation","Agency Overall","2023","12","12","12","14"
"Appraisal Subcommittee","Agency Overall","2023","N/A","N/A","N/A","N/A"
"Federal Maritime Commission","Agency Overall","2023","N/A","N/A","N/A","N/A"
"Farm Credit System Insurance Corporation","Agency Overall","2023","N/A","N/A","N/A","N/A"
"General Services Administration","Agency Overall","2023","6.0","24.53","<1","254"
"Federal Financial Institutions Examination Council","Agency Overall","2023","N/A","N/A","N/A","N/A"
"Defense Nuclear Facilities Safety Board","Agency Overall","2023","N/A","N/A","N/A","N/A"
"Neighborhood Reinvestment Corporation","Agency Overall","2023","N/A","N/A","N/A","N/A"
"Inter-American Foundation","Agency Overall","2023","N/A","N/A ","N/A","N/A"
"Export-Import Bank of the U.S.","Agency Overall","2023","13","13","13","230"
"Office of the United States Trade Representative","Agency Overall","2023","8","8","8","8"
"Central Intelligence Agency","Agency Overall","2023","472","586.01","<1","2515"
"U.S. Department of State","Agency Overall","2023","18.50","104.44","<1","2239"
"Federal Election Commission","Agency Overall","2023","31","22","5","31"
"United States Trade and Development Agency","Agency Overall","2023","0","0","N/A","N/A"
"Merit Systems Protection Board","Agency Overall","2023","81","188.39","12","1137"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2023","N/A","N/A","N/A","N/A"
"Federal Retirement Thrift Investment Board","Agency Overall","2023","25","25","18","32"
"Legal Services Corporation","Agency Overall","2023","22","22","14","30"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2023","146","146","146","146"
"United States Postal Service","Agency Overall","2023","18","16.69","<1","49"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2023","20","20","20","20"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2023","N/A","N/A","N/A","N/A"
"National Credit Union Administration","Agency Overall","2023","19","19","18","20"
"National Council on Disability","Agency Overall","2023","N/A","N/A","N/A","N/A"
"Council on Environmental Quality","Agency Overall","2023","43","42.3","21","63"
"Federal Permitting Improvement Steering Council","Agency Overall","2023","N/A","N/A","N/A","N/A"
"Surface Transportation Board","Agency Overall","2023","2","2","2","2"
"Social Security Advisory Board","Agency Overall","2023","N/A","N/A","N/A","N/A"
"Selective Service System","Agency Overall","2023","0","0","N/A","N/A"
"American Battle Monuments Commission","Agency Overall","2023","N/A","N/A","N/A","N/A"
"U.S. Commission for the Preservation of America’s Heritage Abroad","Agency Overall","2023","N/A","N/A","N/A","N/A"
"United States Institute of Peace","Agency Overall","2023","0","0","N/A","N/A"
"United States International Boundary and Water Commission","Agency Overall","2023","N/A","N/A","N/A","N/A"
"United States Copyright Office","Agency Overall","2023","36.5","36.5","36","37"
"U.S. Railroad Retirement Board","Agency Overall","2023","N/A","N/A","N/A","N/A"
"National Labor Relations Board","Agency Overall","2023","19","16.22","<1","20"
"National Capital Planning Commission","Agency Overall","2023","19","19","19","19"
"U.S. Commission on Civil Rights","Agency Overall","2023","N/A","N/A","N/A","N/A"
"Federal Deposit Insurance Corporation","Agency Overall","2023","20.00","18.90","8","30"
"United States International Trade Commission","Agency Overall","2023","N/A","N/A","N/A","N/A"
"Equal Employment Opportunity Commission","Agency Overall","2023","13","12.646","<1","197"
"Department of Transportation","Agency Overall","2023","90.00","199.28","<1","1132"
"Department of Justice","Agency Overall","2023","38","53.07","1","366"
"National Aeronautics and Space Administration","Agency Overall","2023","42","125.07","2","627"
"United States African Development Foundation","Agency Overall","2023","N/A","N/A","N/A","N/A"
"Denali Commission","Agency Overall","2023","N/A","N/A","N/A","N/A"
"Pension Benefit Guaranty Corporation","Agency Overall","2023","18","13.75","2","20"
"Postal Regulatory Commission","Agency Overall","2023","9","9","9","9"
"National Mediation Board","Agency Overall","2023","N/A","N/A","N/A","N/A"
"U.S. Agency for International Development","Agency Overall","2023","251","231.67","42","418"
"Department of Health and Human Services","Agency Overall","2023","231.63","378.97","<1","2655"
"Harry S. Truman Scholarship Foundation","Agency Overall","2023","N/A","N/A","N/A","N/A"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2023","N/A","N/A","N/A","N/A"
"Federal Mine Safety and Health Review Commission","Agency Overall","2023","N/A","N/A","N/A","N/A"
"Department of Education","Agency Overall","2023","60","241.29","<1","1023"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2023","45","45","45","45"
"Department of Housing and Urban Development","Agency Overall","2023","13.00","13.90","3","31"
"Tennessee Valley Authority","Agency Overall","2023","20","20","20","20"
"Department of the Treasury","Agency Overall","2023","24.00","194.46","<1","1786"
"Marine Mammal Commission","Agency Overall","2023","N/A","N/A","N/A","N/A"
