"Agency","Component","Fiscal Year","Number of Requests Pending as of Start of Fiscal Year","Number of Requests Received in Fiscal Year","Number of Requests Processed in Fiscal Year","Number of Requests Pending as of End of Fiscal Year"
"Federal Reserve System","Agency Overall","2023","52","772","739","85"
"Federal Mediation and Conciliation Service","Agency Overall","2023","4","46","49","1"
"Commodity Futures Trading Commission","Agency Overall","2023","6","290","291","5"
"Consumer Product Safety Commission","Agency Overall","2023","517","601","844","274"
"Administrative Conference of the United States","Agency Overall","2023","0","43","43","0"
"Farm Credit Administration","Agency Overall","2023","0","58","48","10"
"Nuclear Regulatory Commission","Agency Overall","2023","91","236","207","120"
"National Transportation Safety Board","Agency Overall","2023","183","558","601","140"
"Department of Veterans Affairs","Agency Overall","2023","2427","79590","72403","9614"
"Department of Homeland Security","Agency Overall","2023","104434","674856","580205","199085"
"Office of Management and Budget","Agency Overall","2023","610","315","362","563"
"Social Security Administration","Agency Overall","2023","637","10130","10305","462"
"U.S. Election Assistance Commission","Agency Overall","2023","211","50","91","170"
"Office of Personnel Management","Agency Overall","2023","153","581","586","148"
"National Indian Gaming Commission","Agency Overall","2023","3","55","45","13"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2023","0","46","26","20"
"Peace Corps","Agency Overall","2023","110","265","301","74"
"Court Services and Offender Supervision Agency","Agency Overall","2023","11","354","342","23"
"Office of National Drug Control Policy","Agency Overall","2023","9","40","36","13"
"Department of Energy","Agency Overall","2023","1011","2156","1790","1377"
"National Endowment for the Humanities","Agency Overall","2023","3","38","30","11"
"National Railroad Passenger Corporation","Agency Overall","2023","361","364","550","175"
"Occupational Safety and Health Review Commission","Agency Overall","2023","3","150","137","16"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2023","3","51","46","8"
"Institute of Museum and Library Services","Agency Overall","2023","0","41","41","0"
"National Science Foundation","Agency Overall","2023","503","339","158","684"
"Department of Commerce","Agency Overall","2023","1133","2241","2093","1281"
"Department of Defense","Agency Overall","2023","25357","60109","55731","29735"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2023","0","20","19","1"
"Department of the Interior","Agency Overall","2023","5261","7085","7388","4958"
"National Archives and Records Administration","Agency Overall","2023","9969","62505","66064","6410"
"Department of Labor","Agency Overall","2023","2325","14282","14219","2388"
"U.S. Interagency Council on Homelessness","Agency Overall","2023","0","7","1","6"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2023","0","28","27","1"
"Office of Science and Technology Policy","Agency Overall","2023","157","64","45","176"
"Advisory Council on Historic Preservation","Agency Overall","2023","12","27","12","27"
"U.S. International Development Finance Corporation","Agency Overall","2023","69","50","30","89"
"Office of Special Counsel","Agency Overall","2023","11","118","103","26"
"Federal Open Market Committee","Agency Overall","2023","0","29","20","9"
"Department of Agriculture","Agency Overall","2023","2387","16605","16242","2750"
"Environmental Protection Agency","Agency Overall","2023","1956","6588","6777","1767"
"Millennium Challenge Corporation","Agency Overall","2023","0","54","46","8"
"Appraisal Subcommittee","Agency Overall","2023","0","34","29","5"
"Federal Maritime Commission","Agency Overall","2023","12","42","39","15"
"Farm Credit System Insurance Corporation","Agency Overall","2023","0","30","24","6"
"General Services Administration","Agency Overall","2023","327","1723","1510","540"
"Federal Financial Institutions Examination Council","Agency Overall","2023","3","25","18","10"
"Defense Nuclear Facilities Safety Board","Agency Overall","2023","2","48","37","13"
"Neighborhood Reinvestment Corporation","Agency Overall","2023","2","29","16","15"
"Inter-American Foundation","Agency Overall","2023","0","23","19","4"
"Export-Import Bank of the U.S.","Agency Overall","2023","24","108","94","38"
"Office of the United States Trade Representative","Agency Overall","2023","3","66","62","7"
"Central Intelligence Agency","Agency Overall","2023","3162","2426","1567","4021"
"U.S. Department of State","Agency Overall","2023","20982","15713","12576","24119"
"Federal Election Commission","Agency Overall","2023","3","92","88","7"
"United States Trade and Development Agency","Agency Overall","2023","55","39","80","14"
"Merit Systems Protection Board","Agency Overall","2023","64","221","167","118"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2023","0","13","6","7"
"Federal Retirement Thrift Investment Board","Agency Overall","2023","3","99","76","26"
"Legal Services Corporation","Agency Overall","2023","2","29","22","9"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2023","6","58","49","15"
"United States Postal Service","Agency Overall","2023","266","4168","4104","330"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2023","112","197","61","248"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2023","13","50","39","24"
"National Credit Union Administration","Agency Overall","2023","6","159","153","12"
"National Council on Disability","Agency Overall","2023","0","8","5","3"
"Council on Environmental Quality","Agency Overall","2023","45","122","132","35"
"Federal Permitting Improvement Steering Council","Agency Overall","2023","1","12","13","0"
"Surface Transportation Board","Agency Overall","2023","6","116","109","13"
"Social Security Advisory Board","Agency Overall","2023","0","21","19","2"
"Selective Service System","Agency Overall","2023","0","49","49","0"
"American Battle Monuments Commission","Agency Overall","2023","0","27","27","0"
"U.S. Commission for the Preservation of America’s Heritage Abroad","Agency Overall","2023","0","26","18","8"
"United States Institute of Peace","Agency Overall","2023","2","18","3","17"
"United States International Boundary and Water Commission","Agency Overall","2023","31","51","26","56"
"United States Copyright Office","Agency Overall","2023","7","47","40","14"
"U.S. Railroad Retirement Board","Agency Overall","2023","2","80","74","8"
"National Labor Relations Board","Agency Overall","2023","95","2198","2236","57"
"National Capital Planning Commission","Agency Overall","2023","0","26","26","0"
"U.S. Commission on Civil Rights","Agency Overall","2023","0","58","50","8"
"Federal Deposit Insurance Corporation","Agency Overall","2023","37","826","685","178"
