"Agency","Component","Fiscal Year","Ex. 1","Ex. 2","Ex. 3","Ex. 4","Ex. 5","Ex. 6","Ex. 7(A)","Ex. 7(B)","Ex. 7(C)","Ex. 7(D)","Ex. 7(E)","Ex. 7(F)","Ex. 8","Ex. 9"
"Federal Reserve System","Agency Overall","2023","0","0","0","1","3","2","1","0","0","0","0","0","1","0"
"Federal Mediation and Conciliation Service","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Commodity Futures Trading Commission","Agency Overall","2023","0","0","1","2","2","2","4","0","1","0","0","0","1","0"
"Consumer Product Safety Commission","Agency Overall","2023","0","0","0","0","1","0","5","0","0","0","1","0","0","0"
"Administrative Conference of the United States","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Farm Credit Administration","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Nuclear Regulatory Commission","Agency Overall","2023","0","0","0","0","1","1","1","0","3","1","1","1","0","0"
"National Transportation Safety Board","Agency Overall","2023","0","0","1","0","5","3","0","0","0","0","0","0","0","0"
"Department of Veterans Affairs","Agency Overall","2023","1","0","7","0","8","27","2","0","7","0","5","0","0","0"
"Department of Homeland Security","Agency Overall","2023","1","20","491","30","293","1593","12","3","1838","2","1793","4","0","0"
"Office of Management and Budget","Agency Overall","2023","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"Social Security Administration","Agency Overall","2023","0","1","0","0","5","433","0","0","0","0","0","0","0","0"
"U.S. Election Assistance Commission","Agency Overall","2023","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"Office of Personnel Management","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Indian Gaming Commission","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Peace Corps","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Court Services and Offender Supervision Agency","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of National Drug Control Policy","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Energy","Agency Overall","2023","0","0","1","4","6","4","0","0","0","0","0","0","0","0"
"National Endowment for the Humanities","Agency Overall","2023","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"National Railroad Passenger Corporation","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Occupational Safety and Health Review Commission","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Institute of Museum and Library Services","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Science Foundation","Agency Overall","2023","0","1","0","0","1","2","0","0","1","0","0","0","0","0"
"Department of Commerce","Agency Overall","2023","0","1","1","0","5","3","1","0","1","0","0","0","0","0"
"Department of Defense","Agency Overall","2023","122","4","143","10","56","157","9","3","64","8","31","6","0","0"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of the Interior","Agency Overall","2023","0","0","2","5","28","13","4","0","10","0","0","1","0","0"
"National Archives and Records Administration","Agency Overall","2023","2","0","2","0","0","1","0","0","1","1","0","0","0","0"
"Department of Labor","Agency Overall","2023","0","0","0","2","4","4","14","0","13","5","1","0","0","0"
"U.S. Interagency Council on Homelessness","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of Science and Technology Policy","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Advisory Council on Historic Preservation","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"U.S. International Development Finance Corporation","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of Special Counsel","Agency Overall","2023","0","2","0","1","4","6","0","0","6","0","1","0","0","0"
"Federal Open Market Committee","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Agriculture","Agency Overall","2023","0","0","8","11","28","36","3","0","9","1","4","0","0","0"
"Environmental Protection Agency","Agency Overall","2023","0","0","2","4","20","22","3","0","4","0","1","0","0","0"
"Millennium Challenge Corporation","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Appraisal Subcommittee","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Maritime Commission","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Farm Credit System Insurance Corporation","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"General Services Administration","Agency Overall","2023","0","0","1","3","19","24","1","0","3","0","0","0","0","0"
"Federal Financial Institutions Examination Council","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Defense Nuclear Facilities Safety Board","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Neighborhood Reinvestment Corporation","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Inter-American Foundation","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Export-Import Bank of the U.S.","Agency Overall","2023","0","0","0","2","2","2","0","0","0","0","0","0","0","0"
"Office of the United States Trade Representative","Agency Overall","2023","0","0","0","0","1","1","0","0","0","0","0","0","0","0"
"Central Intelligence Agency","Agency Overall","2023","66","0","70","0","2","5","0","0","0","0","0","0","0","0"
"U.S. Department of State","Agency Overall","2023","10","0","264","0","61","73","0","0","63","4","62","1","0","0"
