"Agency","Component","Fiscal Year","Number of Consultations Received from Other Agencies that were Pending at the Agency as of Start of the Fiscal Year","Number of Consultations Received from Other Agencies During the Fiscal Year","Number of Consultations Received from Other Agencies that were Processed by the Agency During the Fiscal Year","Number of Consultations Received from Other Agencies that were Pending at the Agency as of End of the Fiscal Year"
"Federal Reserve System","Agency Overall","2023","0","10","7","3"
"Federal Mediation and Conciliation Service","Agency Overall","2023","0","6","5","1"
"Commodity Futures Trading Commission","Agency Overall","2023","0","5","5","0"
"Consumer Product Safety Commission","Agency Overall","2023","0","1","0","1"
"Administrative Conference of the United States","Agency Overall","2023","0","1","1","0"
"Farm Credit Administration","Agency Overall","2023","0","2","2","0"
"Nuclear Regulatory Commission","Agency Overall","2023","2","8","10","0"
"National Transportation Safety Board","Agency Overall","2023","0","0","0","0"
"Department of Veterans Affairs","Agency Overall","2023","5","35","36","4"
"Department of Homeland Security","Agency Overall","2023","311","793","689","415"
"Office of Management and Budget","Agency Overall","2023","14","274","277","11"
"Social Security Administration","Agency Overall","2023","1","15","15","1"
"U.S. Election Assistance Commission","Agency Overall","2023","0","1","0","1"
"Office of Personnel Management","Agency Overall","2023","1","23","21","3"
"National Indian Gaming Commission","Agency Overall","2023","0","0","0","0"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2023","0","1","0","1"
"Peace Corps","Agency Overall","2023","0","1","0","1"
"Court Services and Offender Supervision Agency","Agency Overall","2023","0","0","0","0"
"Office of National Drug Control Policy","Agency Overall","2023","1","4","5","0"
"Department of Energy","Agency Overall","2023","178","189","194","173"
"National Endowment for the Humanities","Agency Overall","2023","0","3","3","0"
"National Railroad Passenger Corporation","Agency Overall","2023","0","0","0","0"
"Occupational Safety and Health Review Commission","Agency Overall","2023","0","3","3","0"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2023","0","0","0","0"
"Institute of Museum and Library Services","Agency Overall","2023","0","4","4","0"
"National Science Foundation","Agency Overall","2023","3","13","13","3"
"Department of Commerce","Agency Overall","2023","44","138","132","50"
"Department of Defense","Agency Overall","2023","1222","1622","1572","1272"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2023","0","2","2","0"
"Department of the Interior","Agency Overall","2023","12","90","77","25"
"National Archives and Records Administration","Agency Overall","2023","0","27","25","2"
"Department of Labor","Agency Overall","2023","7","75","75","7"
"U.S. Interagency Council on Homelessness","Agency Overall","2023","0","0","0","0"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2023","0","0","0","0"
"Office of Science and Technology Policy","Agency Overall","2023","0","67","67","0"
"Advisory Council on Historic Preservation","Agency Overall","2023","0","0","0","0"
"U.S. International Development Finance Corporation","Agency Overall","2023","0","13","13","0"
"Office of Special Counsel","Agency Overall","2023","0","4","4","0"
"Federal Open Market Committee","Agency Overall","2023","0","0","0","0"
"Department of Agriculture","Agency Overall","2023","18","176","183","11"
"Environmental Protection Agency","Agency Overall","2023","6","81","83","4"
"Millennium Challenge Corporation","Agency Overall","2023","0","4","4","0"
"Appraisal Subcommittee","Agency Overall","2023","0","0","0","0"
"Federal Maritime Commission","Agency Overall","2023","1","2","3","0"
"Farm Credit System Insurance Corporation","Agency Overall","2023","0","0","0","0"
"General Services Administration","Agency Overall","2023","0","81","74","7"
"Federal Financial Institutions Examination Council","Agency Overall","2023","0","0","0","0"
"Defense Nuclear Facilities Safety Board","Agency Overall","2023","0","3","3","0"
"Neighborhood Reinvestment Corporation","Agency Overall","2023","0","0","0","0"
"Inter-American Foundation","Agency Overall","2023","0","2","2","0"
"Export-Import Bank of the U.S.","Agency Overall","2023","1","10","10","1"
"Office of the United States Trade Representative","Agency Overall","2023","0","39","39","0"
"Central Intelligence Agency","Agency Overall","2023","198","320","227","291"
"U.S. Department of State","Agency Overall","2023","210","241","207","244"
"Federal Election Commission","Agency Overall","2023","0","0","0","0"
"United States Trade and Development Agency","Agency Overall","2023","0","2","2","0"
"Merit Systems Protection Board","Agency Overall","2023","0","3","3","0"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2023","0","0","0","0"
"Federal Retirement Thrift Investment Board","Agency Overall","2023","0","2","2","0"
"Legal Services Corporation","Agency Overall","2023","0","0","0","0"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2023","0","5","5","0"
"United States Postal Service","Agency Overall","2023","1","42","42","1"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2023","0","0","0","0"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2023","0","1","1","0"
"National Credit Union Administration","Agency Overall","2023","0","2","2","0"
"National Council on Disability","Agency Overall","2023","0","0","0","0"
"Council on Environmental Quality","Agency Overall","2023","1","85","86","0"
"Federal Permitting Improvement Steering Council","Agency Overall","2023","0","7","7","0"
"Surface Transportation Board","Agency Overall","2023","0","2","2","0"
"Social Security Advisory Board","Agency Overall","2023","0","0","0","0"
"Selective Service System","Agency Overall","2023","0","1","1","0"
"American Battle Monuments Commission","Agency Overall","2023","0","0","0","0"
"U.S. Commission for the Preservation of America’s Heritage Abroad","Agency Overall","2023","0","0","0","0"
"United States Institute of Peace","Agency Overall","2023","0","0","0","0"
"United States International Boundary and Water Commission","Agency Overall","2023","0","2","2","0"
"United States Copyright Office","Agency Overall","2023","0","0","0","0"
"U.S. Railroad Retirement Board","Agency Overall","2023","0","3","3","0"
"National Labor Relations Board","Agency Overall","2023","0","6","6","0"
"National Capital Planning Commission","Agency Overall","2023","0","1","1","0"
"U.S. Commission on Civil Rights","Agency Overall","2023","0","0","0","0"
"Federal Deposit Insurance Corporation","Agency Overall","2023","1","14","8","7"
"United States International Trade Commission","Agency Overall","2023","0","1","1","0"
"Equal Employment Opportunity Commission","Agency Overall","2023","0","0","0","0"
"Department of Transportation","Agency Overall","2023","42","96","89","49"
"Department of Justice","Agency Overall","2023","663","1760","1619","804"
"National Aeronautics and Space Administration","Agency Overall","2023","1","31","31","1"
"United States African Development Foundation","Agency Overall","2023","0","0","0","0"
"Denali Commission","Agency Overall","2023","0","0","0","0"
"Pension Benefit Guaranty Corporation","Agency Overall","2023","0","5","5","0"
"Postal Regulatory Commission","Agency Overall","2023","0","0","0","0"
"National Mediation Board","Agency Overall","2023","0","0","0","0"
"U.S. Agency for International Development","Agency Overall","2023","15","56","63","8"
"Department of Health and Human Services","Agency Overall","2023","115","385","350","150"
"Harry S. Truman Scholarship Foundation","Agency Overall","2023","0","0","0","0"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2023","0","0","0","0"
"Federal Mine Safety and Health Review Commission","Agency Overall","2023","0","1","1","0"
"Department of Education","Agency Overall","2023","3","21","24","0"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2023","0","5","5","0"
"Department of Housing and Urban Development","Agency Overall","2023","1","49","47","3"
"Tennessee Valley Authority","Agency Overall","2023","0","7","7","0"
"Department of the Treasury","Agency Overall","2023","41","251","251","41"
"Marine Mammal Commission","Agency Overall","2023","0","3","3","0"
"Securities and Exchange Commission","Agency Overall","2023","4","17","18","3"
"Federal Trade Commission","Agency Overall","2023","0","5","5","0"
"Consumer Financial Protection Bureau","Agency Overall","2023","1","13","14","0"
"James Madison Memorial Fellowship Foundation","Agency Overall","2023","0","0","0","0"
"Office of the National Cyber Director","Agency Overall","2023","0","0","0","0"
"Armed Forces Retirement Home","Agency Overall","2023","0","0","0","0"
"United States Access Board","Agency Overall","2023","0","2","2","0"
"National Endowment for the Arts","Agency Overall","2023","0","4","4","0"
"Commission of Fine Arts","Agency Overall","2023","0","1","1","0"
"Office of the Director of National Intelligence","Agency Overall","2023","17","97","92","22"
"Federal Communications Commission","Agency Overall","2023","2","15","17","0"
"Federal Energy Regulatory Commission","Agency Overall","2023","0","6","6","0"
"Federal Labor Relations Authority","Agency Overall","2023","0","2","0","2"
"Office of the Intellectual Property Enforcement Coordinator","Agency Overall","2023","0","1","1","0"
"Small Business Administration","Agency Overall","2023","0","8","8","0"
"U.S. Agency for Global Media","Agency Overall","2023","0","2","1","1"
"Presidio Trust","Agency Overall","2023","0","1","1","0"
"Federal Housing Finance Agency","Agency Overall","2023","0","0","0","0"
"Office of Government Ethics","Agency Overall","2023","1","19","20","0"
