"Agency","Component","Fiscal Year","Date","10th Oldest Number of Days Pending","Date","9th Oldest Number of Days Pending","Date","8th Oldest Number of Days Pending","Date","7th Oldest Number of Days Pending","Date","6th Oldest Number of Days Pending","Date","5th Oldest Number of Days Pending","Date","4th Oldest Number of Days Pending","Date","3rd Oldest Number of Days Pending","Date","2nd Oldest Number of Days Pending","Date","Oldest Number of Days Pending"
"Federal Reserve System","Agency Overall","2023","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2023-07-24","48","2023-06-01","83","2023-04-10","120"
"Federal Mediation and Conciliation Service","Agency Overall","2023","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Commodity Futures Trading Commission","Agency Overall","2023","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Consumer Product Safety Commission","Agency Overall","2023","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Administrative Conference of the United States","Agency Overall","2023","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Farm Credit Administration","Agency Overall","2023","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Nuclear Regulatory Commission","Agency Overall","2023","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2023-04-13","117","2018-09-12","1259"
"National Transportation Safety Board","Agency Overall","2023","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Department of Veterans Affairs","Agency Overall","2023","2021-08-16","533","2021-07-28","546","2021-07-09","559","2021-06-07","582","2021-05-13","598","2021-05-12","599","2021-04-15","618","2021-04-05","626","2021-03-03","649","2019-05-22","1093"
"Department of Homeland Security","Agency Overall","2023","2018-07-10","1305","2018-07-05","1311","2017-12-21","1442","2017-10-19","1486","2017-09-26","1504","2017-09-13","1505","2017-08-23","1526","2016-09-09","1752","2016-05-26","1836","2016-02-22","1905"
"Office of Management and Budget","Agency Overall","2023","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2023-02-28","151"
"Social Security Administration","Agency Overall","2023","2023-01-23","175","2022-12-19","197","2022-11-18","216","2022-09-26","252","2022-09-14","260","2022-09-07","265","2022-07-13","304","2022-07-01","311","2021-09-23","502","2021-09-15","508"
"U.S. Election Assistance Commission","Agency Overall","2023","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Office of Personnel Management","Agency Overall","2023","N/A","0","N/A","0","2023-09-22","6","2023-04-06","123","2023-03-17","137","2023-02-27","151","2022-11-02","226","2022-10-06","244","2022-09-23","253","2022-04-11","368"
"National Indian Gaming Commission","Agency Overall","2023","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2023","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Peace Corps","Agency Overall","2023","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Court Services and Offender Supervision Agency","Agency Overall","2023","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Office of National Drug Control Policy","Agency Overall","2023","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Department of Energy","Agency Overall","2023","2019-09-26","994","2019-08-08","1028","2018-11-20","1205","2016-06-21","1806","2015-04-20","2100","2014-12-08","2191","2013-11-15","2453","2013-10-16","2474","2013-10-10","2477","2012-07-03","2795"
"National Endowment for the Humanities","Agency Overall","2023","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"National Railroad Passenger Corporation","Agency Overall","2023","2022-06-01","336","2020-10-08","750","2020-06-15","831","2019-10-16","996","2019-07-30","1050","2019-06-18","1080","2019-02-11","1169","2018-12-21","1201","2018-04-19","1372","2017-03-28","1939"
"Occupational Safety and Health Review Commission","Agency Overall","2023","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2023","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Institute of Museum and Library Services","Agency Overall","2023","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"National Science Foundation","Agency Overall","2023","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Department of Commerce","Agency Overall","2023","2016-11-17","1722","2016-11-02","1732","2016-10-17","1744","2015-10-15","1996","2015-02-24","2159","2014-08-15","2288","2014-02-11","2418","2013-04-26","2616","2013-01-28","2679","2012-11-02","2735"
"Department of Defense","Agency Overall","2023","2014-02-18","2410","2014-01-24","2426","2014-01-16","2431","2013-06-20","2574","2013-06-10","2582","2013-06-03","2587","2013-05-20","2596","2013-02-14","2661","2012-05-02","2857","2011-10-04","3001"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2023","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Department of the Interior","Agency Overall","2023","2018-03-26","1380","2018-03-26","1380","2018-03-23","1381","2018-03-07","1393","2018-02-16","1405","2018-02-12","1409","2018-02-09","1410","2018-01-29","1419","2017-10-24","1483","2017-10-16","1489"
"National Archives and Records Administration","Agency Overall","2023","2015-06-24","2048","2015-06-03","2063","2015-01-06","2084","2015-01-06","2165","2014-10-06","2223","2014-08-26","2251","2014-04-24","2337","2014-03-14","2365","2013-07-12","2529","2012-10-26","2703"
"Department of Labor","Agency Overall","2023","2018-06-01","1338","2018-04-30","1361","2018-04-30","1361","2018-04-30","1361","2018-04-30","1361","2018-04-10","1375","2018-03-16","1392","2018-03-16","1392","2017-12-22","1448","2017-12-13","1455"
"U.S. Interagency Council on Homelessness","Agency Overall","2023","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2023","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Office of Science and Technology Policy","Agency Overall","2023","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Advisory Council on Historic Preservation","Agency Overall","2023","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"U.S. International Development Finance Corporation","Agency Overall","2023","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Office of Special Counsel","Agency Overall","2023","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2023-09-05","18","2023-08-11","34"
"Federal Open Market Committee","Agency Overall","2023","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Department of Agriculture","Agency Overall","2023","2019-10-24","983","2019-10-11","991","2019-10-09","993","2019-10-04","996","2019-09-26","1002","2019-08-26","1024","2019-07-15","1054","2019-06-13","1075","2019-04-29","1107","2018-11-02","1226"
"Environmental Protection Agency","Agency Overall","2023","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2023-09-22","5","2023-09-15","10","2023-09-08","15","2023-09-06","17"
"Millennium Challenge Corporation","Agency Overall","2023","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Appraisal Subcommittee","Agency Overall","2023","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Federal Maritime Commission","Agency Overall","2023","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Farm Credit System Insurance Corporation","Agency Overall","2023","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"General Services Administration","Agency Overall","2023","n/a","0","n/a","0","2023-09-28","1","2023-08-04","39","2023-02-27","150","2023-02-14","158","2022-12-06","205","2022-10-18","238","2022-10-18","238","2021-02-18","655"
"Federal Financial Institutions Examination Council","Agency Overall","2023","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Defense Nuclear Facilities Safety Board","Agency Overall","2023","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Neighborhood Reinvestment Corporation","Agency Overall","2023","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Inter-American Foundation","Agency Overall","2023","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
