"Agency","Component","Fiscal Year","Ex. 1","Ex. 2","Ex. 3","Ex. 4","Ex. 5","Ex. 6","Ex. 7(A)","Ex. 7(B)","Ex. 7(C)","Ex. 7(D)","Ex. 7(E)","Ex. 7(F)","Ex. 8","Ex. 9"
"Federal Reserve System","Agency Overall","2023","0","0","2","28","43","49","2","1","8","0","5","0","41","0"
"Federal Mediation and Conciliation Service","Agency Overall","2023","0","0","0","7","6","12","0","0","0","0","0","0","0","0"
"Commodity Futures Trading Commission","Agency Overall","2023","0","0","15","16","15","34","21","0","6","0","7","0","8","0"
"Consumer Product Safety Commission","Agency Overall","2023","0","0","103","63","56","128","100","0","6","1","2","0","0","0"
"Administrative Conference of the United States","Agency Overall","2023","0","1","0","0","0","2","0","0","0","0","0","0","0","0"
"Farm Credit Administration","Agency Overall","2023","0","0","0","0","1","17","0","0","3","0","0","0","0","0"
"Nuclear Regulatory Commission","Agency Overall","2023","0","0","4","7","16","29","3","0","21","1","6","20","0","0"
"National Transportation Safety Board","Agency Overall","2023","0","0","17","33","224","94","85","0","0","0","0","0","0","0"
"Department of Veterans Affairs","Agency Overall","2023","7","289","3774","240","3288","54657","142","24","2501","18","48","23","6","4"
"Department of Homeland Security","Agency Overall","2023","5","458","51440","409","43326","195484","287","17","220272","38","201589","72","0","0"
"Office of Management and Budget","Agency Overall","2023","0","0","0","0","41","49","0","0","0","0","1","0","0","0"
"Social Security Administration","Agency Overall","2023","0","19","0","3","16","1998","3","0","20","1","12","1","0","0"
"U.S. Election Assistance Commission","Agency Overall","2023","0","0","0","74","0","77","0","0","0","0","0","0","0","0"
"Office of Personnel Management","Agency Overall","2023","0","5","1","11","15","138","0","0","15","1","8","1","0","0"
"National Indian Gaming Commission","Agency Overall","2023","0","0","0","7","3","3","0","0","4","0","0","0","0","0"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2023","0","0","0","0","2","15","4","0","12","3","0","0","0","0"
"Peace Corps","Agency Overall","2023","0","3","0","7","28","68","3","0","29","3","4","1","0","0"
"Court Services and Offender Supervision Agency","Agency Overall","2023","0","0","1","2","4","124","0","0","118","0","117","0","0","0"
"Office of National Drug Control Policy","Agency Overall","2023","1","0","0","0","5","8","1","0","2","0","2","0","0","0"
"Department of Energy","Agency Overall","2023","0","2","40","143","95","289","4","0","44","2","37","28","0","2"
"National Endowment for the Humanities","Agency Overall","2023","0","0","0","10","1","11","0","0","0","0","0","0","0","0"
"National Railroad Passenger Corporation","Agency Overall","2023","4","12","0","84","48","80","4","0","19","0","2","4","0","0"
"Occupational Safety and Health Review Commission","Agency Overall","2023","0","0","0","4","2","17","0","0","1","0","0","0","0","0"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Institute of Museum and Library Services","Agency Overall","2023","0","0","0","0","0","13","0","0","0","0","0","0","0","0"
"National Science Foundation","Agency Overall","2023","0","0","3","81","7","94","0","0","3","0","0","0","0","0"
"Department of Commerce","Agency Overall","2023","3","5","97","82","127","256","22","0","64","1","22","3","0","0"
