"Agency","Component","Fiscal Year","<1-20 Days","21-40 Days","41-60 Days","61-80 Days","81-100 Days","101-120 Days","121-140 Days","141-160 Days","161-180 Days","181-200 Days","201-300 Days","301-400 Days","401+ Days","Total"
"Federal Reserve System","Agency Overall","2023","123","7","0","0","0","0","0","0","0","0","0","0","0","130"
"Federal Mediation and Conciliation Service","Agency Overall","2023","36","11","0","0","0","0","0","0","0","0","0","0","0","47"
"Commodity Futures Trading Commission","Agency Overall","2023","92","1","1","0","0","0","0","0","0","0","0","0","0","94"
"Consumer Product Safety Commission","Agency Overall","2023","67","9","2","6","1","0","1","0","0","0","0","4","26","116"
"Administrative Conference of the United States","Agency Overall","2023","43","0","0","0","0","0","0","0","0","0","0","0","0","43"
"Farm Credit Administration","Agency Overall","2023","48","0","0","0","0","0","0","0","0","0","0","0","0","48"
"Nuclear Regulatory Commission","Agency Overall","2023","93","24","6","3","2","0","0","0","0","0","0","0","0","128"
"National Transportation Safety Board","Agency Overall","2023","227","34","8","6","5","3","3","3","0","5","18","8","1","321"
"Department of Veterans Affairs","Agency Overall","2023","46278","2373","839","530","1525","5411","1780","85","39","36","68","52","152","59168"
"Department of Homeland Security","Agency Overall","2023","19123","52","0","0","0","0","0","0","0","0","0","0","0","19175"
"Office of Management and Budget","Agency Overall","2023","34","11","12","6","10","6","2","6","3","1","12","6","84","193"
"Social Security Administration","Agency Overall","2023","6489","1781","230","44","162","462","372","125","29","10","6","0","0","9710"
"U.S. Election Assistance Commission","Agency Overall","2023","12","1","0","0","0","0","0","0","0","0","1","74","2","90"
"Office of Personnel Management","Agency Overall","2023","322","50","28","22","16","9","4","12","4","5","19","7","5","503"
"National Indian Gaming Commission","Agency Overall","2023","36","1","0","0","0","0","0","0","0","0","0","0","0","37"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2023","1","4","0","0","0","0","0","0","0","0","0","0","0","5"
"Peace Corps","Agency Overall","2023","37","23","5","1","3","1","3","1","4","0","5","6","5","94"
"Court Services and Offender Supervision Agency","Agency Overall","2023","163","0","0","0","0","0","0","0","0","0","0","0","0","163"
"Office of National Drug Control Policy","Agency Overall","2023","31","0","0","0","0","0","0","0","0","0","0","0","0","31"
"Department of Energy","Agency Overall","2023","568","199","86","46","29","18","14","9","6","6","17","1","10","1009"
"National Endowment for the Humanities","Agency Overall","2023","24","0","0","0","0","0","0","0","0","0","0","0","0","24"
"National Railroad Passenger Corporation","Agency Overall","2023","204","28","20","10","6","8","6","5","5","5","20","18","11","346"
"Occupational Safety and Health Review Commission","Agency Overall","2023","128","0","0","0","0","0","0","0","0","0","0","0","0","128"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Institute of Museum and Library Services","Agency Overall","2023","17","3","0","0","0","0","0","0","0","0","0","0","0","20"
"National Science Foundation","Agency Overall","2023","29","2","7","3","4","0","1","2","0","0","2","1","4","55"
