"Agency","Component","Fiscal Year","Number of Backlogged Requests as of End of Fiscal Year","Number of Backlogged Appeals as of End of Fiscal Year"
"Federal Reserve System","Agency Overall","2023","36","3"
"Federal Mediation and Conciliation Service","Agency Overall","2023","0","0"
"Commodity Futures Trading Commission","Agency Overall","2023","4","0"
"Consumer Product Safety Commission","Agency Overall","2023","197","0"
"Administrative Conference of the United States","Agency Overall","2023","0","0"
"Farm Credit Administration","Agency Overall","2023","0","0"
"Nuclear Regulatory Commission","Agency Overall","2023","96","2"
"National Transportation Safety Board","Agency Overall","2023","97","0"
"Department of Veterans Affairs","Agency Overall","2023","780","325"
"Department of Homeland Security","Agency Overall","2023","63883","502"
"Office of Management and Budget","Agency Overall","2023","526","1"
"Social Security Administration","Agency Overall","2023","251","47"
"U.S. Election Assistance Commission","Agency Overall","2023","166","0"
"Office of Personnel Management","Agency Overall","2023","98","7"
"National Indian Gaming Commission","Agency Overall","2023","5","0"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2023","11","0"
"Peace Corps","Agency Overall","2023","63","0"
"Court Services and Offender Supervision Agency","Agency Overall","2023","0","0"
"Office of National Drug Control Policy","Agency Overall","2023","5","0"
"Department of Energy","Agency Overall","2023","871","12"
"National Endowment for the Humanities","Agency Overall","2023","7","0"
"National Railroad Passenger Corporation","Agency Overall","2023","159","20"
"Occupational Safety and Health Review Commission","Agency Overall","2023","1","0"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2023","3","0"
"Institute of Museum and Library Services","Agency Overall","2023","0","0"
"National Science Foundation","Agency Overall","2023","644","0"
"Department of Commerce","Agency Overall","2023","1083","235"
"Department of Defense","Agency Overall","2023","19882","736"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2023","1","0"
"Department of the Interior","Agency Overall","2023","4320","217"
"National Archives and Records Administration","Agency Overall","2023","6410","224"
"Department of Labor","Agency Overall","2023","1468","286"
"U.S. Interagency Council on Homelessness","Agency Overall","2023","0","0"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2023","1","0"
"Office of Science and Technology Policy","Agency Overall","2023","172","0"
"Advisory Council on Historic Preservation","Agency Overall","2023","15","0"
"U.S. International Development Finance Corporation","Agency Overall","2023","66","0"
"Office of Special Counsel","Agency Overall","2023","20","1"
"Federal Open Market Committee","Agency Overall","2023","0","0"
"Department of Agriculture","Agency Overall","2023","1972","148"
"Environmental Protection Agency","Agency Overall","2023","1318","0"
"Millennium Challenge Corporation","Agency Overall","2023","8","0"
"Appraisal Subcommittee","Agency Overall","2023","0","0"
"Federal Maritime Commission","Agency Overall","2023","7","0"
"Farm Credit System Insurance Corporation","Agency Overall","2023","0","0"
"General Services Administration","Agency Overall","2023","396","7"
"Federal Financial Institutions Examination Council","Agency Overall","2023","1","0"
"Defense Nuclear Facilities Safety Board","Agency Overall","2023","2","0"
"Neighborhood Reinvestment Corporation","Agency Overall","2023","7","0"
"Inter-American Foundation","Agency Overall","2023","2","0"
"Export-Import Bank of the U.S.","Agency Overall","2023","22","0"
"Office of the United States Trade Representative","Agency Overall","2023","6","0"
"Central Intelligence Agency","Agency Overall","2023","3844","345"
