"Agency","Component","Fiscal Year","Number of Full Grants","Number of Partial Grants/Partial Denials","Number of Full Denials Based on Exemptions","No Records","All Records Referred to Another Component or Agency","Request Withdrawn","Fee-Related Reason","Records Not Reasonably Described","Improper FOIA Request for Other Reason","Not Agency Record","Duplicate Request","Other*","Total"
"Federal Reserve System","Agency Overall","2023","233","67","43","109","4","26","5","16","143","56","22","15","739"
"Federal Mediation and Conciliation Service","Agency Overall","2023","14","13","3","15","0","3","0","0","1","0","0","0","49"
"Commodity Futures Trading Commission","Agency Overall","2023","53","47","16","35","4","0","0","64","38","7","5","22","291"
"Consumer Product Safety Commission","Agency Overall","2023","174","175","107","71","20","216","4","21","23","15","18","0","844"
"Administrative Conference of the United States","Agency Overall","2023","8","5","0","29","0","1","0","0","0","0","0","0","43"
"Farm Credit Administration","Agency Overall","2023","17","17","0","12","0","2","0","0","0","0","0","0","48"
"Nuclear Regulatory Commission","Agency Overall","2023","45","61","9","23","1","19","17","11","7","7","5","2","207"
"National Transportation Safety Board","Agency Overall","2023","34","95","188","122","1","33","0","3","100","0","25","0","601"
"Department of Veterans Affairs","Agency Overall","2023","7301","52477","4042","1380","239","323","248","2121","413","33","628","3198","72403"
"Department of Homeland Security","Agency Overall","2023","37713","245237","13039","180467","13154","3584","143","1341","53797","12892","18068","770","580205"
"Office of Management and Budget","Agency Overall","2023","22","52","3","69","4","100","0","16","0","92","4","0","362"
"Social Security Administration","Agency Overall","2023","4694","1995","1651","724","153","34","760","81","113","34","66","0","10305"
"U.S. Election Assistance Commission","Agency Overall","2023","7","77","0","6","0","1","0","0","0","0","0","0","91"
"Office of Personnel Management","Agency Overall","2023","80","135","16","85","8","56","5","16","20","156","9","0","586"
"National Indian Gaming Commission","Agency Overall","2023","17","7","3","12","0","6","0","0","0","0","0","0","45"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2023","4","15","1","6","0","0","0","0","0","0","0","0","26"
"Peace Corps","Agency Overall","2023","42","70","2","31","7","8","0","12","111","7","11","0","301"
"Court Services and Offender Supervision Agency","Agency Overall","2023","16","126","0","146","0","12","0","3","36","0","3","0","342"
"Office of National Drug Control Policy","Agency Overall","2023","5","10","1","19","0","1","0","0","0","0","0","0","36"
"Department of Energy","Agency Overall","2023","349","364","32","597","97","191","15","34","37","34","40","0","1790"
"National Endowment for the Humanities","Agency Overall","2023","3","10","1","12","0","3","0","1","0","0","0","0","30"
"National Railroad Passenger Corporation","Agency Overall","2023","150","85","101","63","18","86","0","26","6","6","9","0","550"
"Occupational Safety and Health Review Commission","Agency Overall","2023","22","18","0","13","0","84","0","0","0","0","0","0","137"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2023","45","1","0","0","0","0","0","0","0","0","0","0","46"
"Institute of Museum and Library Services","Agency Overall","2023","5","13","0","2","0","1","0","10","3","7","0","0","41"
"National Science Foundation","Agency Overall","2023","18","97","3","10","10","14","1","2","3","0","0","0","158"
"Department of Commerce","Agency Overall","2023","442","290","88","266","53","200","81","84","206","194","105","84","2093"
"Department of Defense","Agency Overall","2023","14933","17148","2764","7370","2274","2642","253","1021","1924","2123","1827","1452","55731"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2023","3","2","0","6","0","6","0","2","0","0","0","0","19"
"Department of the Interior","Agency Overall","2023","1666","1736","161","1013","284","652","108","168","626","85","283","606","7388"
"National Archives and Records Administration","Agency Overall","2023","899","54428","26","6806","124","3006","23","246","147","77","78","204","66064"
"Department of Labor","Agency Overall","2023","2493","4641","1857","2673","232","604","356","400","154","181","628","0","14219"
"U.S. Interagency Council on Homelessness","Agency Overall","2023","1","0","0","0","0","0","0","0","0","0","0","0","1"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2023","27","0","0","0","0","0","0","0","0","0","0","0","27"
"Office of Science and Technology Policy","Agency Overall","2023","4","29","1","11","0","0","0","0","0","0","0","0","45"
"Advisory Council on Historic Preservation","Agency Overall","2023","12","0","0","0","0","0","0","0","0","0","0","0","12"
"U.S. International Development Finance Corporation","Agency Overall","2023","2","17","0","9","0","1","0","1","0","0","0","0","30"
"Office of Special Counsel","Agency Overall","2023","15","41","9","15","4","13","0","0","0","5","1","0","103"
"Federal Open Market Committee","Agency Overall","2023","3","4","0","1","3","0","0","0","4","5","0","0","20"
"Department of Agriculture","Agency Overall","2023","10931","2284","228","1057","170","613","46","150","173","51","450","89","16242"
"Environmental Protection Agency","Agency Overall","2023","2149","1139","51","1145","8","681","101","125","1176","32","141","29","6777"
"Millennium Challenge Corporation","Agency Overall","2023","12","13","6","9","0","0","0","6","0","0","0","0","46"
"Appraisal Subcommittee","Agency Overall","2023","4","0","1","14","0","1","0","5","0","3","1","0","29"
"Federal Maritime Commission","Agency Overall","2023","13","8","2","15","0","0","0","1","0","0","0","0","39"
"Farm Credit System Insurance Corporation","Agency Overall","2023","3","14","0","4","0","2","0","1","0","0","0","0","24"
"General Services Administration","Agency Overall","2023","216","349","15","84","1","105","59","63","16","568","34","0","1510"
"Federal Financial Institutions Examination Council","Agency Overall","2023","3","1","0","13","0","0","0","0","1","0","0","0","18"
"Defense Nuclear Facilities Safety Board","Agency Overall","2023","5","3","0","6","1","1","0","2","15","3","1","0","37"
"Neighborhood Reinvestment Corporation","Agency Overall","2023","8","3","0","1","0","0","0","2","2","0","0","0","16"
"Inter-American Foundation","Agency Overall","2023","4","3","2","10","0","0","0","0","0","0","0","0","19"
"Export-Import Bank of the U.S.","Agency Overall","2023","16","35","5","20","0","4","0","14","0","0","0","0","94"
"Office of the United States Trade Representative","Agency Overall","2023","8","26","0","25","0","0","0","3","0","0","0","0","62"
"Central Intelligence Agency","Agency Overall","2023","79","184","534","125","13","10","3","207","352","2","33","25","1567"
"U.S. Department of State","Agency Overall","2023","372","5676","1767","2488","44","490","0","145","1182","155","257","0","12576"
"Federal Election Commission","Agency Overall","2023","19","13","9","42","0","2","0","3","0","0","0","0","88"
"United States Trade and Development Agency","Agency Overall","2023","22","2","5","20","0","0","0","1","2","0","2","26","80"
"Merit Systems Protection Board","Agency Overall","2023","44","35","4","46","0","8","0","26","2","0","2","0","167"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2023","1","1","0","2","0","0","0","1","0","1","0","0","6"
"Federal Retirement Thrift Investment Board","Agency Overall","2023","13","13","1","6","3","3","0","4","32","0","1","0","76"
"Legal Services Corporation","Agency Overall","2023","5","7","2","5","0","3","0","0","0","0","0","0","22"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2023","9","28","6","2","0","3","0","0","0","1","0","0","49"
"United States Postal Service","Agency Overall","2023","447","749","597","466","570","158","57","104","550","295","108","3","4104"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2023","0","0","0","17","0","1","0","41","2","0","0","0","61"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2023","0","2","0","22","0","0","0","2","13","0","0","0","39"
"National Credit Union Administration","Agency Overall","2023","41","58","12","26","0","7","0","6","0","1","2","0","153"
"National Council on Disability","Agency Overall","2023","3","0","0","2","0","0","0","0","0","0","0","0","5"
"Council on Environmental Quality","Agency Overall","2023","23","22","1","49","0","4","0","13","1","7","2","10","132"
"Federal Permitting Improvement Steering Council","Agency Overall","2023","1","7","0","1","0","0","0","2","0","2","0","0","13"
"Surface Transportation Board","Agency Overall","2023","10","4","1","82","0","2","2","3","2","1","2","0","109"
"Social Security Advisory Board","Agency Overall","2023","2","0","0","17","0","0","0","0","0","0","0","0","19"
"Selective Service System","Agency Overall","2023","42","4","0","3","0","0","0","0","0","0","0","0","49"
"American Battle Monuments Commission","Agency Overall","2023","9","0","1","12","0","0","0","4","1","0","0","0","27"
"U.S. Commission for the Preservation of America’s Heritage Abroad","Agency Overall","2023","0","0","0","3","0","10","0","0","5","0","0","0","18"
"United States Institute of Peace","Agency Overall","2023","0","0","1","1","0","0","0","1","0","0","0","0","3"
"United States International Boundary and Water Commission","Agency Overall","2023","9","6","1","2","1","0","0","1","1","5","0","0","26"
"United States Copyright Office","Agency Overall","2023","0","1","1","4","11","3","0","10","0","10","0","0","40"
"U.S. Railroad Retirement Board","Agency Overall","2023","42","0","10","22","0","0","0","0","0","0","0","0","74"
"National Labor Relations Board","Agency Overall","2023","310","1403","38","102","0","204","53","37","27","6","56","0","2236"
"National Capital Planning Commission","Agency Overall","2023","6","3","0","13","0","0","0","3","1","0","0","0","26"
"U.S. Commission on Civil Rights","Agency Overall","2023","14","0","0","24","4","7","0","1","0","0","0","0","50"
"Federal Deposit Insurance Corporation","Agency Overall","2023","54","83","38","53","2","20","13","144","51","217","10","0","685"
"United States International Trade Commission","Agency Overall","2023","3","9","1","9","1","1","0","3","0","0","0","0","27"
"Equal Employment Opportunity Commission","Agency Overall","2023","846","10285","1097","945","26","101","7","292","338","0","764","2","14703"
"Department of Transportation","Agency Overall","2023","6443","6470","124","1872","121","861","43","64","46","70","246","98","16458"
"Department of Justice","Agency Overall","2023","62264","11348","3572","29665","224","1564","144","1154","28249","410","3353","2118","144065"
"National Aeronautics and Space Administration","Agency Overall","2023","113","191","31","107","20","36","40","99","66","16","200","84","1003"
"United States African Development Foundation","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0"
