"Agency","Component","Fiscal Year","Date","10th Oldest Number of Days Pending","Date","9th Oldest Number of Days Pending","Date","8th Oldest Number of Days Pending","Date","7th Oldest Number of Days Pending","Date","6th Oldest Number of Days Pending","Date","5th Oldest Number of Days Pending","Date","4th Oldest Number of Days Pending","Date","3rd Oldest Number of Days Pending","Date","2nd Oldest Number of Days Pending","Date","Oldest Number of Days Pending"
"Federal Reserve System","Agency Overall","2023","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2023-09-27","2","2023-08-02","41","2023-07-10","58"
"Federal Mediation and Conciliation Service","Agency Overall","2023","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2023-09-28","1"
"Commodity Futures Trading Commission","Agency Overall","2023","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Consumer Product Safety Commission","Agency Overall","2023","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2023-01-10","182"
"Administrative Conference of the United States","Agency Overall","2023","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Farm Credit Administration","Agency Overall","2023","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Nuclear Regulatory Commission","Agency Overall","2023","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"National Transportation Safety Board","Agency Overall","2023","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Department of Veterans Affairs","Agency Overall","2023","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2023-08-25","24","2023-08-25","24","2023-07-12","56","2023-07-11","57","2021-11-08","475"
"Department of Homeland Security","Agency Overall","2023","2017-05-17","1595","2017-05-27","1595","2017-05-15","1597","2017-04-10","1622","2017-02-15","1659","2016-08-22","1779","2016-08-05","1790","2016-08-04","1791","2015-01-13","2184","2015-01-13","2184"
"Office of Management and Budget","Agency Overall","2023","2023-09-29","1","2023-09-29","1","2023-09-28","2","2023-09-27","3","2023-09-27","3","2023-09-22","6","2023-09-18","10","2023-09-12","14","2023-09-01","20","2023-08-15","33"
"Social Security Administration","Agency Overall","2023","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2023-06-13","109"
"U.S. Election Assistance Commission","Agency Overall","2023","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2022-12-02","207"
"Office of Personnel Management","Agency Overall","2023","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2023-09-27","2","2023-09-13","12","2023-09-13","12"
"National Indian Gaming Commission","Agency Overall","2023","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2023","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2023-08-08","38"
"Peace Corps","Agency Overall","2023","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2023-09-27","2"
"Court Services and Offender Supervision Agency","Agency Overall","2023","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Office of National Drug Control Policy","Agency Overall","2023","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Department of Energy","Agency Overall","2023","2021-04-01","651","2020-10-15","742","2020-04-15","869","2020-02-05","918","2019-08-06","1042","2018-09-10","1269","2018-05-31","1339","2018-05-07","1409","2017-07-24","1553","2015-09-29","2008"
"National Endowment for the Humanities","Agency Overall","2023","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"National Railroad Passenger Corporation","Agency Overall","2023","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Occupational Safety and Health Review Commission","Agency Overall","2023","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2023","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Institute of Museum and Library Services","Agency Overall","2023","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"National Science Foundation","Agency Overall","2023","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2023-09-27","3","2021-08-06","533"
"Department of Commerce","Agency Overall","2023","2021-09-25","511","2021-03-31","628","2021-03-26","631","2020-10-27","733","2020-08-31","770","2020-04-16","867","2019-04-01","1130","2019-03-29","1131","2019-03-01","1151","2019-02-28","1152"
"Department of Defense","Agency Overall","2023","2015-08-24","2028","2015-01-06","2188","2014-12-04","2209","2014-11-14","2222","2014-11-14","2222","2014-10-07","2248","2014-07-22","2302","2014-02-10","2415","2014-02-07","2416","2013-12-19","2449"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2023","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Department of the Interior","Agency Overall","2023","2022-11-21","216","2022-11-17","218","2022-11-02","228","2022-10-24","235","2022-08-08","288","2022-06-09","328","2022-05-10","349","2022-04-26","359","2022-03-29","379","2021-12-08","454"
"National Archives and Records Administration","Agency Overall","2023","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2023-09-12","14","2023-09-06","18"
"Department of Labor","Agency Overall","2023","N/A","0","N/A","0","N/A","0","2023-09-22","5","2023-09-18","9","2023-07-10","58","2023-01-20","175","2022-01-25","423","2019-07-18","1055","2019-04-25","1113"
"U.S. Interagency Council on Homelessness","Agency Overall","2023","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2023","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Office of Science and Technology Policy","Agency Overall","2023","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Advisory Council on Historic Preservation","Agency Overall","2023","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"U.S. International Development Finance Corporation","Agency Overall","2023","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Office of Special Counsel","Agency Overall","2023","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Federal Open Market Committee","Agency Overall","2023","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Department of Agriculture","Agency Overall","2023","2023-09-26","3","2023-09-20","7","2023-08-28","23","2023-07-27","45","2023-07-06","60","2023-06-20","71","2023-06-02","82","2023-03-07","144","2023-01-25","172","2022-11-03","226"
"Environmental Protection Agency","Agency Overall","2023","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Millennium Challenge Corporation","Agency Overall","2023","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Appraisal Subcommittee","Agency Overall","2023","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Federal Maritime Commission","Agency Overall","2023","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Farm Credit System Insurance Corporation","Agency Overall","2023","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"General Services Administration","Agency Overall","2023","n/a","0","n/a","0","n/a","0","2023-09-21","6","2023-09-20","7","2023-09-14","11","2023-09-06","17","2023-08-21","28","2023-08-15","32","2023-06-14","74"
"Federal Financial Institutions Examination Council","Agency Overall","2023","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Defense Nuclear Facilities Safety Board","Agency Overall","2023","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Neighborhood Reinvestment Corporation","Agency Overall","2023","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Inter-American Foundation","Agency Overall","2023","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Export-Import Bank of the U.S.","Agency Overall","2023","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2023-03-27","131"
"Office of the United States Trade Representative","Agency Overall","2023","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Central Intelligence Agency","Agency Overall","2023","2017-08-17","1539","2017-08-01","1551","2017-07-13","1564","2017-06-27","1575","2017-06-15","1583","2017-05-30","1595","2017-03-02","1657","2016-11-08","1733","2016-12-22","1955","2015-11-25","1973"
"U.S. Department of State","Agency Overall","2023","2018-04-04","1367","2018-03-18","1379","2018-02-14","1401","2017-10-17","1482","2017-09-20","1500","2017-08-15","1525","2017-06-29","1557","2017-01-03","1679","2017-01-03","1679","2016-12-12","1693"
"Federal Election Commission","Agency Overall","2023","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
