"Agency","Component","Fiscal Year","Simple - Median Number of Days","Simple - Average Number of Days","Simple - Lowest Number of Days","Simple - Highest Number of Days","Complex - Median Number of Days","Complex - Average Number of Days","Complex - Lowest Number of Days","Complex - Highest Number of Days","Expedited Processing - Median Number of Days","Expedited Processing - Average Number of Days","Expedited Processing - Lowest Number of Days","Expedited Processing - Highest Number of Days"
"Federal Reserve System","Agency Overall","2023","4","6","<1","39","35","52","4","387","101","158","2","443"
"Federal Mediation and Conciliation Service","Agency Overall","2023","20","18.11","<1","39","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Commodity Futures Trading Commission","Agency Overall","2023","3","5.93","<1","47","32","67.37","2","398","N/A","N/A","N/A","N/A"
"Consumer Product Safety Commission","Agency Overall","2023","35","256.45","1","1179","95","271.32","3","1549","8","8","8","8"
"Administrative Conference of the United States","Agency Overall","2023","2","1.92","<1","5","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Farm Credit Administration","Agency Overall","2023","10","9","0","20","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Nuclear Regulatory Commission","Agency Overall","2023","13.5","19.49","1","91","107","156.21","1","886","9","9","9","9"
"National Transportation Safety Board","Agency Overall","2023","15","42.74","<1","246","280","226.55","2","615","N/A","N/A","N/A","N/A"
"Department of Veterans Affairs","Agency Overall","2023","1","23.5","1","1702","2","43","1","1126","18.5","49","1","685"
"Department of Homeland Security","Agency Overall","2023","10","11","<1","38","75","91","<1","2484","152","170","<1","1478"
"Office of Management and Budget","Agency Overall","2023","217","346","5","978","1311","1140","4","1627","95","95","95","95"
"Social Security Administration","Agency Overall","2023","14","30","1","376","66","110","5","526","N/A","N/A","N/A","N/A"
"U.S. Election Assistance Commission","Agency Overall","2023","318","286","1","640","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Office of Personnel Management","Agency Overall","2023","57","55.97 ","1","561","451 ","622.23 ","1","1833","N/A","N/A","N/A","N/A"
"National Indian Gaming Commission","Agency Overall","2023","4","7","1","22","41","151","31","502","N/A","N/A","N/A","N/A"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2023","26","25","7","40","108","79","24","128","N/A","N/A","N/A","N/A"
"Peace Corps","Agency Overall","2023","20","106.5","1","1094","108","225.3","4","1535","11","11","11","11"
"Court Services and Offender Supervision Agency","Agency Overall","2023","11","10","1","20","19","17","1","20","N/A","N/A","N/A","N/A"
"Office of National Drug Control Policy","Agency Overall","2023","9","8","1","15","201","258","26","514","0","0","0","0"
"Department of Energy","Agency Overall","2023","28.50","53.63","<1","1133","117","235.64","<1","1714","145","323.33","12","813"
"National Endowment for the Humanities","Agency Overall","2023","20","18.22","14","20","53.5","48.25","23","63","N/A","N/A","N/A","N/A"
"National Railroad Passenger Corporation","Agency Overall","2023","13.5","74.8","1","682","585.5","598.04","1","1614","10.5","130.4","1","544"
"Occupational Safety and Health Review Commission","Agency Overall","2023","8","9.1","1","18","37.5","52.8","29","149","53","53","53","53"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2023","N/A","N/A","N/A","N/A","2","2","1","3","N/A","N/A","0","0"
"Institute of Museum and Library Services","Agency Overall","2023","11.5","12.8","1","22","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"National Science Foundation","Agency Overall","2023","14","47","1","315","75","100","5","225","N/A","N/A","N/A","N/A"
"Department of Commerce","Agency Overall","2023","23","68.32","0","760","85","157.92","1","1212","44","310.55","4","1009"
"Department of Defense","Agency Overall","2023","11","37.13","1","2508","89.5","303.66","1","4296","48.5","234.51","1","1278"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2023","8","7","2","10","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Department of the Interior","Agency Overall","2023","24","110.5","<1","1789","86","240","<1","1915","36.5","187.5","<1","1889"
"National Archives and Records Administration","Agency Overall","2023","4","17","1","2074","162","624","1","4826","317","318","317","318"
"Department of Labor","Agency Overall","2023","17.00","30.04","<1","737","20.00","56.67","<1","1669","11.00","33.04","1","335"
"U.S. Interagency Council on Homelessness","Agency Overall","2023","10","10","10","10","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2023","6","8.8","1","36","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Office of Science and Technology Policy","Agency Overall","2023","20","289","2","1140","235","285.76","2","1048","N/A","N/A","N/A","N/A"
"Advisory Council on Historic Preservation","Agency Overall","2023","60","70","10","260","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"U.S. International Development Finance Corporation","Agency Overall","2023","10.5","31.13","2","279","197.5","197.5","67","328","N/A","N/A","N/A","N/A"
"Office of Special Counsel","Agency Overall","2023","12","17.55","<1","69","56.5","67.1","29","204","27.5","41","<1","109"
"Federal Open Market Committee","Agency Overall","2023","0","0","<1","<1","105","91","36","120","N/A","N/A","N/A","N/A"
"Department of Agriculture","Agency Overall","2023","<1","17.40","<1","1197","86","201.26","<1","1608","9","66.67","<1","856"
"Environmental Protection Agency","Agency Overall","2023","20.0","51.99","<1","1157","65.0","218.54","<1","2078","56.0","373.2","25","1614"
"Millennium Challenge Corporation","Agency Overall","2023","14","0","1","90","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Appraisal Subcommittee","Agency Overall","2023","14","12.7","5","25","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Federal Maritime Commission","Agency Overall","2023","19","38.23","4","222","87","148","43","375","N/A","N/A","N/A","N/A"
"Farm Credit System Insurance Corporation","Agency Overall","2023","6","9","2","20","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"General Services Administration","Agency Overall","2023","22.0","49","1","497","67.0","145.91","3","1105","59.0","105.06","1","581"
"Federal Financial Institutions Examination Council","Agency Overall","2023","19","19","19","19","22","22","22","22","N/A","N/A","N/A","N/A"
"Defense Nuclear Facilities Safety Board","Agency Overall","2023","10","30","7","139","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Neighborhood Reinvestment Corporation","Agency Overall","2023","43","42","4","83","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Inter-American Foundation","Agency Overall","2023","10","10.29","1","20","0","0","N/A","N/A","0","0","N/A","N/A"
"Export-Import Bank of the U.S.","Agency Overall","2023","18.5","39.62","<1","237","127","245.05","12","942","N/A","N/A","N/A","N/A"
"Office of the United States Trade Representative","Agency Overall","2023","19","22","2","90","57","74","44","156","18","14","3","20"
"Central Intelligence Agency","Agency Overall","2023","17","31.48","2","155","573.5","728.7","22","3189","N/A","N/A","N/A","N/A"
"U.S. Department of State","Agency Overall","2023","180","200","2","1859","45","100.87","<1","4206","50","350.14","10","2372"
"Federal Election Commission","Agency Overall","2023","N/A","N/A","N/A","N/A","12.5","22","4","120","N/A","N/A","N/A","N/A"
"United States Trade and Development Agency","Agency Overall","2023","91.5","460.6","1","1825","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Merit Systems Protection Board","Agency Overall","2023","2.5","6.03","<1","55","50","184.39","8","1492","N/A","N/A","N/A","N/A"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2023","14","14","5","24","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Federal Retirement Thrift Investment Board","Agency Overall","2023","26","36","7","107","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Legal Services Corporation","Agency Overall","2023","16","19.20","2","45","16","16","16","16","N/A","N/A","N/A","N/A"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2023","19","31","<1","172","51","54","18","101","N/A","N/A","N/A","N/A"
"United States Postal Service","Agency Overall","2023","16","21.67","<1","516","43","179.24","<1","782","6","29.33","3","79"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2023","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2023","6","6","2","10","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"National Credit Union Administration","Agency Overall","2023","15.5","13.4","1","20","29","26.48","10","54","N/A","N/A","N/A","N/A"
"National Council on Disability","Agency Overall","2023","21","23","3","47","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Council on Environmental Quality","Agency Overall","2023","70","131.58","4","1196","212","387.08","35","1271","N/A","N/A","N/A","N/A"
"Federal Permitting Improvement Steering Council","Agency Overall","2023","28","28","2","51","53","110","38","239","N/A","N/A","N/A","N/A"
"Surface Transportation Board","Agency Overall","2023","5","8.64","1","33","N/A","N/A","N/A","N/A","1","1.94","1","4"
"Social Security Advisory Board","Agency Overall","2023","2","2","2","2","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Selective Service System","Agency Overall","2023","3","4","1","10","0","0","N/A","N/A","0","0","N/A","N/A"
"American Battle Monuments Commission","Agency Overall","2023","13","14","9","20","39","39","39","39","N/A","N/A","N/A","N/A"
"U.S. Commission for the Preservation of America’s Heritage Abroad","Agency Overall","2023","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"United States Institute of Peace","Agency Overall","2023","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"United States International Boundary and Water Commission","Agency Overall","2023","41","45.9","2","109","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"United States Copyright Office","Agency Overall","2023","N/A","N/A","N/A","N/A","167","167","167","167","N/A","N/A","N/A","N/A"
"U.S. Railroad Retirement Board","Agency Overall","2023","6","12","<1","43","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"National Labor Relations Board","Agency Overall","2023","6","12.69","<1","331","N/A","N/A","N/A","N/A","2","6.2","<1","198"
"National Capital Planning Commission","Agency Overall","2023","8","6.3","1","19","21","21","21","21","N/A","N/A","N/A","N/A"
"U.S. Commission on Civil Rights","Agency Overall","2023","3","9","3","14","45","43","5","63","N/A","N/A","N/A","N/A"
"Federal Deposit Insurance Corporation","Agency Overall","2023","22.00","30.21","4","118","31.00","54.84","7","606","52.00","118.25","11","907"
"United States International Trade Commission","Agency Overall","2023","17","17","15","19","19","93.7","1","247","N/A","N/A","N/A","N/A"
"Equal Employment Opportunity Commission","Agency Overall","2023","8","10.98","1","1156","10","15.07","1","1166","12","12","12","12"
"Department of Transportation","Agency Overall","2023","19.00","58.62","<1","2434","89.50","217.38","<1","1510","12.00","196.38","2","873"
"Department of Justice","Agency Overall","2023","221","226.5","<1","1611","119","340.97","<1","2635","81","188.26","<1","2511"
"National Aeronautics and Space Administration","Agency Overall","2023","12","13.18","<1","61","61","39.5","<1","383","27.5","27.5","24","31"
"United States African Development Foundation","Agency Overall","2023","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Denali Commission","Agency Overall","2023","4","5","1","13","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Pension Benefit Guaranty Corporation","Agency Overall","2023","16","14.58","1","26","14","13.34","1","68","N/A","N/A","N/A","N/A"
"Postal Regulatory Commission","Agency Overall","2023","10","17","4","48","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"National Mediation Board","Agency Overall","2023","5","6.4","1","30","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"U.S. Agency for International Development","Agency Overall","2023","n/a","n/a","N/A","N/A","350","427.44","3","1211","676","676","676","676"
"Department of Health and Human Services","Agency Overall","2023","11.77","21.3","<1","1049","51.79","116.86","<1","2378","249.16","320.85","2","1407"
"Harry S. Truman Scholarship Foundation","Agency Overall","2023","7","12","1","30","0","0","0","0","0","0","0","0"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2023","1","1","1","1","0","0","N/A","N/A","0","0","N/A","N/A"
"Federal Mine Safety and Health Review Commission","Agency Overall","2023","1","3.05","1","14","13","147","10","419","N/A","N/A","N/A","N/A"
"Department of Education","Agency Overall","2023","10.00","31.86","<1","782","24.50","137.73","<1","1513","72.50","72.50","17","128"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2023","1","4.4","1","50","92","188.72","32","770","N/A","N/A","N/A","N/A"
"Department of Housing and Urban Development","Agency Overall","2023","20.00","42.45","<1","462","55.00","140.12","<1","1692","22.50","30.75","<1","96"
"Tennessee Valley Authority","Agency Overall","2023","15","17.47","1","120","53.5","90","22","370","6.5","6.5","5","8"
"Department of the Treasury","Agency Overall","2023","1.00","8.20","<1","755","89.00","349.37","<1","1800","65.00","382.50","9","1386"
"Marine Mammal Commission","Agency Overall","2023","10","8.5","1","301","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Securities and Exchange Commission","Agency Overall","2023","5","6.49","<1","20","67.5","109.26","1","759","51","51","19","83"
"Federal Trade Commission","Agency Overall","2023","3.00","6.04","<1","101","20.00","34.31","<1","266","6.00","22.59","<1","150"
"Consumer Financial Protection Bureau","Agency Overall","2023","19","25.64","2","94","61","87.55","1","878","N/A","N/A","N/A","N/A"
"James Madison Memorial Fellowship Foundation","Agency Overall","2023","33","40.75","8","89","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Office of the National Cyber Director","Agency Overall","2023","<1","<1","<1","<1","69","69","44","94","N/A","N/A","N/A","N/A"
"Armed Forces Retirement Home","Agency Overall","2023","42","36","32","80","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"United States Access Board","Agency Overall","2023","18","18","<1","42","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"National Endowment for the Arts","Agency Overall","2023","20","18","9","25","32","30","19","35","N/A","N/A","N/A","N/A"
"Commission of Fine Arts","Agency Overall","2023","26","26","1","43","154","154","1","1","N/A","N/A","N/A","N/A"
"Office of the Director of National Intelligence","Agency Overall","2023","7","11.52","0","104","63","281.11","1","1934","N/A","N/A","N/A","N/A"
"Federal Communications Commission","Agency Overall","2023","19.0","18.08","<1","60","89.5","179.64","26","898","25.0","65.08","4","568"
"Federal Energy Regulatory Commission","Agency Overall","2023","18","18","10","26","30","33","17","51","N/A","N/A","N/A","N/A"
"Federal Labor Relations Authority","Agency Overall","2023","26","81.73","1","422","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
