"Agency","Component","Fiscal Year","Simple - Number Pending","Simple - Median Number of Days","Simple - Average Number of Days","Complex - Number Pending","Complex - Median Number of Days","Complex - Average Number of Days","Expedited Processing - Number Pending","Expedited Processing - Median Number of Days","Expedited Processing - Average Number of Days"
"Federal Reserve System","Agency Overall","2023","12","3","17","54","38","78","4","132","124"
"Federal Mediation and Conciliation Service","Agency Overall","2023","1","11","11","0","N/A","N/A","0","N/A","N/A"
"Commodity Futures Trading Commission","Agency Overall","2023","0","N/A","N/A","5","37","79","0","N/A","N/A"
"Consumer Product Safety Commission","Agency Overall","2023","25","406","469","240","237.5","366","0","N/A","N/A"
"Administrative Conference of the United States","Agency Overall","2023","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Farm Credit Administration","Agency Overall","2023","6","14","15","4","30","31","0","N/A","N/A"
"Nuclear Regulatory Commission","Agency Overall","2023","28","22","75","90","787.5","745","1","258","258"
"National Transportation Safety Board","Agency Overall","2023","8","18.5","39","130","82","122","0","N/A","N/A"
"Department of Veterans Affairs","Agency Overall","2023","6930","71","73.23","2148","72","92.13","6","82","114.75"
"Department of Homeland Security","Agency Overall","2023","35237","104","151","81058","24","63","137","88","291"
"Office of Management and Budget","Agency Overall","2023","407","545","513","149","1110","780","7","138","297"
"Social Security Administration","Agency Overall","2023","166","2","6","296","96","131","0","N/A","N/A"
"U.S. Election Assistance Commission","Agency Overall","2023","142","327","401","16","562","624","12","575","696"
"Office of Personnel Management","Agency Overall","2023","98","19","110.84 ","37","443","421.65 ","0","N/A","N/A"
"National Indian Gaming Commission","Agency Overall","2023","0","N/A","N/A","5","161","189","0","N/A","N/A"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2023","0","N/A","N/A","20","17","46","0","N/A","N/A"
"Peace Corps","Agency Overall","2023","32","153.5","177","41","183","183.5","0","N/A","N/A"
"Court Services and Offender Supervision Agency","Agency Overall","2023","6","6","6","17","10","9","0","N/A","N/A"
"Office of National Drug Control Policy","Agency Overall","2023","0","N/A","N/A","13","12","272","0","N/A","N/A"
"Department of Energy","Agency Overall","2023","411","46","125.25","820","294","431.69","2","260.50","260.50"
"National Endowment for the Humanities","Agency Overall","2023","0","N/A","N/A","11","61","51.18","0","N/A","N/A"
"National Railroad Passenger Corporation","Agency Overall","2023","115","146","189","50","661","660","5","598","483"
"Occupational Safety and Health Review Commission","Agency Overall","2023","15","9","7.6","1","56","56","0","N/A","N/A"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2023","0","N/A","N/A","8","15.5","138","0","N/A","N/A"
"Institute of Museum and Library Services","Agency Overall","2023","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"National Science Foundation","Agency Overall","2023","207","423","559","476","685","869.6","1","36","36"
"Department of Commerce","Agency Overall","2023","625","130","230.33","581","505","619.48","74","563","571.18"
"Department of Defense","Agency Overall","2023","4235","12.5","109.3","17984","278","401.51","208","186","344.42"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2023","1","100","100","0","N/A","N/A","0","N/A","N/A"
"Department of the Interior","Agency Overall","2023","2857","217","332.6","1811","477","621","48","750","703"
"National Archives and Records Administration","Agency Overall","2023","2742","910","1096","3628","1165","1928","40","302","399"
"Department of Labor","Agency Overall","2023","794","26.00","98.24","1271","97.00","213.61","6","19.00","20.67"
"U.S. Interagency Council on Homelessness","Agency Overall","2023","6","12","10.66","0","N/A","N/A","0","N/A","N/A"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2023","1","23","23","0","N/A","N/A","0","N/A","N/A"
"Office of Science and Technology Policy","Agency Overall","2023","59","632","617.83","97","319","482.74","16","320.5","401.13"
"Advisory Council on Historic Preservation","Agency Overall","2023","20","120","60","7","160","90","0","N/A","N/A"
"U.S. International Development Finance Corporation","Agency Overall","2023","16","304","356.9","46","673","574.7","7","849","847.29"
"Office of Special Counsel","Agency Overall","2023","18","38","50","4","67","91","1","57","57"
"Federal Open Market Committee","Agency Overall","2023","7","10","9.7","2","5","5","0","N/A","N/A"
"Department of Agriculture","Agency Overall","2023","1768","101","211.82","694","169","280.12","2","901","901"
"Environmental Protection Agency","Agency Overall","2023","788","56.5","177.08","924","242.0","450.24","4","433.0","646.5"
"Millennium Challenge Corporation","Agency Overall","2023","8","9","17","0","N/A","N/A","0","N/A","N/A"
"Appraisal Subcommittee","Agency Overall","2023","5","6","6.6","0","N/A","N/A","0","N/A","N/A"
"Federal Maritime Commission","Agency Overall","2023","10","10","85.3","5","54","205","0","N/A","N/A"
"Farm Credit System Insurance Corporation","Agency Overall","2023","6","14","15","0","N/A","N/A","0","N/A","N/A"
"General Services Administration","Agency Overall","2023","327","79.0","108.28","149","198.0","268.18","16","306.5","387.94"
"Federal Financial Institutions Examination Council","Agency Overall","2023","9","11","11.3","1","76","76","0","N/A","N/A"
"Defense Nuclear Facilities Safety Board","Agency Overall","2023","2","51","50","0","N/A","N/A","0","N/A","N/A"
"Neighborhood Reinvestment Corporation","Agency Overall","2023","15","13","44","0","N/A","N/A","0","N/A","N/A"
"Inter-American Foundation","Agency Overall","2023","2","109","109","0","0","0","0","0","0"
"Export-Import Bank of the U.S.","Agency Overall","2023","5","58","139","31","69","108","0","0","0"
"Office of the United States Trade Representative","Agency Overall","2023","0","N/A","N/A","6","44","47","1","127","127"
"Central Intelligence Agency","Agency Overall","2023","552","47","253.33","3463","491","678.99","6","720","565.67"
"U.S. Department of State","Agency Overall","2023","2319","326","512","20834","811","991","335","519","791"
"Federal Election Commission","Agency Overall","2023","0","N/A","N/A","7","11","16","0","N/A","N/A"
"United States Trade and Development Agency","Agency Overall","2023","14","10","14","0","N/A","N/A","0","N/A","N/A"
"Merit Systems Protection Board","Agency Overall","2023","2","217","217","109","297","402.67","0","N/A","N/A"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2023","7","97","116","0","N/A","N/A","0","N/A","N/A"
"Federal Retirement Thrift Investment Board","Agency Overall","2023","26","11","45","0","N/A","N/A","0","N/A","N/A"
"Legal Services Corporation","Agency Overall","2023","7","10","10.83","1","76","76","0","N/A","N/A"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2023","7","10","73","8","49","37","0","N/A","N/A"
"United States Postal Service","Agency Overall","2023","213","22","96","34","253","237","4","361","373"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2023","30","627.5","587.27","39","749","901.15","1","643","643"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2023","3","908","883","21","68","561","0","N/A","N/A"
"National Credit Union Administration","Agency Overall","2023","6","10","8.17","6","9.5","8.83","0","N/A","N/A"
"National Council on Disability","Agency Overall","2023","0","N/A","N/A","3","52","39","0","N/A","N/A"
"Council on Environmental Quality","Agency Overall","2023","21","","","14","","","0","",""
"Federal Permitting Improvement Steering Council","Agency Overall","2023","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Surface Transportation Board","Agency Overall","2023","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Social Security Advisory Board","Agency Overall","2023","2","37.5","37.5","0","0","0","0","0","0"
"Selective Service System","Agency Overall","2023","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"American Battle Monuments Commission","Agency Overall","2023","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"U.S. Commission for the Preservation of America’s Heritage Abroad","Agency Overall","2023","8","11","31.63","0","N/A","N/A","0","N/A","N/A"
"United States Institute of Peace","Agency Overall","2023","11","11","13","6","106","247","0","N/A","N/A"
"United States International Boundary and Water Commission","Agency Overall","2023","54","429.5","397.35","0","0","0","0","N/A","N/A"
"United States Copyright Office","Agency Overall","2023","2","20","20","11","348","167","0","N/A","N/A"
"U.S. Railroad Retirement Board","Agency Overall","2023","8","35","35","0","N/A","N/A","0","N/A","N/A"
"National Labor Relations Board","Agency Overall","2023","56","9","60.4","0","N/A","N/A","1","4","4"
"National Capital Planning Commission","Agency Overall","2023","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"U.S. Commission on Civil Rights","Agency Overall","2023","0","N/A","N/A","6","45","45","0","N/A","N/A"
"Federal Deposit Insurance Corporation","Agency Overall","2023","54","19.00","41.56","90","78.00","88.18","28","126.00","102.96"
"United States International Trade Commission","Agency Overall","2023","4","8","18","17","320","343.7","0","N/A","N/A"
"Equal Employment Opportunity Commission","Agency Overall","2023","477","24.5","61.45","29","70","N/A","0","N/A","N/A"
"Department of Transportation","Agency Overall","2023","5003","99.00","265.09","2097","302.00","455.62","128","926.00","925.69"
"Department of Justice","Agency Overall","2023","26831","158","210.45","22197","409","509.54","610","455.5","594.82"
"National Aeronautics and Space Administration","Agency Overall","2023","22","15","25.55","43","25","79.56","1","67","67"
"United States African Development Foundation","Agency Overall","2023","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Denali Commission","Agency Overall","2023","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Pension Benefit Guaranty Corporation","Agency Overall","2023","45","7","6.53","67","8","7.044","0","N/A","N/A"
"Postal Regulatory Commission","Agency Overall","2023","7","35","35","0","N/A","N/A","0","N/A","N/A"
"National Mediation Board","Agency Overall","2023","3","10","10","0","N/A","N/A","0","N/A","N/A"
"U.S. Agency for International Development","Agency Overall","2023","0","N/A","N/A","404","392","449","13","846","811"
"Department of Health and Human Services","Agency Overall","2023","1316","160.48","232.66","11302","346.58","427.45","138","829.71","836.22"
"Harry S. Truman Scholarship Foundation","Agency Overall","2023","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2023","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Federal Mine Safety and Health Review Commission","Agency Overall","2023","0","N/A","N/A","11","11","41.81","0","N/A","N/A"
"Department of Education","Agency Overall","2023","532","253","328.8","1595","290","347.15","2","918.5","918.5"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2023","18","16","36","22","558.5","532.45","0","N/A","N/A"
"Department of Housing and Urban Development","Agency Overall","2023","44","24.50","88.85","666","171.00","344.87","4","12.50","14.25"
"Tennessee Valley Authority","Agency Overall","2023","20","10","19","36","101","137.42","0","0","0"
"Department of the Treasury","Agency Overall","2023","311","55.00","178.47","2653","694.50","737.55","34","929.50","880.08"
"Marine Mammal Commission","Agency Overall","2023","27","24","37","0","N/A","N/A","0","N/A","N/A"
"Securities and Exchange Commission","Agency Overall","2023","205","5","15","1230","73","132","1","395","395"
"Federal Trade Commission","Agency Overall","2023","29","7","31","56","39.5","56","0","N/A","N/A"
"Consumer Financial Protection Bureau","Agency Overall","2023","2","30.5","30","46","97.5","140","1","128","128"
"James Madison Memorial Fellowship Foundation","Agency Overall","2023","14","12","32.571","0","N/A","N/A","0","N/A","N/A"
"Office of the National Cyber Director","Agency Overall","2023","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Armed Forces Retirement Home","Agency Overall","2023","1","34","45","0","N/A","N/A","0","N/A","N/A"
"United States Access Board","Agency Overall","2023","1","48","48","0","N/A","N/A","0","N/A","N/A"
"National Endowment for the Arts","Agency Overall","2023","3","5","7","9","10","10","0","N/A","N/A"
"Commission of Fine Arts","Agency Overall","2023","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Office of the Director of National Intelligence","Agency Overall","2023","140","260","560.41","539","720","824.47","8","433","604"
"Federal Communications Commission","Agency Overall","2023","77","9.0","17.87","23","346.0","449.43","9","161.0","118.0"
"Federal Energy Regulatory Commission","Agency Overall","2023","8","171","146","110","232","311","0","N/A","N/A"
"Federal Labor Relations Authority","Agency Overall","2023","43","86","155.58","0","N/A","N/A","0","N/A","N/A"
"Office of the Intellectual Property Enforcement Coordinator","Agency Overall","2023","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Small Business Administration","Agency Overall","2023","784","143","195","7","320","317","0","N/A","N/A"
"U.S. Agency for Global Media","Agency Overall","2023","4","5","5","22","11","54","0","0","0"
"Presidio Trust","Agency Overall","2023","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Federal Housing Finance Agency","Agency Overall","2023","16","140.75","130","53","234","278","0","N/A","N/A"
"Office of Government Ethics","Agency Overall","2023","6","12","12","0","N/A","N/A","0","N/A","N/A"
"All agencies","Agency Overall","2023","97567","N/A","N/A","NaN","N/A","N/A","NaN","N/A","N/A"
