"Agency","Component","Fiscal Year","Statute","Case Citation","Type of Information Withheld","Number of Times Relied Upon"
"Federal Reserve System","Agency Overall","2023","12 U.S.C. § 248(s)(6)","N/A","Information concerning the borrowers and counterparties participating in emergency credit facilities, discount window lending programs, and open market operations authorized or conducted by the Board of Governors of the Federal Reserve System or a Federal Reserve Bank	","1"
"Federal Reserve System","Agency Overall","2023","5 U.S.C. § 13107 (formerly at 5 U.S.C. App 4 § 105)","N/A","Financial disclosure reports and applications to inspect financial disclosure reports","1"
"Federal Mediation and Conciliation Service","Agency Overall","2023","N/A","N/A","N/A","0"
"Commodity Futures Trading Commission","Agency Overall","2023","7 U.S.C. § 12(a)(1)","Hunt v. Commodity Futures Trading Comm’n, 484 F. Supp. 47, 49 (D.D.C. 1979).","“[D]ata and information that would separately disclose the business transactions or market positions of any person and trade secrets or names of customers,” as well as certain other information concerning, 
or obtained in, the course of the Commission’s investigations under the 
Commodity Exchange Act.","6"
"Commodity Futures Trading Commission","Agency Overall","2023","7 U.S.C. §  26(h)(2)(A)","N/A","“[A]ny information, including information provided by a whistleblower to the Commission, which could reasonably be expected to reveal the identity of a whistleblower, . . . unless and until required to be disclosed to a defendant or respondent in connection with a public proceeding instituted by the Commission or any entity described in subparagraph 
(C).”","9"
"Consumer Product Safety Commission","Agency Overall","2023","15 U.S.C. § 2074(c)","N/A","Information that identifies persons or those treating injured persons, absent consent ","27"
"Consumer Product Safety Commission","Agency Overall","2023","15 U.S.C. §§ 2055(a)(2), 2055(b)(1), 2055(b)(5) ","Consumer Prod. Safety Comm’n v. GTE Sylvania, Inc., 447 U.S. 102, 122-23 (1980) (15 U.S.C. § 2055(b)(1)); Mulloy v. Consumer Prods. Safety Comm’n, No. 85-3720, 1986 WL 17283, at *1 (6th Cir. July 22, 1986) (per curiam) 
(unpublished disposition) (15 U.S.C. § 2055(a)(2) and 15 U.S.C. § 2055(b)(5)).","Certain information reported to, or otherwise obtained by the Consumer Product Safety Commission which either contains or relates to a trade secret or is ""subject to section 552(b)(4) of Title 5""","103"
"Administrative Conference of the United States","Agency Overall","2023","N/A","N/A","N/A","0"
"Farm Credit Administration","Agency Overall","2023","N/A","N/A","N/A","0"
"Nuclear Regulatory Commission","Agency Overall","2023","18 U.S.C. § 701","Jones v. IRS, No. 06-CV-322, 2008 WL 1901208, at *3-4 (W.D. Mich. Apr. 25, 2008).","Likeness of any badge, identification card, or other insignia, of the design prescribed by the head of any department or agency of the United States for use by any officer or employee thereof, or any colorable imitation thereof","1"
"Nuclear Regulatory Commission","Agency Overall","2023","18 U.S.C. § 824o-1(d) ","N/A","Information pertaining to Critical Electric Infrastructure Security ","4"
"National Transportation Safety Board","Agency Overall","2023","49 U.S.C. § 1114(f)","N/A","Any information relating to Board participation in foreign aircraft accidents, where the country conducting the investigation has not issued its report or two years have not elapsed from the date of the accident.","7"
"National Transportation Safety Board","Agency Overall","2023","49 U.S.C. § 1136(d)","N/A","Passenger lists","1"
"National Transportation Safety Board","Agency Overall","2023","49 U.S.C. § 1114 (d)(1)","N/A","Certain surface vehicle recordings and transcripts related to an accident investigated by the Board.","3"
"National Transportation Safety Board","Agency Overall","2023"," 49 U.S.C. § 1114(c) ","McGilvra v. NTSB, 840 F. 
Supp. 100, 102 (D. Colo. 1993). ","Certain “cockpit voice or video recorder recording[s] or transcript[s] of communications by and between flight crew members and ground stations pertaining to [] incident[s] investigated by the [National Transportation Safety] Board”","6"
"Department of Veterans Affairs","Agency Overall","2023","5 U.S.C. § 407 (formerly at 5  U.S.C. app. 3 § 7(b))","Wash. Post Co. v. Special Inspector Gen. for Afg. Reconstr., 486 F. Supp. 3d 141, 166 (D.D.C. 2020)","Names or employees who provide information or complaints to the Inspector General.","3"
"Department of Veterans Affairs","Agency Overall","2023","41 U.S.C. § 4702 (formerly at  41 U.S.C. § 253b(m)(1)) ","Sinkfield v. HUD, No. 10-885, 2012 U.S. Dist. LEXIS 35233, at *13-15 (S.D. Ohio Mar. 15, 2012); Margolin v. NASA, No. 09- 00421, 2011 WL 1303221, at *6 (D. Nev. Mar. 31, 2011);Hornbostel v. U.S. Dep’t of the Interior, 305 F. Supp. 2d 21, 30 (D.D.C. 2003), summary affirmance granted, No. 03-5257, 2004 WL 1900562 (D.C. Cir. Aug. 25, 2004).","Contractor proposals that are in the possession or control of an executive agency and that have not been set forth or incorporated by reference into contracts","19"
