"Agency","Component","Fiscal Year","Number Affirmed on Appeal","Number Partially Affirmed & Partially Reversed/Remanded on Appeal","Number Completely Reversed/Remanded on Appeal","Number of Appeals Closed for Other Reasons","Total"
"Federal Reserve System","Agency Overall","2023","6","1","0","30","37"
"Federal Mediation and Conciliation Service","Agency Overall","2023","0","0","0","2","2"
"Commodity Futures Trading Commission","Agency Overall","2023","7","0","0","1","8"
"Consumer Product Safety Commission","Agency Overall","2023","6","4","2","2","14"
"Administrative Conference of the United States","Agency Overall","2023","0","0","0","0","0"
"Farm Credit Administration","Agency Overall","2023","0","0","0","0","0"
"Nuclear Regulatory Commission","Agency Overall","2023","6","1","0","0","7"
"National Transportation Safety Board","Agency Overall","2023","4","3","0","12","19"
"Department of Veterans Affairs","Agency Overall","2023","14","2","85","246","347"
"Department of Homeland Security","Agency Overall","2023","2072","1035","1927","1090","6124"
"Office of Management and Budget","Agency Overall","2023","6","0","1","3","10"
"Social Security Administration","Agency Overall","2023","97","331","256","273","957"
"U.S. Election Assistance Commission","Agency Overall","2023","6","0","0","0","6"
"Office of Personnel Management","Agency Overall","2023","2","0","1","0","3"
"National Indian Gaming Commission","Agency Overall","2023","0","0","0","0","0"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2023","0","0","0","0","0"
"Peace Corps","Agency Overall","2023","0","0","1","2","3"
"Court Services and Offender Supervision Agency","Agency Overall","2023","0","0","0","0","0"
"Office of National Drug Control Policy","Agency Overall","2023","0","0","0","0","0"
"Department of Energy","Agency Overall","2023","11","1","9","7","28"
"National Endowment for the Humanities","Agency Overall","2023","2","0","0","0","2"
"National Railroad Passenger Corporation","Agency Overall","2023","0","0","2","0","2"
"Occupational Safety and Health Review Commission","Agency Overall","2023","0","0","0","0","0"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2023","0","0","0","0","0"
"Institute of Museum and Library Services","Agency Overall","2023","0","0","0","0","0"
"National Science Foundation","Agency Overall","2023","1","1","0","0","2"
"Department of Commerce","Agency Overall","2023","18","3","3","5","29"
"Department of Defense","Agency Overall","2023","629","128","190","300","1247"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2023","0","0","0","0","0"
"Department of the Interior","Agency Overall","2023","34","7","55","203","299"
"National Archives and Records Administration","Agency Overall","2023","60","1","1","2","64"
"Department of Labor","Agency Overall","2023","26","11","33","131","201"
"U.S. Interagency Council on Homelessness","Agency Overall","2023","0","0","0","0","0"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2023","0","0","0","0","0"
"Office of Science and Technology Policy","Agency Overall","2023","0","1","0","0","1"
"Advisory Council on Historic Preservation","Agency Overall","2023","0","0","0","0","0"
"U.S. International Development Finance Corporation","Agency Overall","2023","0","0","0","0","0"
"Office of Special Counsel","Agency Overall","2023","2","4","1","0","7"
"Federal Open Market Committee","Agency Overall","2023","0","0","0","0","0"
"Department of Agriculture","Agency Overall","2023","27","38","7","40","112"
"Environmental Protection Agency","Agency Overall","2023","25","16","34","44","119"
"Millennium Challenge Corporation","Agency Overall","2023","1","4","0","0","5"
"Appraisal Subcommittee","Agency Overall","2023","0","0","0","0","0"
"Federal Maritime Commission","Agency Overall","2023","0","0","0","0","0"
"Farm Credit System Insurance Corporation","Agency Overall","2023","0","0","0","0","0"
"General Services Administration","Agency Overall","2023","75","6","1","7","89"
"Federal Financial Institutions Examination Council","Agency Overall","2023","0","0","0","0","0"
"Defense Nuclear Facilities Safety Board","Agency Overall","2023","0","0","0","0","0"
"Neighborhood Reinvestment Corporation","Agency Overall","2023","0","0","0","0","0"
"Inter-American Foundation","Agency Overall","2023","0","0","0","0","0"
"Export-Import Bank of the U.S.","Agency Overall","2023","1","2","0","0","3"
"Office of the United States Trade Representative","Agency Overall","2023","0","1","0","0","1"
"Central Intelligence Agency","Agency Overall","2023","79","6","1","23","109"
"U.S. Department of State","Agency Overall","2023","410","22","32","61","525"
