"Agency","Component","Fiscal Year","Date","10th Oldest Number of Days Pending","Date","9th Oldest Number of Days Pending","Date","8th Oldest Number of Days Pending","Date","7th Oldest Number of Days Pending","Date","6th Oldest Number of Days Pending","Date","5th Oldest Number of Days Pending","Date","4th Oldest Number of Days Pending","Date","3rd Oldest Number of Days Pending","Date","2nd Oldest Number of Days Pending","Date","Oldest Number of Days Pending"
"Federal Reserve System","Agency Overall","2023","2023-03-15","138","2023-03-15","138","2023-03-14","139","2023-01-12","180","2022-12-14","199","2022-11-08","223","2022-07-13","305","2022-06-06","330","2022-01-03","437","2021-10-05","496"
"Federal Mediation and Conciliation Service","Agency Overall","2023","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2023-09-14","11"
"Commodity Futures Trading Commission","Agency Overall","2023","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2023-09-22","5","2023-08-14","33","2023-08-08","37","2023-03-22","133","2022-12-30","188"
"Consumer Product Safety Commission","Agency Overall","2023","2018-07-30","1298","2018-07-25","1301","2018-07-16","1308","2018-05-09","1354","2018-05-01","1360","2018-04-17","1370","2018-04-09","1376","2018-04-09","1376","2017-11-14","1475","2017-11-08","1478"
"Administrative Conference of the United States","Agency Overall","2023","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Farm Credit Administration","Agency Overall","2023","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Nuclear Regulatory Commission","Agency Overall","2023","2017-10-05","1491","2017-10-03","1493","2017-08-10","1530","2017-06-01","1579","2017-05-22","1586","2017-01-13","1674","2016-12-23","1687","2016-11-15","1714","2016-06-21","1815","2016-05-11","1843"
"National Transportation Safety Board","Agency Overall","2023","2022-05-05","352","2022-04-26","359","2022-01-04","376","2022-03-17","387","2022-03-03","397","2022-02-28","400","2022-02-22","404","2021-10-18","490","2021-07-07","561","2021-01-12","683"
"Department of Veterans Affairs","Agency Overall","2023","2018-08-03","1293","2018-05-04","1356","2018-04-27","1361","2018-02-20","1409","2017-12-05","1460","2017-12-05","1460","2017-11-28","1465","2016-05-18","1848","2015-10-09","1999","2014-07-03","2318"
"Department of Homeland Security","Agency Overall","2023","2016-05-17","1846","2016-05-09","1852","2016-04-15","1868","2016-04-11","1872","2016-04-01","1901","2016-04-18","1945","2015-12-21","1948","2016-03-02","1978","2015-09-11","2016","2015-07-15","2058"
