"Agency","Component","Fiscal Year","Number of Appeals Pending as of Start of Fiscal Year","Number of Appeals Received in Fiscal Year","Number of Appeals Processed in Fiscal Year","Number of Appeals Pending as of End of Fiscal Year"
"Federal Reserve System","Agency Overall","2023","3","37","37","3"
"Federal Mediation and Conciliation Service","Agency Overall","2023","0","2","2","0"
"Commodity Futures Trading Commission","Agency Overall","2023","1","7","8","0"
"Consumer Product Safety Commission","Agency Overall","2023","0","14","14","0"
"Administrative Conference of the United States","Agency Overall","2023","0","0","0","0"
"Farm Credit Administration","Agency Overall","2023","0","0","0","0"
"Nuclear Regulatory Commission","Agency Overall","2023","2","7","7","2"
"National Transportation Safety Board","Agency Overall","2023","1","18","19","0"
"Department of Veterans Affairs","Agency Overall","2023","270","431","347","354"
"Department of Homeland Security","Agency Overall","2023","1128","6050","6124","1054"
"Office of Management and Budget","Agency Overall","2023","3","8","10","1"
"Social Security Administration","Agency Overall","2023","64","951","957","58"
"U.S. Election Assistance Commission","Agency Overall","2023","0","6","6","0"
"Office of Personnel Management","Agency Overall","2023","4","7","3","8"
"National Indian Gaming Commission","Agency Overall","2023","0","0","0","0"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2023","0","0","0","0"
"Peace Corps","Agency Overall","2023","0","3","3","0"
"Court Services and Offender Supervision Agency","Agency Overall","2023","0","0","0","0"
"Office of National Drug Control Policy","Agency Overall","2023","0","0","0","0"
"Department of Energy","Agency Overall","2023","13","27","28","12"
"National Endowment for the Humanities","Agency Overall","2023","1","1","2","0"
"National Railroad Passenger Corporation","Agency Overall","2023","13","9","2","20"
"Occupational Safety and Health Review Commission","Agency Overall","2023","0","0","0","0"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2023","0","0","0","0"
"Institute of Museum and Library Services","Agency Overall","2023","0","0","0","0"
"National Science Foundation","Agency Overall","2023","1","1","2","0"
"Department of Commerce","Agency Overall","2023","188","82","29","241"
"Department of Defense","Agency Overall","2023","959","1108","1247","820"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2023","0","0","0","0"
"Department of the Interior","Agency Overall","2023","320","205","299","226"
"National Archives and Records Administration","Agency Overall","2023","167","121","64","224"
"Department of Labor","Agency Overall","2023","292","199","201","290"
"U.S. Interagency Council on Homelessness","Agency Overall","2023","0","0","0","0"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2023","0","0","0","0"
"Office of Science and Technology Policy","Agency Overall","2023","0","1","1","0"
"Advisory Council on Historic Preservation","Agency Overall","2023","0","0","0","0"
"U.S. International Development Finance Corporation","Agency Overall","2023","0","0","0","0"
"Office of Special Counsel","Agency Overall","2023","1","8","7","2"
"Federal Open Market Committee","Agency Overall","2023","0","0","0","0"
"Department of Agriculture","Agency Overall","2023","157","110","112","155"
"Environmental Protection Agency","Agency Overall","2023","7","116","119","4"
"Millennium Challenge Corporation","Agency Overall","2023","0","5","5","0"
"Appraisal Subcommittee","Agency Overall","2023","0","0","0","0"
"Federal Maritime Commission","Agency Overall","2023","0","0","0","0"
"Farm Credit System Insurance Corporation","Agency Overall","2023","0","0","0","0"
"General Services Administration","Agency Overall","2023","9","88","89","8"
"Federal Financial Institutions Examination Council","Agency Overall","2023","0","0","0","0"
"Defense Nuclear Facilities Safety Board","Agency Overall","2023","0","0","0","0"
"Neighborhood Reinvestment Corporation","Agency Overall","2023","0","0","0","0"
"Inter-American Foundation","Agency Overall","2023","0","0","0","0"
