"Agency","Component","Fiscal Year","Number Received During Fiscal Year from Last Year's Annual Report","Number Received During Fiscal Year from Current Annual Report","Number Processed During Fiscal Year from Last Year's Annual Report","Number Processed During Fiscal Year from Current Annual Report"
"Federal Reserve System","Agency Overall","2023","666","772","658","739"
"Federal Mediation and Conciliation Service","Agency Overall","2023","56","46","53","49"
"Commodity Futures Trading Commission","Agency Overall","2023","185","290","202","291"
"Consumer Product Safety Commission","Agency Overall","2023","459","601","521","844"
"Administrative Conference of the United States","Agency Overall","2023","27","43","27","43"
"Farm Credit Administration","Agency Overall","2023","37","58","37","48"
"Nuclear Regulatory Commission","Agency Overall","2023","207","236","219","207"
"National Transportation Safety Board","Agency Overall","2023","518","558","500","601"
"Department of Veterans Affairs","Agency Overall","2023","22542","79590","24380","72403"
"Department of Homeland Security","Agency Overall","2023","541057","674856","500739","580205"
"Office of Management and Budget","Agency Overall","2023","263","315","323","362"
"Social Security Administration","Agency Overall","2023","11762","10130","11811","10305"
"U.S. Election Assistance Commission","Agency Overall","2023","195","50","72","91"
"Office of Personnel Management","Agency Overall","2023","456","581","508","586"
"National Indian Gaming Commission","Agency Overall","2023","48","55","49","45"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2023","17","46","21","26"
"Peace Corps","Agency Overall","2023","200","265","156","301"
"Court Services and Offender Supervision Agency","Agency Overall","2023","290","354","279","342"
"Office of National Drug Control Policy","Agency Overall","2023","50","40","65","36"
"Department of Energy","Agency Overall","2023","1722","2156","1511","1790"
"National Endowment for the Humanities","Agency Overall","2023","48","38","50","30"
"National Railroad Passenger Corporation","Agency Overall","2023","246","364","164","550"
"Occupational Safety and Health Review Commission","Agency Overall","2023","94","150","92","137"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2023","2","51","2","46"
"Institute of Museum and Library Services","Agency Overall","2023","30","41","31","41"
"National Science Foundation","Agency Overall","2023","302","339","202","158"
"Department of Commerce","Agency Overall","2023","1768","2241","1773","2093"
"Department of Defense","Agency Overall","2023","54004","60109","52222","55731"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2023","3","20","3","19"
"Department of the Interior","Agency Overall","2023","6405","7085","6167","7388"
"National Archives and Records Administration","Agency Overall","2023","14975","62505","14977","66064"
"Department of Labor","Agency Overall","2023","14495","14282","14332","14219"
"U.S. Interagency Council on Homelessness","Agency Overall","2023","10","7","10","1"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2023","15","28","15","27"
"Office of Science and Technology Policy","Agency Overall","2023","104","64","65","45"
"Advisory Council on Historic Preservation","Agency Overall","2023","37","27","16","12"
"U.S. International Development Finance Corporation","Agency Overall","2023","40","50","44","30"
"Office of Special Counsel","Agency Overall","2023","138","118","140","103"
"Federal Open Market Committee","Agency Overall","2023","31","29","31","20"
"Department of Agriculture","Agency Overall","2023","17069","16605","17166","16242"
"Environmental Protection Agency","Agency Overall","2023","6636","6588","6630","6777"
"Millennium Challenge Corporation","Agency Overall","2023","21","54","23","46"
"Appraisal Subcommittee","Agency Overall","2023","16","34","16","29"
"Federal Maritime Commission","Agency Overall","2023","45","42","38","39"
"Farm Credit System Insurance Corporation","Agency Overall","2023","18","30","18","24"
"General Services Administration","Agency Overall","2023","1236","1723","1436","1510"
"Federal Financial Institutions Examination Council","Agency Overall","2023","12","25","10","18"
"Defense Nuclear Facilities Safety Board","Agency Overall","2023","26","48","25","37"
"Neighborhood Reinvestment Corporation","Agency Overall","2023","9","29","7","16"
"Inter-American Foundation","Agency Overall","2023","8","23","9","19"
"Export-Import Bank of the U.S.","Agency Overall","2023","84","108","90","94"
"Office of the United States Trade Representative","Agency Overall","2023","67","66","73","62"
"Central Intelligence Agency","Agency Overall","2023","2408","2426","2095","1567"
"U.S. Department of State","Agency Overall","2023","13864","15713","9167","12576"
"Federal Election Commission","Agency Overall","2023","114","92","118","88"
"United States Trade and Development Agency","Agency Overall","2023","21","39","16","80"
"Merit Systems Protection Board","Agency Overall","2023","138","221","130","167"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2023","8","13","8","6"
"Federal Retirement Thrift Investment Board","Agency Overall","2023","45","99","47","76"
"Legal Services Corporation","Agency Overall","2023","27","29","29","22"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2023","44","58","48","49"
"United States Postal Service","Agency Overall","2023","3894","4168","3987","4104"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2023","337","197","294","61"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2023","41","50","39","39"
"National Credit Union Administration","Agency Overall","2023","112","159","115","153"
"National Council on Disability","Agency Overall","2023","16","8","0","5"
"Council on Environmental Quality","Agency Overall","2023","127","122","124","132"
"Federal Permitting Improvement Steering Council","Agency Overall","2023","4","12","3","13"
"Surface Transportation Board","Agency Overall","2023","90","116","89","109"
"Social Security Advisory Board","Agency Overall","2023","10","21","10","19"
"Selective Service System","Agency Overall","2023","48","49","48","49"
"American Battle Monuments Commission","Agency Overall","2023","29","27","29","27"
"U.S. Commission for the Preservation of America’s Heritage Abroad","Agency Overall","2023","0","26","2","18"
"United States Institute of Peace","Agency Overall","2023","4","18","5","3"
"United States International Boundary and Water Commission","Agency Overall","2023","30","51","31","26"
"United States Copyright Office","Agency Overall","2023","54","47","57","40"
"U.S. Railroad Retirement Board","Agency Overall","2023","53","80","53","74"
"National Labor Relations Board","Agency Overall","2023","1963","2198","1940","2236"
"National Capital Planning Commission","Agency Overall","2023","6","26","6","26"
"U.S. Commission on Civil Rights","Agency Overall","2023","60","58","60","50"
"Federal Deposit Insurance Corporation","Agency Overall","2023","494","826","502","685"
"United States International Trade Commission","Agency Overall","2023","68","32","60","27"
"Equal Employment Opportunity Commission","Agency Overall","2023","14040","15929","13263","14703"
"Department of Transportation","Agency Overall","2023","19090","17136","18958","16458"
"Department of Justice","Agency Overall","2023","93370","110934","82868","144065"
"National Aeronautics and Space Administration","Agency Overall","2023","993","1005","982","1003"
"United States African Development Foundation","Agency Overall","2023","1","0","0","0"
"Denali Commission","Agency Overall","2023","7","18","7","18"
"Pension Benefit Guaranty Corporation","Agency Overall","2023","3727","2682","3877","2643"
"Postal Regulatory Commission","Agency Overall","2023","45","91","46","80"
"National Mediation Board","Agency Overall","2023","20","31","19","29"
"U.S. Agency for International Development","Agency Overall","2023","326","338","330","334"
