"Agency","Component","Fiscal Year","Number of Backlogged Requests as of End of the Fiscal Year from Previous Annual Report","Number of Backlogged Requests as of End of the Fiscal Year from Current Annual Report"
"Federal Reserve System","Agency Overall","2023","15","36"
"Federal Mediation and Conciliation Service","Agency Overall","2023","0","0"
"Commodity Futures Trading Commission","Agency Overall","2023","3","4"
"Consumer Product Safety Commission","Agency Overall","2023","441","197"
"Administrative Conference of the United States","Agency Overall","2023","0","0"
"Farm Credit Administration","Agency Overall","2023","0","0"
"Nuclear Regulatory Commission","Agency Overall","2023","89","96"
"National Transportation Safety Board","Agency Overall","2023","166","97"
"Department of Veterans Affairs","Agency Overall","2023","941","780"
"Department of Homeland Security","Agency Overall","2023","37039","63883"
"Office of Management and Budget","Agency Overall","2023","589","526"
"Social Security Administration","Agency Overall","2023","92","251"
"U.S. Election Assistance Commission","Agency Overall","2023","2","166"
"Office of Personnel Management","Agency Overall","2023","128","98"
"National Indian Gaming Commission","Agency Overall","2023","3","5"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2023","0","11"
"Peace Corps","Agency Overall","2023","94","63"
"Court Services and Offender Supervision Agency","Agency Overall","2023","0","0"
"Office of National Drug Control Policy","Agency Overall","2023","8","5"
"Department of Energy","Agency Overall","2023","774","871"
"National Endowment for the Humanities","Agency Overall","2023","2","7"
"National Railroad Passenger Corporation","Agency Overall","2023","277","159"
"Occupational Safety and Health Review Commission","Agency Overall","2023","0","1"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2023","5","3"
"Institute of Museum and Library Services","Agency Overall","2023","0","0"
"National Science Foundation","Agency Overall","2023","483","644"
"Department of Commerce","Agency Overall","2023","906","1083"
"Department of Defense","Agency Overall","2023","18567","19882"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2023","0","1"
"Department of the Interior","Agency Overall","2023","4808","4320"
"National Archives and Records Administration","Agency Overall","2023","9969","6410"
"Department of Labor","Agency Overall","2023","1306","1468"
"U.S. Interagency Council on Homelessness","Agency Overall","2023","0","0"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2023","0","1"
"Office of Science and Technology Policy","Agency Overall","2023","157","172"
"Advisory Council on Historic Preservation","Agency Overall","2023","1","15"
"U.S. International Development Finance Corporation","Agency Overall","2023","54","66"
"Office of Special Counsel","Agency Overall","2023","1","20"
"Federal Open Market Committee","Agency Overall","2023","0","0"
"Department of Agriculture","Agency Overall","2023","1991","1972"
"Environmental Protection Agency","Agency Overall","2023","1537","1318"
"Millennium Challenge Corporation","Agency Overall","2023","0","8"
"Appraisal Subcommittee","Agency Overall","2023","0","0"
"Federal Maritime Commission","Agency Overall","2023","8","7"
"Farm Credit System Insurance Corporation","Agency Overall","2023","0","0"
"General Services Administration","Agency Overall","2023","249","396"
"Federal Financial Institutions Examination Council","Agency Overall","2023","0","1"
"Defense Nuclear Facilities Safety Board","Agency Overall","2023","2","2"
"Neighborhood Reinvestment Corporation","Agency Overall","2023","0","7"
"Inter-American Foundation","Agency Overall","2023","0","2"
"Export-Import Bank of the U.S.","Agency Overall","2023","14","22"
"Office of the United States Trade Representative","Agency Overall","2023","1","6"
"Central Intelligence Agency","Agency Overall","2023","3005","3844"
"U.S. Department of State","Agency Overall","2023","18765","21619"
"Federal Election Commission","Agency Overall","2023","4","1"
"United States Trade and Development Agency","Agency Overall","2023","49","14"
"Merit Systems Protection Board","Agency Overall","2023","62","96"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2023","0","3"
"Federal Retirement Thrift Investment Board","Agency Overall","2023","3","26"
"Legal Services Corporation","Agency Overall","2023","0","1"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2023","4","8"
"United States Postal Service","Agency Overall","2023","85","136"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2023","70","70"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2023","13","9"
"National Credit Union Administration","Agency Overall","2023","0","0"
"National Council on Disability","Agency Overall","2023","0","2"
"Council on Environmental Quality","Agency Overall","2023","43","27"
"Federal Permitting Improvement Steering Council","Agency Overall","2023","1","0"
"Surface Transportation Board","Agency Overall","2023","0","0"
"Social Security Advisory Board","Agency Overall","2023","0","2"
"Selective Service System","Agency Overall","2023","0","0"
"American Battle Monuments Commission","Agency Overall","2023","0","0"
"U.S. Commission for the Preservation of America’s Heritage Abroad","Agency Overall","2023","0","1"
"United States Institute of Peace","Agency Overall","2023","2","7"
"United States International Boundary and Water Commission","Agency Overall","2023","37","54"
"United States Copyright Office","Agency Overall","2023","4","6"
"U.S. Railroad Retirement Board","Agency Overall","2023","0","0"
"National Labor Relations Board","Agency Overall","2023","18","6"
"National Capital Planning Commission","Agency Overall","2023","0","0"
"U.S. Commission on Civil Rights","Agency Overall","2023","0","0"
"Federal Deposit Insurance Corporation","Agency Overall","2023","8","123"
"United States International Trade Commission","Agency Overall","2023","14","17"
"Equal Employment Opportunity Commission","Agency Overall","2023","53","506"
"Department of Transportation","Agency Overall","2023","5362","5913"
"Department of Justice","Agency Overall","2023","64982","43927"
"National Aeronautics and Space Administration","Agency Overall","2023","38","32"
"United States African Development Foundation","Agency Overall","2023","0","0"
"Denali Commission","Agency Overall","2023","0","0"
"Pension Benefit Guaranty Corporation","Agency Overall","2023","0","0"
"Postal Regulatory Commission","Agency Overall","2023","0","7"
"National Mediation Board","Agency Overall","2023","0","0"
"U.S. Agency for International Development","Agency Overall","2023","408","401"
"Department of Health and Human Services","Agency Overall","2023","11320","11256"
"Harry S. Truman Scholarship Foundation","Agency Overall","2023","0","0"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2023","0","0"
"Federal Mine Safety and Health Review Commission","Agency Overall","2023","1","3"
"Department of Education","Agency Overall","2023","1557","1978"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2023","21","40"
"Department of Housing and Urban Development","Agency Overall","2023","626","555"
"Tennessee Valley Authority","Agency Overall","2023","17","35"
"Department of the Treasury","Agency Overall","2023","2381","2468"
"Marine Mammal Commission","Agency Overall","2023","5","4"
"Securities and Exchange Commission","Agency Overall","2023","485","819"
"Federal Trade Commission","Agency Overall","2023","23","37"
"Consumer Financial Protection Bureau","Agency Overall","2023","48","37"
"James Madison Memorial Fellowship Foundation","Agency Overall","2023","0","5"
"Office of the National Cyber Director","Agency Overall","2023","0","0"
"Armed Forces Retirement Home","Agency Overall","2023","0","1"
"United States Access Board","Agency Overall","2023","0","1"
"National Endowment for the Arts","Agency Overall","2023","0","0"
"Commission of Fine Arts","Agency Overall","2023","0","0"
"Office of the Director of National Intelligence","Agency Overall","2023","551","658"
"Federal Communications Commission","Agency Overall","2023","33","35"
"Federal Energy Regulatory Commission","Agency Overall","2023","42","94"
"Federal Labor Relations Authority","Agency Overall","2023","34","35"
"Office of the Intellectual Property Enforcement Coordinator","Agency Overall","2023","0","0"
"Small Business Administration","Agency Overall","2023","469","784"
"U.S. Agency for Global Media","Agency Overall","2023","84","7"
"Presidio Trust","Agency Overall","2023","0","0"
"Federal Housing Finance Agency","Agency Overall","2023","35","51"
"Office of Government Ethics","Agency Overall","2023","5","0"
"All agencies","Agency Overall","2023","191489","200843"
