"Agency","Component","Fiscal Year","<1-20 Days","21-40 Days","41-60 Days","61-80 Days","81-100 Days","101-120 Days","121-140 Days","141-160 Days","161-180 Days","181-200 Days","201-300 Days","301-400 Days","401+ Days","Total"
"Federal Reserve System","Agency Overall","2023","60","99","49","30","11","6","9","8","6","3","1","1","0","283"
"Federal Mediation and Conciliation Service","Agency Overall","2023","1","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Commodity Futures Trading Commission","Agency Overall","2023","51","17","6","4","2","0","1","3","6","3","1","1","0","95"
"Consumer Product Safety Commission","Agency Overall","2023","138","69","48","34","50","30","7","11","5","4","7","20","258","681"
"Administrative Conference of the United States","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Farm Credit Administration","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Nuclear Regulatory Commission","Agency Overall","2023","21","6","3","6","1","2","3","3","1","2","3","1","7","59"
"National Transportation Safety Board","Agency Overall","2023","14","16","7","6","4","5","5","6","11","1","39","48","15","177"
"Department of Veterans Affairs","Agency Overall","2023","4777","2157","486","248","184","440","1309","569","33","19","16","66","62","10366"
"Department of Homeland Security","Agency Overall","2023","216385","147513","21026","23937","23112","18249","9580","6754","7074","3985","12520","1665","2049","493849"
"Office of Management and Budget","Agency Overall","2023","47","9","11","3","1","0","0","1","0","0","0","0","73","145"
"Social Security Administration","Agency Overall","2023","98","80","63","24","30","12","15","17","12","13","27","7","3","401"
"U.S. Election Assistance Commission","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of Personnel Management","Agency Overall","2023","1","6","1","2","1","1","0","1","1","0","7","2","23","46"
"National Indian Gaming Commission","Agency Overall","2023","0","2","5","0","0","0","0","0","0","0","0","0","1","8"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2023","0","8","0","1","0","8","4","0","0","0","0","0","0","21"
"Peace Corps","Agency Overall","2023","6","6","5","0","5","3","7","2","2","1","6","0","13","56"
"Court Services and Offender Supervision Agency","Agency Overall","2023","140","0","0","0","0","0","0","0","0","0","0","0","0","140"
"Office of National Drug Control Policy","Agency Overall","2023","0","2","0","0","0","0","0","0","0","0","1","0","2","5"
"Department of Energy","Agency Overall","2023","110","73","53","64","46","38","22","28","25","20","80","43","102","704"
"National Endowment for the Humanities","Agency Overall","2023","0","1","3","1","0","0","0","0","0","0","0","0","0","5"
"National Railroad Passenger Corporation","Agency Overall","2023","11","0","1","3","1","1","0","2","0","2","6","13","112","152"
"Occupational Safety and Health Review Commission","Agency Overall","2023","0","4","2","1","0","0","0","1","0","0","0","0","0","8"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2023","26","15","4","1","0","0","0","0","0","0","0","0","0","46"
"Institute of Museum and Library Services","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Science Foundation","Agency Overall","2023","15","24","19","22","5","3","2","2","1","0","2","2","1","98"
"Department of Commerce","Agency Overall","2023","38","59","34","25","27","8","19","8","11","16","26","9","66","346"
"Department of Defense","Agency Overall","2023","7277","4444","2310","1068","745","577","503","608","322","252","1061","669","2680","22516"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of the Interior","Agency Overall","2023","474","254","155","104","69","65","51","42","35","33","108","58","519","1967"
"National Archives and Records Administration","Agency Overall","2023","103","48","43","94","11","25","19","25","10","7","32","23","3116","3556"
"Department of Labor","Agency Overall","2023","3457","732","311","170","127","100","69","40","25","31","89","77","149","5377"
"U.S. Interagency Council on Homelessness","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of Science and Technology Policy","Agency Overall","2023","10","1","0","0","1","4","0","1","0","1","2","0","5","25"
"Advisory Council on Historic Preservation","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"U.S. International Development Finance Corporation","Agency Overall","2023","1","0","0","1","0","0","0","0","0","0","0","1","0","3"
"Office of Special Counsel","Agency Overall","2023","1","3","5","3","0","0","0","0","0","0","1","0","0","13"
