"Agency","Component","Fiscal Year","Number Received During Fiscal Year from Last Year's Annual Report","Number Received During Fiscal Year from Current Annual Report","Number Processed During Fiscal Year from Last Year's Annual Report","Number Processed During Fiscal Year from Current Annual Report"
"Federal Reserve System","Agency Overall","2023","40","37","41","37"
"Federal Mediation and Conciliation Service","Agency Overall","2023","3","2","3","2"
"Commodity Futures Trading Commission","Agency Overall","2023","11","7","11","8"
"Consumer Product Safety Commission","Agency Overall","2023","16","14","16","14"
"Administrative Conference of the United States","Agency Overall","2023","0","0","0","0"
"Farm Credit Administration","Agency Overall","2023","1","0","1","0"
"Nuclear Regulatory Commission","Agency Overall","2023","8","7","9","7"
"National Transportation Safety Board","Agency Overall","2023","14","18","13","19"
"Department of Veterans Affairs","Agency Overall","2023","386","431","257","347"
"Department of Homeland Security","Agency Overall","2023","7394","6050","7374","6124"
"Office of Management and Budget","Agency Overall","2023","3","8","10","10"
"Social Security Administration","Agency Overall","2023","792","951","774","957"
"U.S. Election Assistance Commission","Agency Overall","2023","2","6","2","6"
"Office of Personnel Management","Agency Overall","2023","12","7","9","3"
"National Indian Gaming Commission","Agency Overall","2023","0","0","0","0"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2023","1","0","1","0"
"Peace Corps","Agency Overall","2023","7","3","7","3"
"Court Services and Offender Supervision Agency","Agency Overall","2023","1","0","1","0"
"Office of National Drug Control Policy","Agency Overall","2023","1","0","1","0"
"Department of Energy","Agency Overall","2023","29","27","29","28"
"National Endowment for the Humanities","Agency Overall","2023","4","1","3","2"
"National Railroad Passenger Corporation","Agency Overall","2023","4","9","3","2"
"Occupational Safety and Health Review Commission","Agency Overall","2023","0","0","0","0"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2023","0","0","0","0"
"Institute of Museum and Library Services","Agency Overall","2023","0","0","0","0"
"National Science Foundation","Agency Overall","2023","6","1","5","2"
"Department of Commerce","Agency Overall","2023","63","82","28","29"
"Department of Defense","Agency Overall","2023","1252","1108","1257","1247"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2023","0","0","0","0"
"Department of the Interior","Agency Overall","2023","229","205","273","299"
"National Archives and Records Administration","Agency Overall","2023","81","121","22","64"
"Department of Labor","Agency Overall","2023","185","199","192","201"
"U.S. Interagency Council on Homelessness","Agency Overall","2023","0","0","0","0"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2023","0","0","0","0"
"Office of Science and Technology Policy","Agency Overall","2023","0","1","0","1"
"Advisory Council on Historic Preservation","Agency Overall","2023","1","0","1","0"
