"Agency","Component","Fiscal Year","Simple - Median Number of Days","Simple - Average Number of Days","Simple - Lowest Number of Days","Simple - Highest Number of Days","Complex - Median Number of Days","Complex - Average Number of Days","Complex - Lowest Number of Days","Complex - Highest Number of Days","Expedited Processing - Median Number of Days","Expedited Processing - Average Number of Days","Expedited Processing - Lowest Number of Days","Expedited Processing - Highest Number of Days"
"Federal Reserve System","Agency Overall","2023","4","6","<1","39","36","51","2","387","101","136","2","479"
"Federal Mediation and Conciliation Service","Agency Overall","2023","13.5","14.4","<1","39","11","11","11","11","N/A","N/A","N/A","N/A"
"Commodity Futures Trading Commission","Agency Overall","2023","2","4.38","<1","47","19","47.73","<1","398","N/A","N/A","N/A","N/A"
"Consumer Product Safety Commission","Agency Overall","2023","13","199.98","<1","1179","101","344.7","<1","1549","8","14","3","31"
"Administrative Conference of the United States","Agency Overall","2023","1","1.48","<1","5","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Farm Credit Administration","Agency Overall","2023","10","8","0","20","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Nuclear Regulatory Commission","Agency Overall","2023","6","13.9","1","91","42","139.69","1","1101","11","11","9","13"
"National Transportation Safety Board","Agency Overall","2023","8","41.46","<1","472","240","222.68","1","615","N/A","N/A","N/A","N/A"
"Department of Veterans Affairs","Agency Overall","2023","1","23","1","1737","2","44","1","2321","19","65","1","687"
"Department of Homeland Security","Agency Overall","2023","2","5","<1","38","94","104","<1","2484","92","157","<1","720"
"Office of Management and Budget","Agency Overall","2023","174","344","1","978","852","615","1","1627","151","234","88","529"
"Social Security Administration","Agency Overall","2023","11","26","1","219","48","79","1","525","N/A","N/A","N/A","N/A"
"U.S. Election Assistance Commission","Agency Overall","2023","318","274","1","640","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Office of Personnel Management","Agency Overall","2023","60","42.74","2","779","307","417.52","25","1833","N/A","N/A","N/A","N/A"
"National Indian Gaming Commission","Agency Overall","2023","4","6","1","22","49","102","31","502","N/A","N/A","N/A","N/A"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2023","26","25","7","40","116","82","23","128","N/A","N/A","N/A","N/A"
"Peace Corps","Agency Overall","2023","5","42.4","1","1620","118","238.5","4","1631","11","11","11","11"
"Court Services and Offender Supervision Agency","Agency Overall","2023","1","3","1","20","19","17","1","20","N/A","N/A","N/A","N/A"
"Office of National Drug Control Policy","Agency Overall","2023","7","8","1","20","201","258","26","514","N/A","N/A","N/A","N/A"
"Department of Energy","Agency Overall","2023","16","40.03","<1","1133","99","207.51","<1","1798","78.50","279","5","813"
"National Endowment for the Humanities","Agency Overall","2023","15","13.27","2","20","50","48.6","23","63","N/A","N/A","N/A","N/A"
"National Railroad Passenger Corporation","Agency Overall","2023","13","78.71","<1","1188","29","247.99","<1","1620","10","130.4","1","544"
"Occupational Safety and Health Review Commission","Agency Overall","2023","1","3.9","1","18","37.5","52.8","30","149","53","53","53","53"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2023","N/A","N/A","N/A","N/A","2","2","1","3","N/A","N/A","N/A","N/A"
"Institute of Museum and Library Services","Agency Overall","2023","11.5","12.45","1","22","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"National Science Foundation","Agency Overall","2023","14","102","1","1451","50","66","1","469","N/A","N/A","N/A","N/A"
"Department of Commerce","Agency Overall","2023","19","59.33","<1","1300","93","216.83","<1","1535","73","196.76","<1","1009"
"Department of Defense","Agency Overall","2023","7.5","28.38","1","2508","48.5","254.08","1","4296","25","186.79","1","1278"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2023","6","5.7","1","10","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Department of the Interior","Agency Overall","2023","27","148","<1","1789","82","312","<1","1915","37","221","<1","1889"
"National Archives and Records Administration","Agency Overall","2023","4","17","1","2074","897","1330","1","5947","318","317","317","318"
"Department of Labor","Agency Overall","2023","9.00","24.51","<1","1457","12.00","50.10","<1","1669","10.00","32.37","1","335"
"U.S. Interagency Council on Homelessness","Agency Overall","2023","10","10","10","10","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2023","6","8.8","1","36","N/A","N/A","N/A","N/A","N/A","N.A","N/A","N/A"
"Office of Science and Technology Policy","Agency Overall","2023","11","223.05","1","1140","20","197.6","2","1048","N/A","N/A","N/A","N/A"
"Advisory Council on Historic Preservation","Agency Overall","2023","60","70","10","260","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"U.S. International Development Finance Corporation","Agency Overall","2023","17","28.08","2","328","67","134.33","8","328","N/A","N/A","N/A","N/A"
"Office of Special Counsel","Agency Overall","2023","10","16.45","<1","69","45","57.15","7","204","27.5","41","<1","109"
"Federal Open Market Committee","Agency Overall","2023","2.5","3.9","<1","16","105","91","36","120","N/A","N/A","N/A","N/A"
"Department of Agriculture","Agency Overall","2023","<1","22.76","<1","1197","81","221.21","<1","1608","9","57.52","<1","856"
"Environmental Protection Agency","Agency Overall","2023","18.0","49.47","<1","1951","54.0","235.1","<1","2078","57.0","499.57","25","1614"
"Millennium Challenge Corporation","Agency Overall","2023","16","23","1","72","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Appraisal Subcommittee","Agency Overall","2023","11","11.5","1","25","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Federal Maritime Commission","Agency Overall","2023","19","29.7","0","222","89","152.85","43","375","N/A","N/A","N/A","N/A"
"Farm Credit System Insurance Corporation","Agency Overall","2023","6","8","1","20","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"General Services Administration","Agency Overall","2023","18.0","43.61","1","536","66.5","167.94","1","1105","91.0","189.09","1","980"
"Federal Financial Institutions Examination Council","Agency Overall","2023","13","14.7","2","52","22","22","22","22","N/A","N/A","N/A","N/A"
"Defense Nuclear Facilities Safety Board","Agency Overall","2023","11","24","1","139","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Neighborhood Reinvestment Corporation","Agency Overall","2023","27","33","4","83","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Inter-American Foundation","Agency Overall","2023","10","9.95","1","41","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Export-Import Bank of the U.S.","Agency Overall","2023","15","33.59","<1","237","64","172.54","<1","942","N/A","N/A","N/A","N/A"
"Office of the United States Trade Representative","Agency Overall","2023","19","22","2","90","57","74","44","156","18","14","3","20"
"Central Intelligence Agency","Agency Overall","2023","14","28.87","<1","158","143","339.75","14","3189","173.5","173.5","75","272"
"U.S. Department of State","Agency Overall","2023","60","150.1","<1","1859","43.5","160.95","<1","4206","50.5","350.27","10","2372"
"Federal Election Commission","Agency Overall","2023","N/A","N/A","N/A","N/A","8","29","2","1211","N/A","N/A","N/A","N/A"
"United States Trade and Development Agency","Agency Overall","2023","391","636.3","1","2123","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Merit Systems Protection Board","Agency Overall","2023","2","5.91","<1","126","70","154.07","8","1492","N/A","N/A","N/A","N/A"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2023","14","14","5","24","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Federal Retirement Thrift Investment Board","Agency Overall","2023","30","43","4","246","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Legal Services Corporation","Agency Overall","2023","20.0","23.93","2","60","34","34","16","52","N/A","N/A","N/A","N/A"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2023","19","27","<1","172","44.5","42","1","101","N/A","N/A","N/A","N/A"
"United States Postal Service","Agency Overall","2023","2","11.9","<1","528","37","153.48","<1","782","4.5","81088","<1","549"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2023","83","82.08","13","150","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2023","7","10","0","36","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"National Credit Union Administration","Agency Overall","2023","13.5","12.28","<1","20","29","26.47","10","54","N/A","N/A","N/A","N/A"
"National Council on Disability","Agency Overall","2023","21","16","3","47","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Council on Environmental Quality","Agency Overall","2023","25","107.17","1","1196","235","511.85","35","1271","N/A","N/A","N/A","N/A"
"Federal Permitting Improvement Steering Council","Agency Overall","2023","28","28","2","51","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Surface Transportation Board","Agency Overall","2023","1","2.65","1","33","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Social Security Advisory Board","Agency Overall","2023","10","10","1","15","N/A","N/A","N/A","N/A","n/a","n/a","N/A","N/A"
"Selective Service System","Agency Overall","2023","3","4","1","10","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"American Battle Monuments Commission","Agency Overall","2023","15","14","6","20","28","29","21","39","N/A","N/A","N/A","N/A"
"U.S. Commission for the Preservation of America’s Heritage Abroad","Agency Overall","2023","5","9","1","54","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"United States Institute of Peace","Agency Overall","2023","43","32","5","49","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"United States International Boundary and Water Commission","Agency Overall","2023","35","38.4","1","109","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"United States Copyright Office","Agency Overall","2023","41","27","14","68","541","285","21","1061","N/A","N/A","N/A","N/A"
"U.S. Railroad Retirement Board","Agency Overall","2023","5","15","<1","286","N/A","N/A","N/A","N/A","0","0","N/A","N/A"
"National Labor Relations Board","Agency Overall","2023","5","11.28","<1","331","N/A","N/A","N/A","N/A","2","6.08","<1","198"
"National Capital Planning Commission","Agency Overall","2023","6","5.9","1","19","21","21","21","21","N/A","N/A","N/A","N/A"
"U.S. Commission on Civil Rights","Agency Overall","2023","5","6","2","14","45","43","5","63","N/A","N/A","N/A","N/A"
"Federal Deposit Insurance Corporation","Agency Overall","2023","12.00","16.93","1","118","30.00","45.41","5","606","32.00","79.00","11","907"
"United States International Trade Commission","Agency Overall","2023","19","23.15","1","26","32","75.6","1","247","N/A","N/A","N/A","N/A"
"Equal Employment Opportunity Commission","Agency Overall","2023","6","10.15","<1","1156","10","15.27","<1","1166","12","12","12","12"
"Department of Transportation","Agency Overall","2023","19.00","64.55","<1","2434","116.00","272.98","<1","2155","373.50","600.43","2","1852"
"Department of Justice","Agency Overall","2023","85","159.86","<1","1803","67","299.97","<1","2635","84","240.03","<1","2511"
"National Aeronautics and Space Administration","Agency Overall","2023","2","7.61","<1","327","13","33.30","<1","383","27.5","27.5","24","31"
"United States African Development Foundation","Agency Overall","2023","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Denali Commission","Agency Overall","2023","4","5","1","13","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Pension Benefit Guaranty Corporation","Agency Overall","2023","16","14.59","1","26","14","13.21","1","68","N/A","N/A","N/A","N/A"
"Postal Regulatory Commission","Agency Overall","2023","2","4","1","48","N/A","N/A","N/A","N/A","11","11","2","20"
"National Mediation Board","Agency Overall","2023","4","6","1","30","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"U.S. Agency for International Development","Agency Overall","2023","n/a","n/a","N/A","N/A","93","267.17","<1","1211","752","752","676","828"
"Department of Health and Human Services","Agency Overall","2023","10.35","21.13","<1","1502","42.51","97.21","<1","2378","345.35","424.89","<1","1841"
"Harry S. Truman Scholarship Foundation","Agency Overall","2023","13","16","1","57","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2023","1","1","1","1","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Federal Mine Safety and Health Review Commission","Agency Overall","2023","2","3.45","1","14","12.5","113.5","10","419","N/A","N/A","N/A","N/A"
"Department of Education","Agency Overall","2023","5.00","46.54","<1","900","20.00","117.83","<1","1513","72.50","72.50","17","128"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2023","1","4.88","1","50","116","199.75","29","1381","N/A","N/A","N/A","N/A"
"Department of Housing and Urban Development","Agency Overall","2023","15.00","36.48","<1","968","32.00","135.49","<1","1692","21.50","28.54","<1","96"
"Tennessee Valley Authority","Agency Overall","2023","16","16.8","1","120","52","95.2","7","370","6.5","6.5","5","8"
"Department of the Treasury","Agency Overall","2023","2.00","12.04","<1","1371","163.00","451.41","<1","1810","26.00","246.00","9","1386"
"Marine Mammal Commission","Agency Overall","2023","10","11","1","301","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Securities and Exchange Commission","Agency Overall","2023","4","5.9","<1","20","27","62.25","<1","880","51","51","19","83"
"Federal Trade Commission","Agency Overall","2023","3.00","5.73","<1","101","14.00","25.62","<1","266","6.50","16.87","<1","150"
"Consumer Financial Protection Bureau","Agency Overall","2023","4","9.63","<1","94","48","77.53","1","878","N/A","N/A","N/A","N/A"
"James Madison Memorial Fellowship Foundation","Agency Overall","2023","33","40.75","8","89","N/a","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Office of the National Cyber Director","Agency Overall","2023","<1","<1","<1","<1","69","69","44","94","N/A","N/A","N/A","N/A"
"Armed Forces Retirement Home","Agency Overall","2023","37","43","24","118","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"United States Access Board","Agency Overall","2023","17","15","<1","42","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"National Endowment for the Arts","Agency Overall","2023","16","15","3","28","31","29","19","35","N/A","N/A","N/A","N/A"
"Commission of Fine Arts","Agency Overall","2023","24","24","1","43","154","154","154","154","N/A","N/A","N/A","N/A"
"Office of the Director of National Intelligence","Agency Overall","2023","11","23.56","0","1386","84","308.32","1","2202","53.5","53.5","47","60"
"Federal Communications Commission","Agency Overall","2023","17.0","16.08","<1","60","99.0","177.44","26","898","20.0","48.4","1","568"
"Federal Energy Regulatory Commission","Agency Overall","2023","22","25","1","57","30","45","3","253","N/A","N/A","N/A","N/A"
"Federal Labor Relations Authority","Agency Overall","2023","19","54","1","422","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Office of the Intellectual Property Enforcement Coordinator","Agency Overall","2023","5.5","6.02","1","15","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Small Business Administration","Agency Overall","2023","15","52","<1","466","N/A","N/A","N/A","N/A","<1","11","<1","19"
"U.S. Agency for Global Media","Agency Overall","2023","16","40","<1","277","117","156","14","452","N/A","N/A","N/A","N/A"
"Presidio Trust","Agency Overall","2023","19","19","1","36","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Federal Housing Finance Agency","Agency Overall","2023","8.75","25.66","1","441","56.75","77.09","8","484","N/A","N/A","N/A","N/A"
"Office of Government Ethics","Agency Overall","2023","4","24.9","1","512","N/A","N/A","N/A","N/A","6","6.4","1","20"
