"Agency","Component","Fiscal Year","Number of Appeals Pending as of Start of Fiscal Year","Number of Appeals Received in Fiscal Year","Number of Appeals Processed in Fiscal Year","Number of Appeals Pending as of End of Fiscal Year"
"Merit Systems Protection Board","Agency Overall","2016","0","11","7","4"
"Department of the Interior","Agency Overall","2016","240","188","91","337"
"Surface Transportation Board","Agency Overall","2016","0","1","1","0"
"Armed Forces Retirement Home","Agency Overall","2016","0","1","1","0"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2016","0","2","2","0"
"Court Services and Offender Supervision Agency","Agency Overall","2016","0","0","0","0"
"Securities and Exchange Commission","Agency Overall","2016","17","653","667","3"
"United States Copyright Office","Agency Overall","2016","0","0","0","0"
"Environmental Protection Agency","Agency Overall","2016","183","193","250","126"
"Federal Housing Finance Agency","Agency Overall","2016","1","15","16","0"
"Denali Commission","Agency Overall","2016","0","0","0","0"
"U.S. Agency for International Development","Agency Overall","2016","6","17","17","6"
"Occupational Safety and Health Review Commission","Agency Overall","2016","0","0","0","0"
"Neighborhood Reinvestment Corporation","Agency Overall","2016","0","0","0","0"
"Social Security Advisory Board","Agency Overall","2016","0","0","0","0"
"Commodity Futures Trading Commission","Agency Overall","2016","0","6","6","0"
"National Mediation Board","Agency Overall","2016","0","0","0","0"
"Federal Maritime Commission","Agency Overall","2016","0","0","0","0"
"United States African Development Foundation","Agency Overall","2016","0","0","0","0"
"U.S. Railroad Retirement Board","Agency Overall","2016","0","0","0","0"
"National Indian Gaming Commission","Agency Overall","2016","0","4","3","1"
"Department of Education","Agency Overall","2016","73","96","128","41"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2016","0","0","0","0"
"National Transportation Safety Board","Agency Overall","2016","4","7","5","6"
"United States Postal Service","Agency Overall","2016","28","213","230","0"
"United States International Trade Commission","Agency Overall","2016","0","0","0","0"
"Federal Mediation and Conciliation Service","Agency Overall","2016","0","0","0","0"
"Nuclear Regulatory Commission","Agency Overall","2016","6","176","166","16"
"United States Trade and Development Agency","Agency Overall","2016","0","0","0","0"
"Appraisal Subcommittee","Agency Overall","2016","0","0","0","0"
"Federal Communications Commission","Agency Overall","2016","13","31","29","15"
"Inter-American Foundation","Agency Overall","2016","0","0","0","0"
"National Archives and Records Administration","Agency Overall","2016","105","98","45","158"
"Federal Trade Commission","Agency Overall","2016","1","26","27","0"
"Harry S. Truman Scholarship Foundation","Agency Overall","2016","0","0","0","0"
"U.S. Interagency Council on Homelessness","Agency Overall","2016","0","0","0","0"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2016","0","0","0","0"
"Overseas Private Investment Corporation","Agency Overall","2016","0","4","4","0"
"Selective Service System","Agency Overall","2016","0","0","0","0"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2016","0","0","0","0"
"Central Intelligence Agency","Agency Overall","2016","131","146","156","121"
"Equal Employment Opportunity Commission","Agency Overall","2016","13","272","270","15"
"Department of Veterans Affairs","Agency Overall","2016","291","423","462","252"
"James Madison Memorial Fellowship Foundation","Agency Overall","2016","0","0","0","0"
"Marine Mammal Commission","Agency Overall","2016","0","0","0","0"
"Office of the United States Trade Representative","Agency Overall","2016","1","5","6","0"
"Federal Mine Safety and Health Review Commission","Agency Overall","2016","0","0","0","0"
"National Capital Planning Commission","Agency Overall","2016","0","0","0","0"
"Office of Personnel Management","Agency Overall","2016","17","74","37","54"
"Department of Defense","Agency Overall","2016","812","1074","790","1096"
"Defense Nuclear Facilities Safety Board","Agency Overall","2016","0","2","2","0"
"Postal Regulatory Commission","Agency Overall","2016","0","0","0","0"
"Office of National Drug Control Policy","Agency Overall","2016","0","1","1","0"
"National Credit Union Administration","Agency Overall","2016","0","0","0","0"
"U.S. Commission on Civil Rights","Agency Overall","2016","0","0","0","0"
"United States Access Board","Agency Overall","2016","0","1","1","0"
"National Endowment for the Humanities","Agency Overall","2016","0","0","0","0"
"Department of Housing and Urban Development","Agency Overall","2016","12","83","78","17"
"United States International Boundary and Water Commission","Agency Overall","2016","0","0","0","0"
"U.S. Agency for Global Media","Agency Overall","2016","0","2","2","0"
"National Science Foundation","Agency Overall","2016","0","4","4","0"
"Department of Agriculture","Agency Overall","2016","429","325","192","562"
