"Agency","Component","Fiscal Year","Number of Full Grants","Number of Partial Grants/Partial Denials","Number of Full Denials Based on Exemptions","No Records","All Records Referred to Another Component or Agency","Request Withdrawn","Fee-Related Reason","Records Not Reasonably Described","Improper FOIA Request for Other Reason","Not Agency Record","Duplicate Request","Other*","Total"
"Merit Systems Protection Board","Agency Overall","2016","49","53","3","37","0","9","0","5","2","1","7","2","168"
"Department of the Interior","Agency Overall","2016","2392","1800","206","883","56","369","140","105","85","28","78","295","6437"
"Surface Transportation Board","Agency Overall","2016","15","1","0","11","2","0","1","0","4","0","0","0","34"
"Armed Forces Retirement Home","Agency Overall","2016","7","3","0","2","0","0","0","2","0","0","1","0","15"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2016","0","2","0","6","0","0","0","0","0","0","0","0","8"
"Court Services and Offender Supervision Agency","Agency Overall","2016","88","516","1","19","0","15","2","0","7","0","3","0","651"
"Securities and Exchange Commission","Agency Overall","2016","3969","987","2170","6557","51","204","635","68","81","77","234","163","15196"
"United States Copyright Office","Agency Overall","2016","10","0","1","5","3","0","3","2","1","0","2","0","27"
"Environmental Protection Agency","Agency Overall","2016","5179","767","67","3062","24","820","73","114","95","21","257","19","10498"
"Federal Housing Finance Agency","Agency Overall","2016","15","51","23","43","3","32","10","0","1","1","3","0","182"
"Denali Commission","Agency Overall","2016","0","0","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Agency for International Development","Agency Overall","2016","67","106","7","45","0","101","0","0","11","11","4","2","354"
"Occupational Safety and Health Review Commission","Agency Overall","2016","23","11","2","14","0","15","0","1","1","0","0","0","67"
"Neighborhood Reinvestment Corporation","Agency Overall","2016","0","1","0","0","0","0","0","0","0","0","0","0","1"
"Social Security Advisory Board","Agency Overall","2016","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Commodity Futures Trading Commission","Agency Overall","2016","41","55","17","35","13","0","0","4","0","1","1","1","168"
"National Mediation Board","Agency Overall","2016","14","1","1","8","1","0","0","0","0","0","1","0","26"
"Federal Maritime Commission","Agency Overall","2016","10","13","1","10","1","1","0","0","0","0","0","0","36"
"United States African Development Foundation","Agency Overall","2016","1","0","0","3","0","0","0","0","0","0","0","0","4"
"U.S. Railroad Retirement Board","Agency Overall","2016","74","2","3","11","2","0","3","0","0","2","0","0","97"
"National Indian Gaming Commission","Agency Overall","2016","10","10","0","4","0","2","0","0","0","0","0","0","26"
"Department of Education","Agency Overall","2016","511","1063","181","178","4","136","23","1","0","168","42","0","2307"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2016","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Transportation Safety Board","Agency Overall","2016","31","45","80","28","0","53","0","0","0","27","8","0","272"
"United States Postal Service","Agency Overall","2016","567","529","595","399","179","100","41","63","170","73","17","1","2734"
"United States International Trade Commission","Agency Overall","2016","9","6","3","11","0","0","0","0","0","0","0","0","29"
"Federal Mediation and Conciliation Service","Agency Overall","2016","26","1","0","25","0","2","0","4","2","2","0","0","62"
"Nuclear Regulatory Commission","Agency Overall","2016","278","189","31","130","3","26","62","10","5","3","16","0","753"
"United States Trade and Development Agency","Agency Overall","2016","7","3","2","15","0","3","0","0","0","0","0","0","30"
"Appraisal Subcommittee","Agency Overall","2016","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Communications Commission","Agency Overall","2016","140","379","16","168","0","103","13","8","1","32","14","19","893"
"Inter-American Foundation","Agency Overall","2016","5","0","0","5","0","0","0","0","0","0","0","0","10"
"National Archives and Records Administration","Agency Overall","2016","1013","1810","22","46633","27","153","6","38","79","16","116","292","50205"
"Federal Trade Commission","Agency Overall","2016","326","528","68","183","2","33","27","18","19","4","28","22","1258"
"Harry S. Truman Scholarship Foundation","Agency Overall","2016","0","0","0","1","0","0","0","0","0","0","0","0","1"
