"Agency","Component","Fiscal Year","Number of Backlogged Requests as of End of the Fiscal Year from Previous Annual Report","Number of Backlogged Requests as of End of the Fiscal Year from Current Annual Report"
"Merit Systems Protection Board","Agency Overall","2016","44","69"
"Department of the Interior","Agency Overall","2016","555","677"
"Surface Transportation Board","Agency Overall","2016","0","0"
"Armed Forces Retirement Home","Agency Overall","2016","0","0"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2016","0","0"
"Court Services and Offender Supervision Agency","Agency Overall","2016","21","1"
"Securities and Exchange Commission","Agency Overall","2016","434","90"
"United States Copyright Office","Agency Overall","2016","1","0"
"Environmental Protection Agency","Agency Overall","2016","1355","1284"
"Federal Housing Finance Agency","Agency Overall","2016","12","12"
"Denali Commission","Agency Overall","2016","0","0"
"U.S. Agency for International Development","Agency Overall","2016","304","318"
"Occupational Safety and Health Review Commission","Agency Overall","2016","0","0"
"Neighborhood Reinvestment Corporation","Agency Overall","2016","2","2"
"Social Security Advisory Board","Agency Overall","2016","0","0"
"Commodity Futures Trading Commission","Agency Overall","2016","53","16"
"National Mediation Board","Agency Overall","2016","0","0"
"Federal Maritime Commission","Agency Overall","2016","10","2"
"United States African Development Foundation","Agency Overall","2016","0","0"
"U.S. Railroad Retirement Board","Agency Overall","2016","10","11"
"National Indian Gaming Commission","Agency Overall","2016","17","39"
"Department of Education","Agency Overall","2016","265","381"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2016","0","0"
"National Transportation Safety Board","Agency Overall","2016","679","602"
"United States Postal Service","Agency Overall","2016","79","65"
"United States International Trade Commission","Agency Overall","2016","0","0"
"Federal Mediation and Conciliation Service","Agency Overall","2016","2","2"
"Nuclear Regulatory Commission","Agency Overall","2016","8","21"
"United States Trade and Development Agency","Agency Overall","2016","21","16"
"Appraisal Subcommittee","Agency Overall","2016","0","0"
"Federal Communications Commission","Agency Overall","2016","25","9"
"Inter-American Foundation","Agency Overall","2016","0","0"
"National Archives and Records Administration","Agency Overall","2016","4396","2932"
"Federal Trade Commission","Agency Overall","2016","8","12"
"Harry S. Truman Scholarship Foundation","Agency Overall","2016","0","0"
"U.S. Interagency Council on Homelessness","Agency Overall","2016","0","0"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2016","1","5"
"Overseas Private Investment Corporation","Agency Overall","2016","5","8"
"Selective Service System","Agency Overall","2016","0","0"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2016","0","0"
"Central Intelligence Agency","Agency Overall","2016","908","1256"
"Equal Employment Opportunity Commission","Agency Overall","2016","451","792"
"Department of Veterans Affairs","Agency Overall","2016","931","3278"
"James Madison Memorial Fellowship Foundation","Agency Overall","2016","0","0"
"Marine Mammal Commission","Agency Overall","2016","0","0"
"Office of the United States Trade Representative","Agency Overall","2016","15","23"
"Federal Mine Safety and Health Review Commission","Agency Overall","2016","0","0"
"National Capital Planning Commission","Agency Overall","2016","0","0"
"Office of Personnel Management","Agency Overall","2016","77","129"
"Department of Defense","Agency Overall","2016","9528","9235"
"Defense Nuclear Facilities Safety Board","Agency Overall","2016","1","0"
"Postal Regulatory Commission","Agency Overall","2016","0","0"
"Office of National Drug Control Policy","Agency Overall","2016","1","2"
"National Credit Union Administration","Agency Overall","2016","0","0"
"U.S. Commission on Civil Rights","Agency Overall","2016","0","1"
"United States Access Board","Agency Overall","2016","0","0"
"National Endowment for the Humanities","Agency Overall","2016","0","0"
"Department of Housing and Urban Development","Agency Overall","2016","250","328"
"United States International Boundary and Water Commission","Agency Overall","2016","1","0"
"U.S. Agency for Global Media","Agency Overall","2016","4","12"
"National Science Foundation","Agency Overall","2016","166","211"
"Department of Agriculture","Agency Overall","2016","1148","1493"
"American Battle Monuments Commission","Agency Overall","2016","0","0"
"Legal Services Corporation","Agency Overall","2016","3","0"
"Presidio Trust","Agency Overall","2016","0","0"
"Department of Labor","Agency Overall","2016","593","685"
"Federal Labor Relations Authority","Agency Overall","2016","0","0"
"Federal Open Market Committee","Agency Overall","2016","1","1"
