"Agency","Component","Fiscal Year","Simple - Median Number of Days","Simple - Average Number of Days","Simple - Lowest Number of Days","Simple - Highest Number of Days","Complex - Median Number of Days","Complex - Average Number of Days","Complex - Lowest Number of Days","Complex - Highest Number of Days","Expedited Processing - Median Number of Days","Expedited Processing - Average Number of Days","Expedited Processing - Lowest Number of Days","Expedited Processing - Highest Number of Days"
"Merit Systems Protection Board","Agency Overall","2016","18","58.94","<1","460","17","136.33","6","386","6","36.33","2","101"
"Department of the Interior","Agency Overall","2016","3","12","<1","506","19","46","<1","1208","15","30","<1","145"
"Surface Transportation Board","Agency Overall","2016","2","8.6","1","28","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Armed Forces Retirement Home","Agency Overall","2016","17","15","10","17","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2016","15","15","12","18","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Court Services and Offender Supervision Agency","Agency Overall","2016","18","20.65","<1","247","55","55","55","55","N/A","N/A","N/A","N/A"
"Securities and Exchange Commission","Agency Overall","2016","11","22.89","<1","669","227.5","347","118","815","2","2","2","2"
"United States Copyright Office","Agency Overall","2016","25","23","2","68","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Environmental Protection Agency","Agency Overall","2016","14","18.78","<1","548","58","162.86","<1","2011","34","185.48","<1","1678"
"Federal Housing Finance Agency","Agency Overall","2016","14.5","13.92","<1","44","42.5","50","11","128","N/A","N/A","N/A","N/A"
"Denali Commission","Agency Overall","2016","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"U.S. Agency for International Development","Agency Overall","2016","17","28.71","<1","250","179.5","299.61","4","1334","187","185.5","47","348"
"Occupational Safety and Health Review Commission","Agency Overall","2016","13","11.94","1","36","40","40","40","40","9","9","9","9"
"Neighborhood Reinvestment Corporation","Agency Overall","2016","N/A","N/A","N/A","N/A","289","289","289","289","N/A","N/A","N/A","N/A"
"Social Security Advisory Board","Agency Overall","2016","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Commodity Futures Trading Commission","Agency Overall","2016","53","83.21","3","291","143","225.09","7","733","N/A","N/A","N/A","N/A"
"National Mediation Board","Agency Overall","2016","18","15","<1","121","N/A","N/A","N/A","N/A","1","1","1","1"
"Federal Maritime Commission","Agency Overall","2016","4","5","3","8","22.5","172.4","3","933","27","27","16","38"
"United States African Development Foundation","Agency Overall","2016","17","17","17","17","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"U.S. Railroad Retirement Board","Agency Overall","2016","18","12.85","1","72","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"National Indian Gaming Commission","Agency Overall","2016","18","59.67","5","274","345","381.5","150","685","N/A","N/A","N/A","N/A"
"Department of Education","Agency Overall","2016","10","10.07","<1","29","46","72.39","15","995","54","54","54","54"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2016","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"National Transportation Safety Board","Agency Overall","2016","406.5","334.08","<1","571","485","490.19","4","983","41","41","41","41"
"United States Postal Service","Agency Overall","2016","18","21","1","390","27","59","1","1331","12","14","4","29"
"United States International Trade Commission","Agency Overall","2016","15","14","5","20","28","28","26","30","N/A","N/A","N/A","N/A"
"Federal Mediation and Conciliation Service","Agency Overall","2016","10","29","<1","156","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Nuclear Regulatory Commission","Agency Overall","2016","5","9","<1","109","40","50","<1","214","6","6","2","10"
"United States Trade and Development Agency","Agency Overall","2016","N/A","N/A","N/A","N/A","12","68","2","280","N/A","N/A","N/A","N/A"
"Appraisal Subcommittee","Agency Overall","2016","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
