"Agency","Component","Fiscal Year","<1-20 Days","21-40 Days","41-60 Days","61-80 Days","81-100 Days","101-120 Days","121-140 Days","141-160 Days","161-180 Days","181-200 Days","201-300 Days","301-400 Days","401+ Days","Total"
"Merit Systems Protection Board","Agency Overall","2016","3","0","0","0","0","0","0","0","0","0","1","1","0","5"
"Department of the Interior","Agency Overall","2016","2898","873","348","183","129","106","66","41","34","33","86","40","64","4901"
"Surface Transportation Board","Agency Overall","2016","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Armed Forces Retirement Home","Agency Overall","2016","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2016","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Court Services and Offender Supervision Agency","Agency Overall","2016","1","0","1","0","0","0","0","0","0","0","0","0","0","2"
"Securities and Exchange Commission","Agency Overall","2016","57","2","0","0","0","1","0","0","1","1","1","0","1","64"
"United States Copyright Office","Agency Overall","2016","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Environmental Protection Agency","Agency Overall","2016","445","544","255","117","88","87","57","33","30","29","126","92","264","2167"
"Federal Housing Finance Agency","Agency Overall","2016","7","12","8","2","2","0","1","0","1","1","0","0","0","34"
"Denali Commission","Agency Overall","2016","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Agency for International Development","Agency Overall","2016","76","22","23","15","14","7","14","11","8","5","27","16","71","309"
"Occupational Safety and Health Review Commission","Agency Overall","2016","0","1","0","0","0","0","0","0","0","0","0","0","0","1"
"Neighborhood Reinvestment Corporation","Agency Overall","2016","0","0","0","0","0","0","0","0","0","0","1","0","0","1"
"Social Security Advisory Board","Agency Overall","2016","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Commodity Futures Trading Commission","Agency Overall","2016","5","9","6","5","2","5","1","2","6","2","6","8","6","63"
"National Mediation Board","Agency Overall","2016","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Maritime Commission","Agency Overall","2016","8","4","1","0","3","0","0","0","0","0","1","0","7","24"
"United States African Development Foundation","Agency Overall","2016","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Railroad Retirement Board","Agency Overall","2016","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
