"Agency","Component","Fiscal Year","Number Granted","Number Denied","Median Number of Days to Adjudicate","Average Number of Days to Adjudicate"
"Merit Systems Protection Board","Agency Overall","2016","6","2","1","1.63"
"Department of the Interior","Agency Overall","2016","570","41","1","44"
"Surface Transportation Board","Agency Overall","2016","0","1","1","1"
"Armed Forces Retirement Home","Agency Overall","2016","0","0","N/A","N/A"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2016","0","0","N/A","N/A"
"Court Services and Offender Supervision Agency","Agency Overall","2016","0","0","N/A","N/A"
"Securities and Exchange Commission","Agency Overall","2016","47","277","1","0.74"
"United States Copyright Office","Agency Overall","2016","0","0","N/A","N/A"
"Environmental Protection Agency","Agency Overall","2016","252","369","5","6.58"
"Federal Housing Finance Agency","Agency Overall","2016","11","14","1","2.2"
"Denali Commission","Agency Overall","2016","0","0","N/A","N/A"
"U.S. Agency for International Development","Agency Overall","2016","25","14","4","9.21"
"Occupational Safety and Health Review Commission","Agency Overall","2016","0","0","N/A","N/A"
"Neighborhood Reinvestment Corporation","Agency Overall","2016","0","0","N/A","N/A"
"Social Security Advisory Board","Agency Overall","2016","0","0","N/A","N/A"
"Commodity Futures Trading Commission","Agency Overall","2016","0","1","10","10"
"National Mediation Board","Agency Overall","2016","1","1","1","1"
"Federal Maritime Commission","Agency Overall","2016","0","0","N/A","N/A"
"United States African Development Foundation","Agency Overall","2016","0","0","N/A","N/A"
"U.S. Railroad Retirement Board","Agency Overall","2016","0","0","N/A","N/A"
"National Indian Gaming Commission","Agency Overall","2016","0","0","N/A","N/A"
"Department of Education","Agency Overall","2016","177","116","12","15.78"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2016","0","0","N/A","N/A"
"National Transportation Safety Board","Agency Overall","2016","7","0","1","23"
"United States Postal Service","Agency Overall","2016","7","12","1","52"
"United States International Trade Commission","Agency Overall","2016","0","0","N/A","N/A"
"Federal Mediation and Conciliation Service","Agency Overall","2016","0","0","N/A","N/A"
"Nuclear Regulatory Commission","Agency Overall","2016","41","42","1","1"
"United States Trade and Development Agency","Agency Overall","2016","0","0","N/A","N/A"
"Appraisal Subcommittee","Agency Overall","2016","0","0","N/A","N/A"
"Federal Communications Commission","Agency Overall","2016","2","19","6","32.48"
"Inter-American Foundation","Agency Overall","2016","0","0","N/A","N/A"
"National Archives and Records Administration","Agency Overall","2016","20","8","20","2.82"
"Federal Trade Commission","Agency Overall","2016","6","8","6","9.42"
"Harry S. Truman Scholarship Foundation","Agency Overall","2016","0","0","N/A","N/A"
"U.S. Interagency Council on Homelessness","Agency Overall","2016","0","0","N/A","N/A"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2016","0","0","N/A","N/A"
"Overseas Private Investment Corporation","Agency Overall","2016","1","2","2","41.67"
"Selective Service System","Agency Overall","2016","0","0","N/A","N/A"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2016","0","0","N/A","N/A"
"Central Intelligence Agency","Agency Overall","2016","1","11","14","20.82"
"Equal Employment Opportunity Commission","Agency Overall","2016","19","51","1","2.96"
"Department of Veterans Affairs","Agency Overall","2016","170","51","5","15"
"James Madison Memorial Fellowship Foundation","Agency Overall","2016","0","0","N/A","N/A"
"Marine Mammal Commission","Agency Overall","2016","0","0","N/A","N/A"
"Office of the United States Trade Representative","Agency Overall","2016","0","0","N/A","N/A"
"Federal Mine Safety and Health Review Commission","Agency Overall","2016","0","0","N/A","N/A"
"National Capital Planning Commission","Agency Overall","2016","0","0","N/A","N/A"
"Office of Personnel Management","Agency Overall","2016","5","1","1","1"
"Department of Defense","Agency Overall","2016","1407","1023","4.47","12.41"
"Defense Nuclear Facilities Safety Board","Agency Overall","2016","1","0","89","89"
"Postal Regulatory Commission","Agency Overall","2016","0","0","N/A","N/A"
"Office of National Drug Control Policy","Agency Overall","2016","0","0","N/A","N/A"
"National Credit Union Administration","Agency Overall","2016","4","0","4","4.25"
"U.S. Commission on Civil Rights","Agency Overall","2016","7","0","4","5"
"United States Access Board","Agency Overall","2016","0","0","N/A","N/A"
"National Endowment for the Humanities","Agency Overall","2016","0","0","N/A","N/A"
"Department of Housing and Urban Development","Agency Overall","2016","30","82","1","3.64"
"United States International Boundary and Water Commission","Agency Overall","2016","0","0","N/A","N/A"
"U.S. Agency for Global Media","Agency Overall","2016","0","2","8","8"
"National Science Foundation","Agency Overall","2016","1","1","2","2"
"Department of Agriculture","Agency Overall","2016","1146","227","1","1"
"American Battle Monuments Commission","Agency Overall","2016","0","0","N/A","N/A"
"Legal Services Corporation","Agency Overall","2016","11","0","12.5","14.9"
"Presidio Trust","Agency Overall","2016","0","0","N/A","N/A"
"Department of Labor","Agency Overall","2016","424","648","16","43.4"
"Federal Labor Relations Authority","Agency Overall","2016","0","0","N/A","N/A"
"Federal Open Market Committee","Agency Overall","2016","4","0","17.5","14"
"Office of Management and Budget","Agency Overall","2016","0","0","N/A","N/A"
"National Aeronautics and Space Administration","Agency Overall","2016","3","13","1","1"
"Consumer Financial Protection Bureau","Agency Overall","2016","0","2","1","1"
"Institute of Museum and Library Services","Agency Overall","2016","0","0","N/A","N/A"
"Office of Science and Technology Policy","Agency Overall","2016","3","0","7","7.6"
"Office of Government Ethics","Agency Overall","2016","0","0","N/A","N/A"
"Export-Import Bank of the U.S.","Agency Overall","2016","6","25","1","1"
"Department of Justice","Agency Overall","2016","65","1521","4","9.45"
"Federal Financial Institutions Examination Council","Agency Overall","2016","0","0","N/A","N/A"
"Department of Energy","Agency Overall","2016","160","44","N/A","2.63"
"U.S. Department of State","Agency Overall","2016","623","344","1","3.6"
"Consumer Product Safety Commission","Agency Overall","2016","1","2","1","1"
"Social Security Administration","Agency Overall","2016","0","2","63","52"
"National Council on Disability","Agency Overall","2016","1","0","N/A","N/A"
"General Services Administration","Agency Overall","2016","7","74","1","1.98"
"Administrative Conference of the United States","Agency Overall","2016","0","0","N/A","N/A"
"Farm Credit System Insurance Corporation","Agency Overall","2016","0","0","N/A","N/A"
"Farm Credit Administration","Agency Overall","2016","0","0","N/A","N/A"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2016","22","0","N/A","N/A"
"U.S. Election Assistance Commission","Agency Overall","2016","0","0","N/A","N/A"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2016","10","1","1","3"
"Office of the Director of National Intelligence","Agency Overall","2016","0","0","N/A","N/A"
"National Endowment for the Arts","Agency Overall","2016","0","0","N/A","N/A"
"Tennessee Valley Authority","Agency Overall","2016","0","0","N/A","N/A"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2016","0","1","5","5"
"Federal Energy Regulatory Commission","Agency Overall","2016","0","0","N/A","N/A"
"Millennium Challenge Corporation","Agency Overall","2016","9","0","2","2"
"Small Business Administration","Agency Overall","2016","38","36","9","14.41"
