"Agency","Component","Fiscal Year","Number of Requests Pending as of Start of Fiscal Year","Number of Requests Received in Fiscal Year","Number of Requests Processed in Fiscal Year","Number of Requests Pending as of End of Fiscal Year"
"Merit Systems Protection Board","Agency Overall","2016","55","206","168","93"
"Department of the Interior","Agency Overall","2016","1057","6428","6437","1048"
"Surface Transportation Board","Agency Overall","2016","0","35","34","1"
"Armed Forces Retirement Home","Agency Overall","2016","0","15","15","0"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2016","0","9","8","1"
"Court Services and Offender Supervision Agency","Agency Overall","2016","65","627","651","41"
"Securities and Exchange Commission","Agency Overall","2016","1288","14458","15196","550"
"United States Copyright Office","Agency Overall","2016","5","23","27","1"
"Environmental Protection Agency","Agency Overall","2016","2149","10403","10498","2054"
"Federal Housing Finance Agency","Agency Overall","2016","22","179","182","19"
"Denali Commission","Agency Overall","2016","0","0","0","0"
"U.S. Agency for International Development","Agency Overall","2016","321","377","354","344"
"Occupational Safety and Health Review Commission","Agency Overall","2016","0","69","67","2"
"Neighborhood Reinvestment Corporation","Agency Overall","2016","2","1","1","2"
"Social Security Advisory Board","Agency Overall","2016","0","0","0","0"
"Commodity Futures Trading Commission","Agency Overall","2016","59","126","168","17"
"National Mediation Board","Agency Overall","2016","1","25","26","0"
"Federal Maritime Commission","Agency Overall","2016","12","27","36","3"
"United States African Development Foundation","Agency Overall","2016","0","4","4","0"
"U.S. Railroad Retirement Board","Agency Overall","2016","10","98","97","11"
"National Indian Gaming Commission","Agency Overall","2016","19","50","26","43"
"Department of Education","Agency Overall","2016","370","2445","2307","508"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2016","0","0","0","0"
"National Transportation Safety Board","Agency Overall","2016","690","471","272","889"
"United States Postal Service","Agency Overall","2016","197","2718","2734","181"
"United States International Trade Commission","Agency Overall","2016","2","27","29","0"
"Federal Mediation and Conciliation Service","Agency Overall","2016","6","58","62","2"
"Nuclear Regulatory Commission","Agency Overall","2016","39","785","753","71"
"United States Trade and Development Agency","Agency Overall","2016","22","24","30","16"
"Appraisal Subcommittee","Agency Overall","2016","0","0","0","0"
"Federal Communications Commission","Agency Overall","2016","107","836","893","50"
"Inter-American Foundation","Agency Overall","2016","0","10","10","0"
"National Archives and Records Administration","Agency Overall","2016","4396","49966","50205","4157"
"Federal Trade Commission","Agency Overall","2016","26","1260","1258","28"
