"Agency","Component","Fiscal Year","Number Received During Fiscal Year from Last Year's Annual Report","Number Received During Fiscal Year from Current Annual Report","Number Processed During Fiscal Year from Last Year's Annual Report","Number Processed During Fiscal Year from Current Annual Report"
"Merit Systems Protection Board","Agency Overall","2016","165","206","136","168"
"Department of the Interior","Agency Overall","2016","6814","6428","6760","6437"
"Surface Transportation Board","Agency Overall","2016","65","35","65","34"
"Armed Forces Retirement Home","Agency Overall","2016","13","15","13","15"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2016","11","9","12","8"
"Court Services and Offender Supervision Agency","Agency Overall","2016","532","627","525","651"
"Securities and Exchange Commission","Agency Overall","2016","16891","14458","16210","15196"
"United States Copyright Office","Agency Overall","2016","36","23","34","27"
"Environmental Protection Agency","Agency Overall","2016","10910","10403","11278","10498"
"Federal Housing Finance Agency","Agency Overall","2016","170","179","162","182"
"Denali Commission","Agency Overall","2016","0","0","0","0"
"U.S. Agency for International Development","Agency Overall","2016","325","377","297","354"
"Occupational Safety and Health Review Commission","Agency Overall","2016","53","69","55","67"
"Neighborhood Reinvestment Corporation","Agency Overall","2016","4","1","2","1"
"Social Security Advisory Board","Agency Overall","2016","0","0","0","0"
"Commodity Futures Trading Commission","Agency Overall","2016","228","126","204","168"
"National Mediation Board","Agency Overall","2016","36","25","35","26"
"Federal Maritime Commission","Agency Overall","2016","35","27","39","36"
"United States African Development Foundation","Agency Overall","2016","2","4","2","4"
"U.S. Railroad Retirement Board","Agency Overall","2016","123","98","122","97"
"National Indian Gaming Commission","Agency Overall","2016","43","50","34","26"
"Department of Education","Agency Overall","2016","2297","2445","2315","2307"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2016","0","0","0","0"
"National Transportation Safety Board","Agency Overall","2016","566","471","394","272"
"United States Postal Service","Agency Overall","2016","2642","2718","2682","2734"
"United States International Trade Commission","Agency Overall","2016","31","27","30","29"
"Federal Mediation and Conciliation Service","Agency Overall","2016","55","58","55","62"
"Nuclear Regulatory Commission","Agency Overall","2016","505","785","586","753"
"United States Trade and Development Agency","Agency Overall","2016","18","24","6","30"
"Appraisal Subcommittee","Agency Overall","2016","0","0","0","0"
"Federal Communications Commission","Agency Overall","2016","785","836","745","893"
"Inter-American Foundation","Agency Overall","2016","3","10","3","10"
"National Archives and Records Administration","Agency Overall","2016","22555","49966","23591","50205"
"Federal Trade Commission","Agency Overall","2016","1531","1260","1531","1258"
"Harry S. Truman Scholarship Foundation","Agency Overall","2016","0","1","0","1"
"U.S. Interagency Council on Homelessness","Agency Overall","2016","0","0","0","0"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2016","6","20","5","15"
"Overseas Private Investment Corporation","Agency Overall","2016","40","52","36","52"
"Selective Service System","Agency Overall","2016","7","14","7","14"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2016","179","69","179","69"
"Central Intelligence Agency","Agency Overall","2016","2463","2547","2160","2208"
"Equal Employment Opportunity Commission","Agency Overall","2016","17883","17680","17481","17068"
"Department of Veterans Affairs","Agency Overall","2016","29715","34459","30497","33313"
"James Madison Memorial Fellowship Foundation","Agency Overall","2016","0","0","0","0"
"Marine Mammal Commission","Agency Overall","2016","0","0","0","0"
"Office of the United States Trade Representative","Agency Overall","2016","102","118","93","118"
"Federal Mine Safety and Health Review Commission","Agency Overall","2016","140","132","140","133"
"National Capital Planning Commission","Agency Overall","2016","3","23","3","23"
"Office of Personnel Management","Agency Overall","2016","10720","10189","10854","11104"
"Department of Defense","Agency Overall","2016","57413","53544","56419","52332"
"Defense Nuclear Facilities Safety Board","Agency Overall","2016","19","18","20","21"
"Postal Regulatory Commission","Agency Overall","2016","8","31","8","31"
"Office of National Drug Control Policy","Agency Overall","2016","43","41","47","38"
"National Credit Union Administration","Agency Overall","2016","89","66","86","68"
"U.S. Commission on Civil Rights","Agency Overall","2016","21","40","22","39"
"United States Access Board","Agency Overall","2016","11","13","11","13"
"National Endowment for the Humanities","Agency Overall","2016","62","47","61","46"
"Department of Housing and Urban Development","Agency Overall","2016","2218","2345","2180","2281"
"United States International Boundary and Water Commission","Agency Overall","2016","27","34","1","32"
"U.S. Agency for Global Media","Agency Overall","2016","45","54","48","48"
"National Science Foundation","Agency Overall","2016","302","348","298","304"
"Department of Agriculture","Agency Overall","2016","20132","23870","19559","23134"
"American Battle Monuments Commission","Agency Overall","2016","5","17","5","17"
"Legal Services Corporation","Agency Overall","2016","54","48","49","51"
"Presidio Trust","Agency Overall","2016","0","12","0","12"
"Department of Labor","Agency Overall","2016","16792","16196","17104","16466"
"Federal Labor Relations Authority","Agency Overall","2016","85","78","85","80"
"Federal Open Market Committee","Agency Overall","2016","34","43","41","43"
"Office of Management and Budget","Agency Overall","2016","198","154","163","151"
"National Aeronautics and Space Administration","Agency Overall","2016","922","834","923","847"
"Consumer Financial Protection Bureau","Agency Overall","2016","318","442","319","427"
"Institute of Museum and Library Services","Agency Overall","2016","34","40","33","40"
"Office of Science and Technology Policy","Agency Overall","2016","99","71","94","64"
"Office of Government Ethics","Agency Overall","2016","70","84","69","87"
"Export-Import Bank of the U.S.","Agency Overall","2016","100","124","101","121"
"Department of Justice","Agency Overall","2016","67783","73103","67825","71854"
"Federal Financial Institutions Examination Council","Agency Overall","2016","23","33","23","32"
"Department of Energy","Agency Overall","2016","2353","1974","2444","2008"
"U.S. Department of State","Agency Overall","2016","24837","27961","14002","15482"
"Consumer Product Safety Commission","Agency Overall","2016","715","702","770","697"
"Social Security Administration","Agency Overall","2016","23208","29631","22922","31634"
"National Council on Disability","Agency Overall","2016","0","1","0","1"
"General Services Administration","Agency Overall","2016","934","957","973","967"
"Administrative Conference of the United States","Agency Overall","2016","26","25","26","25"
"Farm Credit System Insurance Corporation","Agency Overall","2016","11","6","11","6"
"Farm Credit Administration","Agency Overall","2016","41","21","42","21"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2016","37","28","36","22"
"U.S. Election Assistance Commission","Agency Overall","2016","0","18","0","15"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2016","45","45","30","48"
"Office of the Director of National Intelligence","Agency Overall","2016","395","382","321","363"
"National Endowment for the Arts","Agency Overall","2016","55","57","58","58"
"Tennessee Valley Authority","Agency Overall","2016","198","212","195","213"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2016","47","49","48","53"
"Federal Energy Regulatory Commission","Agency Overall","2016","131","93","133","92"
"Millennium Challenge Corporation","Agency Overall","2016","19","30","41","29"
"Small Business Administration","Agency Overall","2016","955","1116","926","1075"
"Federal Reserve System","Agency Overall","2016","778","728","770","701"
"United States Institute of Peace","Agency Overall","2016","0","0","0","0"
"National Labor Relations Board","Agency Overall","2016","4010","2679","3679","2819"
"Department of the Treasury","Agency Overall","2016","13922","12368","13987","12171"
"Peace Corps","Agency Overall","2016","248","193","231","257"
"National Railroad Passenger Corporation","Agency Overall","2016","257","234","181","216"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2016","0","3","0","3"
"Pension Benefit Guaranty Corporation","Agency Overall","2016","2278","3713","2217","3779"
"Federal Election Commission","Agency Overall","2016","91","129","81","116"
"Department of Commerce","Agency Overall","2016","2230","2026","2163","2148"
"Federal Deposit Insurance Corporation","Agency Overall","2016","630","465","606","481"
"Commission of Fine Arts","Agency Overall","2016","0","6","0","6"
"Office of Special Counsel","Agency Overall","2016","146","143","115","184"
"Federal Retirement Thrift Investment Board","Agency Overall","2016","14","36","12","38"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2016","15","28","15","19"
"Department of Homeland Security","Agency Overall","2016","281138","325780","348878","310549"
"Department of Transportation","Agency Overall","2016","13374","13800","12681","11929"
"Council on Environmental Quality","Agency Overall","2016","83","104","75","82"
"Department of Health and Human Services","Agency Overall","2016","43085","34232","45186","36190"
"All agencies","Agency Overall","2016","711915","788769","768827","759842"
