"Agency","Component","Fiscal Year","Median Number of Days","Average Number of Days","Lowest Number of Days","Highest Number of Days"
"Merit Systems Protection Board","Agency Overall","2016","18","21.14","<1","47"
"Department of the Interior","Agency Overall","2016","109","229","11","1709"
"Surface Transportation Board","Agency Overall","2016","19","19","19","19"
"Armed Forces Retirement Home","Agency Overall","2016","15","15","15","15"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2016","9.5","9.5","3","16"
"Court Services and Offender Supervision Agency","Agency Overall","2016","N/A","N/A","N/A","N/A"
"Securities and Exchange Commission","Agency Overall","2016","7","24.28","<1","939"
"United States Copyright Office","Agency Overall","2016","N/A","N/A","N/A","N/A"
"Environmental Protection Agency","Agency Overall","2016","55.5","270.8","<1","2660"
"Federal Housing Finance Agency","Agency Overall","2016","11","10.64","3","20"
"Denali Commission","Agency Overall","2016","N/A","N/A","N/A","N/A"
"U.S. Agency for International Development","Agency Overall","2016","141","208.71","13","1100"
"Occupational Safety and Health Review Commission","Agency Overall","2016","N/A","N/A","N/A","N/A"
"Neighborhood Reinvestment Corporation","Agency Overall","2016","N/A","N/A","N/A","N/A"
"Social Security Advisory Board","Agency Overall","2016","N/A","N/A","N/A","N/A"
"Commodity Futures Trading Commission","Agency Overall","2016","19","18.7","17","20"
"National Mediation Board","Agency Overall","2016","N/A","N/A","N/A","N/A"
"Federal Maritime Commission","Agency Overall","2016","N/A","N/A","N/A","N/A"
"United States African Development Foundation","Agency Overall","2016","N/A","N/A","N/A","N/A"
"U.S. Railroad Retirement Board","Agency Overall","2016","N/A","N/A","N/A","N/A"
"National Indian Gaming Commission","Agency Overall","2016","20","19.33","17","21"
"Department of Education","Agency Overall","2016","142","209.91","<1","1760"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2016","N/A","N/A","N/A","N/A"
"National Transportation Safety Board","Agency Overall","2016","67","196","3","724"
"United States Postal Service","Agency Overall","2016","43","53","1","40"
"United States International Trade Commission","Agency Overall","2016","N/A","N/A","N/A","N/A"
"Federal Mediation and Conciliation Service","Agency Overall","2016","N/A","N/A","N/A","N/A"
"Nuclear Regulatory Commission","Agency Overall","2016","5","9","<1","133"
"United States Trade and Development Agency","Agency Overall","2016","N/A","N/A","N/A","N/A"
"Appraisal Subcommittee","Agency Overall","2016","N/A","N/A","N/A","N/A"
"Federal Communications Commission","Agency Overall","2016","65","123.62","<1","421"
"Inter-American Foundation","Agency Overall","2016","N/A","N/A","N/A","N/A"
"National Archives and Records Administration","Agency Overall","2016","282","256.2","6","490"
"Federal Trade Commission","Agency Overall","2016","20","21","14","60"
"Harry S. Truman Scholarship Foundation","Agency Overall","2016","N/A","N/A","N/A","N/A"
"U.S. Interagency Council on Homelessness","Agency Overall","2016","N/A","N/A","N/A","N/A"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2016","N/A","N/A","N/A","N/A"
"Overseas Private Investment Corporation","Agency Overall","2016","24.5","24.75","20","30"
"Selective Service System","Agency Overall","2016","N/A","N/A","N/A","N/A"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2016","N/A","N/A","N/A","N/A"
"Central Intelligence Agency","Agency Overall","2016","68","160.28","<1","2150"
"Equal Employment Opportunity Commission","Agency Overall","2016","20","28.51","<1","161"
"Department of Veterans Affairs","Agency Overall","2016","94","157.37","<1","700"
"James Madison Memorial Fellowship Foundation","Agency Overall","2016","N/A","N/A","N/A","N/A"
"Marine Mammal Commission","Agency Overall","2016","N/A","N/A","N/A","N/A"
"Office of the United States Trade Representative","Agency Overall","2016","20","22","14","32"
"Federal Mine Safety and Health Review Commission","Agency Overall","2016","N/A","N/A","N/A","N/A"
"National Capital Planning Commission","Agency Overall","2016","N/A","N/A","N/A","N/A"
"Office of Personnel Management","Agency Overall","2016","82","114","N/A","N/A"
"Department of Defense","Agency Overall","2016","124.11","164.54","1","2102"
"Defense Nuclear Facilities Safety Board","Agency Overall","2016","15.5","15.5","9","22"
"Postal Regulatory Commission","Agency Overall","2016","N/A","N/A","N/A","N/A"
