"Agency","Component","Fiscal Year","<1-20 Days","21-40 Days","41-60 Days","61-80 Days","81-100 Days","101-120 Days","121-140 Days","141-160 Days","161-180 Days","181-200 Days","201-300 Days","301-400 Days","401+ Days","Total"
"Merit Systems Protection Board","Agency Overall","2016","86","19","10","4","7","2","5","2","2","0","6","2","4","149"
"Department of the Interior","Agency Overall","2016","327","10","2","0","3","1","2","0","1","1","3","0","1","351"
"Surface Transportation Board","Agency Overall","2016","29","1","0","0","0","0","0","0","0","0","0","0","0","30"
"Armed Forces Retirement Home","Agency Overall","2016","13","0","0","0","0","0","0","0","0","0","0","0","0","13"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2016","8","0","0","0","0","0","0","0","0","0","0","0","0","8"
"Court Services and Offender Supervision Agency","Agency Overall","2016","403","195","27","11","3","2","4","0","1","1","2","0","0","649"
"Securities and Exchange Commission","Agency Overall","2016","11907","1873","661","269","120","98","38","33","30","16","59","17","7","15128"
"United States Copyright Office","Agency Overall","2016","16","6","1","1","0","0","0","0","0","0","0","0","0","24"
"Environmental Protection Agency","Agency Overall","2016","5666","1742","288","100","55","26","14","10","15","9","15","0","2","7942"
"Federal Housing Finance Agency","Agency Overall","2016","136","8","3","0","0","0","0","0","0","0","0","0","0","147"
"Denali Commission","Agency Overall","2016","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Agency for International Development","Agency Overall","2016","20","4","0","0","0","0","0","0","0","0","2","0","0","26"
"Occupational Safety and Health Review Commission","Agency Overall","2016","62","1","0","0","0","0","0","0","0","0","0","0","0","63"
"Neighborhood Reinvestment Corporation","Agency Overall","2016","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Social Security Advisory Board","Agency Overall","2016","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Commodity Futures Trading Commission","Agency Overall","2016","27","14","17","11","4","7","2","4","4","2","9","0","0","101"
"National Mediation Board","Agency Overall","2016","24","0","0","0","0","0","1","0","0","0","0","0","0","25"
"Federal Maritime Commission","Agency Overall","2016","10","0","0","0","0","0","0","0","0","0","0","0","0","10"
"United States African Development Foundation","Agency Overall","2016","4","0","0","0","0","0","0","0","0","0","0","0","0","4"
"U.S. Railroad Retirement Board","Agency Overall","2016","91","4","1","1","0","0","0","0","0","0","0","0","0","97"
"National Indian Gaming Commission","Agency Overall","2016","11","4","0","1","2","1","0","0","0","0","2","0","0","21"
"Department of Education","Agency Overall","2016","177","769","31","0","0","0","0","1","0","0","0","0","0","978"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2016","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Transportation Safety Board","Agency Overall","2016","14","2","2","2","1","2","1","1","0","0","2","5","53","85"
"United States Postal Service","Agency Overall","2016","1847","353","75","21","9","5","0","1","1","0","4","1","0","2317"
"United States International Trade Commission","Agency Overall","2016","24","2","0","0","0","0","0","0","0","0","0","0","0","26"
"Federal Mediation and Conciliation Service","Agency Overall","2016","27","6","4","2","4","1","2","2","0","5","2","0","1","56"
"Nuclear Regulatory Commission","Agency Overall","2016","557","45","3","1","1","1","0","0","0","0","0","0","0","608"
"United States Trade and Development Agency","Agency Overall","2016","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Appraisal Subcommittee","Agency Overall","2016","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Communications Commission","Agency Overall","2016","677","89","24","12","4","3","1","2","2","0","7","4","3","828"
"Inter-American Foundation","Agency Overall","2016","9","1","0","0","0","0","0","0","0","0","0","0","0","10"
"National Archives and Records Administration","Agency Overall","2016","46614","1145","354","198","80","44","40","29","32","19","42","65","333","48995"
"Federal Trade Commission","Agency Overall","2016","713","23","4","0","0","0","0","0","0","0","0","0","0","740"
"Harry S. Truman Scholarship Foundation","Agency Overall","2016","1","0","0","0","0","0","0","0","0","0","0","0","0","1"
"U.S. Interagency Council on Homelessness","Agency Overall","2016","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2016","11","1","0","0","0","0","0","0","0","0","0","0","0","12"
