"Agency","Component","Fiscal Year","<1-20 Days","21-40 Days","41-60 Days","61-80 Days","81-100 Days","101-120 Days","121-140 Days","141-160 Days","161-180 Days","181-200 Days","201-300 Days","301-400 Days","401+ Days","Total"
"Merit Systems Protection Board","Agency Overall","2016","6","0","0","0","0","1","0","0","0","0","0","0","0","7"
"Department of the Interior","Agency Overall","2016","19","4","3","0","1","0","0","2","0","0","0","0","0","29"
"Surface Transportation Board","Agency Overall","2016","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Armed Forces Retirement Home","Agency Overall","2016","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2016","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Court Services and Offender Supervision Agency","Agency Overall","2016","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Securities and Exchange Commission","Agency Overall","2016","4","0","0","0","0","0","0","0","0","0","0","0","0","4"
"United States Copyright Office","Agency Overall","2016","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Environmental Protection Agency","Agency Overall","2016","24","8","8","2","1","3","2","3","0","0","1","2","3","57"
"Federal Housing Finance Agency","Agency Overall","2016","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Denali Commission","Agency Overall","2016","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Agency for International Development","Agency Overall","2016","0","0","2","0","0","0","2","0","0","0","2","2","0","8"
"Occupational Safety and Health Review Commission","Agency Overall","2016","1","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Neighborhood Reinvestment Corporation","Agency Overall","2016","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Social Security Advisory Board","Agency Overall","2016","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Commodity Futures Trading Commission","Agency Overall","2016","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Mediation Board","Agency Overall","2016","1","0","0","0","0","0","0","0","0","0","0","0","0","1"
