"Agency","Component","Fiscal Year","Simple - Median Number of Days","Simple - Average Number of Days","Simple - Lowest Number of Days","Simple - Highest Number of Days","Complex - Median Number of Days","Complex - Average Number of Days","Complex - Lowest Number of Days","Complex - Highest Number of Days","Expedited Processing - Median Number of Days","Expedited Processing - Average Number of Days","Expedited Processing - Lowest Number of Days","Expedited Processing - Highest Number of Days"
"Merit Systems Protection Board","Agency Overall","2016","14","53.7","<1","460","17","132","3","386","6","19","<1","101"
"Department of the Interior","Agency Overall","2016","3","12","<1","506","17","42","<1","1208","15","29","<1","145"
"Surface Transportation Board","Agency Overall","2016","5","9.22","1","30","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Armed Forces Retirement Home","Agency Overall","2016","17","15","10","17","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2016","11.5","11.125","2","18","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Court Services and Offender Supervision Agency","Agency Overall","2016","18","22.15","<1","247","37.5","37.5","20","55","N/A","N/A","N/A","N/A"
"Securities and Exchange Commission","Agency Overall","2016","7","16.49","<1","669","<1","27.34","<1","815","10","10","1","19"
"United States Copyright Office","Agency Overall","2016","12.5","16.6","1","68","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Environmental Protection Agency","Agency Overall","2016","15","18.24","<1","548","46","151.98","<1","2011","25","126.11","<1","1678"
"Federal Housing Finance Agency","Agency Overall","2016","5","8.48","<1","60","35.5","47.06","<1","194","N/A","N/A","N/A","N/A"
"Denali Commission","Agency Overall","2016","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"U.S. Agency for International Development","Agency Overall","2016","12.5","30.77","<1","252","109","232.22","<1","1334","187","201.75","47","369"
"Occupational Safety and Health Review Commission","Agency Overall","2016","8","9.75","<1","36","40","40","40","40","9","9","9","9"
"Neighborhood Reinvestment Corporation","Agency Overall","2016","N/A","N/A","N/A","N/A","289","289","289","289","N/A","N/A","N/A","N/A"
"Social Security Advisory Board","Agency Overall","2016","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Commodity Futures Trading Commission","Agency Overall","2016","51","77.64","2","291","112","180.95","2","733","N/A","N/A","N/A","N/A"
"National Mediation Board","Agency Overall","2016","8","10","<1","121","N/A","N/A","N/A","N/A","1","1","1","1"
"Federal Maritime Commission","Agency Overall","2016","3","3.9","<1","11","39.5","221.5","3","933","27","27","16","38"
"United States African Development Foundation","Agency Overall","2016","9","12","1","18","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
