"Agency","Component","Fiscal Year","Number Granted","Number Denied","Median Number of Days to Adjudicate","Average Number of Days to Adjudicate","Number Adjudicated Within Ten Calendar Days"
"Merit Systems Protection Board","Agency Overall","2016","7","12","1","2.74","19"
"Department of the Interior","Agency Overall","2016","29","88","1","7","103"
"Surface Transportation Board","Agency Overall","2016","0","0","0","0","0"
"Armed Forces Retirement Home","Agency Overall","2016","0","0","0","0","0"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2016","0","1","9","9","1"
"Court Services and Offender Supervision Agency","Agency Overall","2016","0","0","0","0","0"
"Securities and Exchange Commission","Agency Overall","2016","4","296","2","5.38","270"
"United States Copyright Office","Agency Overall","2016","0","0","0","0","0"
"Environmental Protection Agency","Agency Overall","2016","69","268","3","4.74","298"
"Federal Housing Finance Agency","Agency Overall","2016","0","7","1","1.71","7"
"Denali Commission","Agency Overall","2016","0","0","0","0","0"
"U.S. Agency for International Development","Agency Overall","2016","5","35","1","3.05","39"
"Occupational Safety and Health Review Commission","Agency Overall","2016","1","0","3","3","1"
"Neighborhood Reinvestment Corporation","Agency Overall","2016","0","0","0","0","0"
"Social Security Advisory Board","Agency Overall","2016","0","0","0","0","0"
"Commodity Futures Trading Commission","Agency Overall","2016","0","0","0","0","0"
"National Mediation Board","Agency Overall","2016","1","0","1","1","1"
"Federal Maritime Commission","Agency Overall","2016","2","1","3","4","3"
"United States African Development Foundation","Agency Overall","2016","0","0","0","0","0"
"U.S. Railroad Retirement Board","Agency Overall","2016","0","0","0","0","0"
"National Indian Gaming Commission","Agency Overall","2016","0","5","7","7","4"
"Department of Education","Agency Overall","2016","4","38","12","12.48","17"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2016","0","0","0","0","0"
"National Transportation Safety Board","Agency Overall","2016","1","0","58","58","0"
"United States Postal Service","Agency Overall","2016","8","27","1","4","30"
"United States International Trade Commission","Agency Overall","2016","0","0","0","0","0"
"Federal Mediation and Conciliation Service","Agency Overall","2016","0","0","0","0","0"
"Nuclear Regulatory Commission","Agency Overall","2016","5","10","1","1","15"
"United States Trade and Development Agency","Agency Overall","2016","0","0","0","0","0"
"Appraisal Subcommittee","Agency Overall","2016","0","0","0","0","0"
"Federal Communications Commission","Agency Overall","2016","57","53","8","8.69","95"
"Inter-American Foundation","Agency Overall","2016","0","0","0","0","0"
"National Archives and Records Administration","Agency Overall","2016","10","40","1","2.06","48"
"Federal Trade Commission","Agency Overall","2016","3","11","4.57","4","14"
"Harry S. Truman Scholarship Foundation","Agency Overall","2016","0","0","0","0","0"
"U.S. Interagency Council on Homelessness","Agency Overall","2016","0","0","0","0","0"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2016","0","0","0","0","0"
"Overseas Private Investment Corporation","Agency Overall","2016","0","2","4","4","1"
"Selective Service System","Agency Overall","2016","0","0","0","0","0"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2016","0","0","0","0","0"
"Central Intelligence Agency","Agency Overall","2016","0","19","1","1.63","19"
"Equal Employment Opportunity Commission","Agency Overall","2016","1","8","1","6","8"
"Department of Veterans Affairs","Agency Overall","2016","64","61","1.5","37.37","84"
"James Madison Memorial Fellowship Foundation","Agency Overall","2016","0","0","0","0","0"
"Marine Mammal Commission","Agency Overall","2016","0","0","0","0","0"
"Office of the United States Trade Representative","Agency Overall","2016","0","5","1","8","3"
"Federal Mine Safety and Health Review Commission","Agency Overall","2016","2","2","2","2","4"
"National Capital Planning Commission","Agency Overall","2016","0","0","0","0","0"
"Office of Personnel Management","Agency Overall","2016","1","1","1","1","2"
"Department of Defense","Agency Overall","2016","247","685","4.5","7.99","794"
"Defense Nuclear Facilities Safety Board","Agency Overall","2016","1","1","2.5","2.5","2"
"Postal Regulatory Commission","Agency Overall","2016","1","0","9","9","1"
