"Agency","Component","Fiscal Year","Processing Costs","Litigation-Related Costs","Total Costs","Total Amount of Fees Collected","Percentage of Total Costs"
"Merit Systems Protection Board","Agency Overall","2016","238958.00","0.00","238958.00","0.00","0.0000"
"Department of the Interior","Agency Overall","2016","16821710.00","1945011.07","18766721.07","107801.47","0.6400"
"Surface Transportation Board","Agency Overall","2016","55801.16","0.00","55801.16","1700.93","3.0500"
"Armed Forces Retirement Home","Agency Overall","2016","31030.00","0.00","31030.00","0.00","0.0000"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2016","9800.00","0.00","9800.00","0.00","0.0000"
"Court Services and Offender Supervision Agency","Agency Overall","2016","9135.25","0.00","9135.25","134.00","1.4700"
"Securities and Exchange Commission","Agency Overall","2016","8078065.00","134564.00","8212629.00","41029.68","0.5100"
"United States Copyright Office","Agency Overall","2016","4618.36","0.00","4618.36","0.00","0.0000"
"Environmental Protection Agency","Agency Overall","2016","10795955.45","520565.76","11316521.21","240817.11","2.2300"
"Federal Housing Finance Agency","Agency Overall","2016","359662.89","0.00","359662.89","11061.06","3.0800"
"Denali Commission","Agency Overall","2016","100.00","0.00","100.00","0.00","0.0000"
"U.S. Agency for International Development","Agency Overall","2016","3254929.46","179140.96","3434070.42","234.62","0.0100"
"Occupational Safety and Health Review Commission","Agency Overall","2016","166027.23","0.00","166027.23","112.16","0.0700"
"Neighborhood Reinvestment Corporation","Agency Overall","2016","105791.00","0.00","105791.00","0.00","0.0000"
"Social Security Advisory Board","Agency Overall","2016","100.00","0.00","100.00","0.00","0.0000"
"Commodity Futures Trading Commission","Agency Overall","2016","202286.00","84167.00","286453.00","0.00","0.0000"
"National Mediation Board","Agency Overall","2016","79300.00","0.00","79300.00","307.45","0.3900"
"Federal Maritime Commission","Agency Overall","2016","337318.64","0.00","337318.64","0.00","0.0000"
"United States African Development Foundation","Agency Overall","2016","6000.00","0.00","6000.00","0.00","0.0000"
"U.S. Railroad Retirement Board","Agency Overall","2016","57461.00","1500.00","58961.00","54.00","0.0900"
"National Indian Gaming Commission","Agency Overall","2016","168929.47","0.00","168929.47","0.00","0.0000"
"Department of Education","Agency Overall","2016","5294968.00","161805.00","5456773.00","7797.07","0.1500"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2016","100.00","0.00","100.00","0.00","0.0000"
"National Transportation Safety Board","Agency Overall","2016","568081.23","4550.00","572631.23","713.00","0.1300"
"United States Postal Service","Agency Overall","2016","4484582.50","16185.39","4500767.89","26156.00","0.5800"
"United States International Trade Commission","Agency Overall","2016","49228.82","0.00","49228.82","8150.00","16.5600"
"Federal Mediation and Conciliation Service","Agency Overall","2016","85000.00","0.00","85000.00","0.00","0.0000"
"Nuclear Regulatory Commission","Agency Overall","2016","2296458.00","0.00","2296458.00","6808.00","0.3000"
"United States Trade and Development Agency","Agency Overall","2016","12000.00","0.00","12000.00","0.00","0.0000"
"Appraisal Subcommittee","Agency Overall","2016","100.00","0.00","100.00","0.00","0.0000"
"Federal Communications Commission","Agency Overall","2016","3117427.25","119125.59","3236552.84","21040.55","0.6700"
"Inter-American Foundation","Agency Overall","2016","10000.00","0.00","10000.00","0.00","0.0000"
"National Archives and Records Administration","Agency Overall","2016","7342891.00","12282.00","7355173.00","60.00","0.0000"
"Federal Trade Commission","Agency Overall","2016","879280.00","16411.00","895691.00","45676.00","5.1900"
"Harry S. Truman Scholarship Foundation","Agency Overall","2016","100.00","0.00","100.00","0.00","0.0000"
"U.S. Interagency Council on Homelessness","Agency Overall","2016","100.00","0.00","100.00","0.00","0.0000"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2016","61004.25","0.00","61004.25","1770.21","2.9000"
"Overseas Private Investment Corporation","Agency Overall","2016","152771.50","0.00","152771.50","4222.00","2.7600"
"Selective Service System","Agency Overall","2016","2371.73","0.00","2371.73","0.00","0.0000"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2016","79526.00","0.00","79526.00","0.00","0.0000"
"Central Intelligence Agency","Agency Overall","2016","11100000.00","2250000.00","13350000.00","1295.10","0.0100"
"Equal Employment Opportunity Commission","Agency Overall","2016","3019572.08","5974.20","3025546.28","42414.92","1.4000"
"Department of Veterans Affairs","Agency Overall","2016","20564025.65","2000.00","20566025.65","28984.80","0.1400"
"James Madison Memorial Fellowship Foundation","Agency Overall","2016","100.00","0.00","100.00","0.00","0.0000"
"Marine Mammal Commission","Agency Overall","2016","0.00","0.00","0.00","0.00","0.0000"
"Office of the United States Trade Representative","Agency Overall","2016","220000.00","25000.00","245000.00","0.00","0.0000"
"Federal Mine Safety and Health Review Commission","Agency Overall","2016","112000.00","0.00","112000.00","883.30","0.7900"
"National Capital Planning Commission","Agency Overall","2016","5317.14","0.00","5317.14","0.00","0.0000"
"Office of Personnel Management","Agency Overall","2016","1251356.79","12572.00","1263928.79","4143.53","0.3300"
"Department of Defense","Agency Overall","2016","95233934.50","4804433.95","100038368.45","280865.39","0.2900"
"Defense Nuclear Facilities Safety Board","Agency Overall","2016","64000.00","0.00","64000.00","0.00","0.0000"
"Postal Regulatory Commission","Agency Overall","2016","10000.00","0.00","10000.00","0.00","0.0000"
"Office of National Drug Control Policy","Agency Overall","2016","50000.00","0.00","50000.00","0.00","0.0000"
"National Credit Union Administration","Agency Overall","2016","241267.00","0.00","241267.00","464.00","0.1900"
"U.S. Commission on Civil Rights","Agency Overall","2016","46700.00","0.00","46700.00","0.00","0.0000"
"United States Access Board","Agency Overall","2016","15000.00","0.00","15000.00","0.00","0.0000"
"National Endowment for the Humanities","Agency Overall","2016","100200.00","100200.00","200400.00","0.00","0.0000"
"Department of Housing and Urban Development","Agency Overall","2016","694745.32","51744.25","746489.57","47948.00","6.9000"
"United States International Boundary and Water Commission","Agency Overall","2016","3700.00","0.00","3700.00","205.55","5.5600"
"U.S. Agency for Global Media","Agency Overall","2016","131570.00","0.00","131570.00","1996.25","1.5200"
"National Science Foundation","Agency Overall","2016","306799.83","0.00","306799.83","196.00","0.0600"
"Department of Agriculture","Agency Overall","2016","13569448.77","2348361.49","15917810.26","60919.66","0.4500"
"American Battle Monuments Commission","Agency Overall","2016","8050.00","8050.00","16100.00","0.00","0.0000"
"Legal Services Corporation","Agency Overall","2016","46048.00","0.00","46048.00","0.00","0.0000"
"Presidio Trust","Agency Overall","2016","47600.00","0.00","47600.00","1596.00","3.3500"
"Department of Labor","Agency Overall","2016","15126688.00","436175.00","15562863.00","211202.10","1.4000"
"Federal Labor Relations Authority","Agency Overall","2016","21789.00","0.00","21789.00","0.00","0.0000"
"Federal Open Market Committee","Agency Overall","2016","145613.00","0.00","145613.00","0.00","0.0000"
"Office of Management and Budget","Agency Overall","2016","283465.00","3400.00","286865.00","0.00","0.0000"
"National Aeronautics and Space Administration","Agency Overall","2016","1961462.32","0.00","1961462.32","27373.46","1.4000"
"Consumer Financial Protection Bureau","Agency Overall","2016","622290.00","0.00","622290.00","46430.32","7.4600"
"Institute of Museum and Library Services","Agency Overall","2016","28654.00","0.00","28654.00","0.00","0.0000"
"Office of Science and Technology Policy","Agency Overall","2016","117600.00","5000.00","122600.00","1143.20","0.9700"
"Office of Government Ethics","Agency Overall","2016","244136.00","0.00","244136.00","0.00","0.0000"
"Export-Import Bank of the U.S.","Agency Overall","2016","803565.41","0.00","803565.41","733.76","0.0900"
"Department of Justice","Agency Overall","2016","66253144.79","12010339.50","78263484.29","78027.50","0.1200"
"Federal Financial Institutions Examination Council","Agency Overall","2016","20336.00","0.00","20336.00","0.00","0.0000"
"Department of Energy","Agency Overall","2016","9351798.10","250143.00","9601941.10","17691.22","0.1900"
"U.S. Department of State","Agency Overall","2016","17783160.30","1285054.00","19068214.30","1373.55","0.0100"
"Consumer Product Safety Commission","Agency Overall","2016","845149.00","16500.00","861649.00","3151.00","0.3700"
"Social Security Administration","Agency Overall","2016","3592835.80","7325.92","3600161.72","668459.00","18.6100"
"National Council on Disability","Agency Overall","2016","2960.00","0.00","2960.00","0.00","0.0000"
"General Services Administration","Agency Overall","2016","978025.18","0.00","978025.18","59839.90","6.1200"
"Administrative Conference of the United States","Agency Overall","2016","41885.00","0.00","41885.00","0.00","0.0000"
"Farm Credit System Insurance Corporation","Agency Overall","2016","1000.00","0.00","1000.00","0.00","0.0000"
"Farm Credit Administration","Agency Overall","2016","35283.00","0.00","35283.00","0.00","0.0000"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2016","53435.00","0.00","53435.00","0.00","0.0000"
"U.S. Election Assistance Commission","Agency Overall","2016","12592.00","0.00","12592.00","0.00","0.0000"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2016","133637.00","50000.00","183637.00","2560.00","1.9200"
"Office of the Director of National Intelligence","Agency Overall","2016","1440000.00","10250.00","1450250.00","0.00","0.0000"
"National Endowment for the Arts","Agency Overall","2016","80000.00","0.00","80000.00","0.00","0.0000"
"Tennessee Valley Authority","Agency Overall","2016","220155.00","0.00","220155.00","5783.50","2.6300"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2016","63000.00","0.00","63000.00","153.00","0.2400"
"Federal Energy Regulatory Commission","Agency Overall","2016","535118.00","0.00","535118.00","0.00","0.0000"
"Millennium Challenge Corporation","Agency Overall","2016","15000.00","0.00","15000.00","0.00","0.0000"
"Small Business Administration","Agency Overall","2016","1465499.80","0.00","1465499.80","31151.81","2.1300"
"Federal Reserve System","Agency Overall","2016","2776452.00","38000.00","2814452.00","5000.00","0.1800"
"United States Institute of Peace","Agency Overall","2016","100.00","0.00","100.00","0.00","0.0000"
"National Labor Relations Board","Agency Overall","2016","1876805.00","1277.00","1878082.00","40902.00","2.1800"
"Department of the Treasury","Agency Overall","2016","18429965.60","1123736.99","19553702.59","212298.58","1.1500"
"Peace Corps","Agency Overall","2016","156490.00","0.00","156490.00","0.00","0.0000"
"National Railroad Passenger Corporation","Agency Overall","2016","128400.00","0.00","128400.00","780.00","0.6100"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2016","100.00","0.00","100.00","0.00","0.0000"
"Pension Benefit Guaranty Corporation","Agency Overall","2016","334333.70","0.00","334333.70","1608.95","0.4800"
"Federal Election Commission","Agency Overall","2016","205179.39","4449.70","209629.09","0.00","0.0000"
"Department of Commerce","Agency Overall","2016","4540984.32","105805.11","4646789.43","115376.75","2.5400"
"Federal Deposit Insurance Corporation","Agency Overall","2016","2620889.00","33944.00","2654833.00","20199.03","0.7700"
"Commission of Fine Arts","Agency Overall","2016","4500.00","0.00","4500.00","0.00","0.0000"
"Office of Special Counsel","Agency Overall","2016","562000.00","20600.00","582600.00","0.00","0.0000"
"Federal Retirement Thrift Investment Board","Agency Overall","2016","86351.40","0.00","86351.40","0.00","0.0000"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2016","1600.00","0.00","1600.00","0.00","0.0000"
"Department of Homeland Security","Agency Overall","2016","50810765.64","6256163.97","57066929.61","320818.19","0.6300"
"Department of Transportation","Agency Overall","2016","12645850.07","296012.09","12941862.16","327573.65","2.5900"
"Council on Environmental Quality","Agency Overall","2016","52000.00","0.00","52000.00","0.00","0.0000"
"Department of Health and Human Services","Agency Overall","2016","48882603.08","1401718.87","50284321.95","673733.24","1.3800"
"All agencies","Agency Overall","2016","478455050.17","36159538.81","514614588.98","3870921.52","N/A"
