"Agency","Component","Fiscal Year","Ex. 1","Ex. 2","Ex. 3","Ex. 4","Ex. 5","Ex. 6","Ex. 7(A)","Ex. 7(B)","Ex. 7(C)","Ex. 7(D)","Ex. 7(E)","Ex. 7(F)","Ex. 8","Ex. 9"
"Merit Systems Protection Board","Agency Overall","2016","0","1","0","0","3","54","0","0","2","0","1","0","0","0"
"Department of the Interior","Agency Overall","2016","0","32","61","238","456","1396","155","1","488","12","55","38","0","10"
"Surface Transportation Board","Agency Overall","2016","0","0","1","1","1","1","0","0","0","0","0","0","0","0"
"Armed Forces Retirement Home","Agency Overall","2016","0","0","0","2","0","0","0","0","1","0","0","0","0","0"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2016","0","0","0","0","1","1","0","0","0","0","1","0","0","0"
"Court Services and Offender Supervision Agency","Agency Overall","2016","0","66","0","5","36","514","2","2","507","39","9","31","0","0"
"Securities and Exchange Commission","Agency Overall","2016","1","4","78","353","284","631","638","3","356","40","18","0","78","0"
"United States Copyright Office","Agency Overall","2016","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"Environmental Protection Agency","Agency Overall","2016","0","4","30","185","229","346","78","1","65","12","11","9","0","38"
"Federal Housing Finance Agency","Agency Overall","2016","0","5","4","25","19","18","19","1","30","2","23","3","11","0"
"Denali Commission","Agency Overall","2016","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Agency for International Development","Agency Overall","2016","0","3","11","55","26","95","3","1","13","2","5","1","0","0"
"Occupational Safety and Health Review Commission","Agency Overall","2016","0","0","0","0","1","11","0","0","0","0","0","0","0","0"
"Neighborhood Reinvestment Corporation","Agency Overall","2016","0","0","0","1","0","1","0","0","0","0","0","0","0","0"
"Social Security Advisory Board","Agency Overall","2016","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Commodity Futures Trading Commission","Agency Overall","2016","0","0","19","36","34","49","14","0","15","6","5","0","0","0"
"National Mediation Board","Agency Overall","2016","0","0","0","0","1","1","0","0","0","0","0","0","0","0"
"Federal Maritime Commission","Agency Overall","2016","0","0","5","1","2","10","0","0","1","2","2","0","0","0"
"United States African Development Foundation","Agency Overall","2016","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Railroad Retirement Board","Agency Overall","2016","0","0","16","1","1","3","0","0","1","0","0","0","0","0"
"National Indian Gaming Commission","Agency Overall","2016","0","0","1","5","5","8","0","0","3","0","2","0","0","0"
"Department of Education","Agency Overall","2016","0","3","19","214","129","583","228","2","302","6","29","0","1","0"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2016","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Transportation Safety Board","Agency Overall","2016","0","0","3","16","109","37","79","0","0","0","0","0","0","0"
"United States Postal Service","Agency Overall","2016","0","17","607","94","125","809","38","0","293","46","52","3","0","0"
"United States International Trade Commission","Agency Overall","2016","1","0","3","4","3","5","0","0","0","0","0","0","0","0"
"Federal Mediation and Conciliation Service","Agency Overall","2016","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Nuclear Regulatory Commission","Agency Overall","2016","2","7","7","19","46","82","22","0","66","1","17","35","0","0"
"United States Trade and Development Agency","Agency Overall","2016","0","0","0","3","0","1","0","0","0","0","0","0","0","0"
"Appraisal Subcommittee","Agency Overall","2016","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Communications Commission","Agency Overall","2016","0","1","0","27","42","334","14","0","18","1","8","3","0","0"
"Inter-American Foundation","Agency Overall","2016","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Archives and Records Administration","Agency Overall","2016","507","18","443","8","27","328","0","0","151","283","53","10","0","4"
"Federal Trade Commission","Agency Overall","2016","0","1","207","72","107","464","65","0","21","13","19","0","0","0"
"Harry S. Truman Scholarship Foundation","Agency Overall","2016","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Interagency Council on Homelessness","Agency Overall","2016","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2016","0","0","1","2","0","0","0","0","0","0","0","0","0","0"
